Code INSEE commune ou arrondissement,Commune ou arrondissement,Source,Location intermédiaire,Location sociale,Location très sociale,
30258,Saint-Gilles,Loyer OLL,"8,62","7,1","5,58",
35001,Acigné,Loyer OLL,"7,52","6,19","4,86",
35022,Bécherel,Loyer OLL,"7,52","6,19","4,86",
35024,Betton,Loyer OLL,"8,53","7,02","5,52",
35032,Bourgbarré,Loyer OLL,"7,52","6,19","4,86",
35039,Brécé,Loyer OLL,"7,52","6,19","4,86",
35047,Bruz,Loyer OLL,"8,53","7,02","5,52",
35051,Cesson-Sévigné,Loyer OLL,"9,63","7,93","6,23",
35055,Chantepie,Loyer OLL,"9,63","7,93","6,23",
35058,La Chapelle-Chaussée,Loyer OLL,"7,52","6,19","4,86",
35059,La Chapelle-des-Fougeretz,Loyer OLL,"7,52","6,19","4,86",
35065,La Chapelle-Thouarault,Loyer OLL,"7,52","6,19","4,86",
35066,Chartres-de-Bretagne,Loyer OLL,"8,53","7,02","5,52",
35076,Chavagne,Loyer OLL,"7,52","6,19","4,86",
35079,Chevaigné,Loyer OLL,"7,52","6,19","4,86",
35080,Cintré,Loyer OLL,"7,52","6,19","4,86",
35081,Clayes,Loyer OLL,"7,52","6,19","4,86",
35088,Corps-Nuds,Loyer OLL,"7,52","6,19","4,86",
35120,Gévezé,Loyer OLL,"7,52","6,19","4,86",
35131,L'Hermitage,Loyer OLL,"7,52","6,19","4,86",
35139,Laillé,Loyer OLL,"7,52","6,19","4,86",
35144,Langan,Loyer OLL,"7,52","6,19","4,86",
35180,Miniac-sous-Bécherel,Loyer OLL,"7,52","6,19","4,86",
35189,Montgermont,Loyer OLL,"7,52","6,19","4,86",
35196,Mordelles,Loyer OLL,"8,53","7,02","5,52",
35204,Nouvoitou,Loyer OLL,"7,52","6,19","4,86",
35206,Noyal-Châtillon-sur-Seiche,Loyer OLL,"7,52","6,19","4,86",
35208,Orgères,Loyer OLL,"7,52","6,19","4,86",
35210,Pacé,Loyer OLL,"8,53","7,02","5,52",
35216,Parthenay-de-Bretagne,Loyer OLL,"7,52","6,19","4,86",
35238,Rennes,Loyer OLL,"10,72","8,83","6,93",
35240,Le Rheu,Loyer OLL,"8,53","7,02","5,52",
35245,Romillé,Loyer OLL,"7,52","6,19","4,86",
35250,Saint-Armel,Loyer OLL,"7,52","6,19","4,86",
35266,Saint-Erblon,Loyer OLL,"7,52","6,19","4,86",
35275,Saint-Gilles,Loyer OLL,"7,52","6,19","4,86",
35278,Saint-Grégoire,Loyer OLL,"9,63","7,93","6,23",
35281,Saint-Jacques-de-la-Lande,Loyer OLL,"9,63","7,93","6,23",
35315,Saint-Sulpice-la-Forêt,Loyer OLL,"7,52","6,19","4,86",
35334,Thorigné-Fouillard,Loyer OLL,"7,52","6,19","4,86",
35351,Le Verger,Loyer OLL,"7,52","6,19","4,86",
35352,Vern-sur-Seiche,Loyer OLL,"8,53","7,02","5,52",
35353,Vezin-le-Coquet,Loyer OLL,"7,52","6,19","4,86",
35363,Pont-Péan,Loyer OLL,"7,52","6,19","4,86",
36196,Saint-Gilles,Loyer CDL,"4,92","4,06","3,19",
50483,Saint-Gilles,Loyer CDL,"6,87","5,66","4,44",
51484,Saint-Gilles,Loyer CDL,"9,41","7,75","6,09",
53042,Brecé,Loyer CDL,"4,58","3,77","2,96",
53214,Saint-Erblon,Loyer CDL,"5,63","4,64","3,64",
56205,Saint-Armel,Loyer OLL,"8,25","6,8","5,34",
61317,Orgères,Loyer CDL,"6,34","5,22","4,1",
61321,Pacé,Loyer OLL,"7,15","5,89","4,63",
71425,Saint-Gilles,Loyer CDL,"6,32","5,2","4,09",
81253,Saint-Grégoire,Loyer CDL,"6,26","5,15","4,05",
