Code INSEE commune ou arrondissement,Commune ou arrondissement,Source,Location intermédiaire,Location sociale,Location très sociale
30258,Saint-Gilles,Loyer OLL,"8,32","6,85","5,38"
35001,Acigné,Loyer OLL,"7,26","5,98","4,7"
35022,Bécherel,Loyer OLL,"7,26","5,98","4,7"
35024,Betton,Loyer OLL,"8,23","6,78","5,33"
35032,Bourgbarré,Loyer OLL,"7,26","5,98","4,7"
35039,Brécé,Loyer OLL,"7,26","5,98","4,7"
35047,Bruz,Loyer OLL,"8,23","6,78","5,33"
35051,Cesson-Sévigné,Loyer OLL,"9,29","7,65","6,01"
35055,Chantepie,Loyer OLL,"9,29","7,65","6,01"
35058,La Chapelle-Chaussée,Loyer OLL,"7,26","5,98","4,7"
35059,La Chapelle-des-Fougeretz,Loyer OLL,"7,26","5,98","4,7"
35065,La Chapelle-Thouarault,Loyer OLL,"7,26","5,98","4,7"
35066,Chartres-de-Bretagne,Loyer OLL,"8,23","6,78","5,33"
35076,Chavagne,Loyer OLL,"7,26","5,98","4,7"
35079,Chevaigné,Loyer OLL,"7,26","5,98","4,7"
35080,Cintré,Loyer OLL,"7,26","5,98","4,7"
35081,Clayes,Loyer OLL,"7,26","5,98","4,7"
35088,Corps-Nuds,Loyer OLL,"7,26","5,98","4,7"
35120,Gévezé,Loyer OLL,"7,26","5,98","4,7"
35131,L'Hermitage,Loyer OLL,"7,26","5,98","4,7"
35139,Laillé,Loyer OLL,"7,26","5,98","4,7"
35144,Langan,Loyer OLL,"7,26","5,98","4,7"
35180,Miniac-sous-Bécherel,Loyer OLL,"7,26","5,98","4,7"
35189,Montgermont,Loyer OLL,"7,26","5,98","4,7"
35196,Mordelles,Loyer OLL,"8,23","6,78","5,33"
35204,Nouvoitou,Loyer OLL,"7,26","5,98","4,7"
35206,Noyal-Châtillon-sur-Seiche,Loyer OLL,"7,26","5,98","4,7"
35208,Orgères,Loyer OLL,"7,26","5,98","4,7"
35210,Pacé,Loyer OLL,"8,23","6,78","5,33"
35216,Parthenay-de-Bretagne,Loyer OLL,"7,26","5,98","4,7"
35238,Rennes,Loyer OLL,"10,35","8,52","6,69"
35240,Le Rheu,Loyer OLL,"8,23","6,78","5,33"
35245,Romillé,Loyer OLL,"7,26","5,98","4,7"
35250,Saint-Armel,Loyer OLL,"7,26","5,98","4,7"
35266,Saint-Erblon,Loyer OLL,"7,26","5,98","4,7"
35275,Saint-Gilles,Loyer OLL,"7,26","5,98","4,7"
35278,Saint-Grégoire,Loyer OLL,"9,29","7,65","6,01"
35281,Saint-Jacques-de-la-Lande,Loyer OLL,"9,29","7,65","6,01"
35315,Saint-Sulpice-la-Forêt,Loyer OLL,"7,26","5,98","4,7"
35334,Thorigné-Fouillard,Loyer OLL,"7,26","5,98","4,7"
35351,Le Verger,Loyer OLL,"7,26","5,98","4,7"
35352,Vern-sur-Seiche,Loyer OLL,"8,23","6,78","5,33"
35353,Vezin-le-Coquet,Loyer OLL,"7,26","5,98","4,7"
35363,Pont-Péan,Loyer OLL,"7,26","5,98","4,7"
36196,Saint-Gilles,Loyer CDL,"4,75","3,91","3,08"
50483,Saint-Gilles,Loyer CDL,"6,63","5,46","4,29"
51484,Saint-Gilles,Loyer CDL,"9,08","7,48","5,87"
53042,Brecé,Loyer CDL,"4,42","3,64","2,86"
53214,Saint-Erblon,Loyer CDL,"5,43","4,48","3,52"
56205,Saint-Armel,Loyer OLL,"7,97","6,56","5,15"
61317,Orgères,Loyer CDL,"6,12","5,04","3,96"
61321,Pacé,Loyer OLL,"6,9","5,68","4,47"
71425,Saint-Gilles,Loyer CDL,"6,1","5,02","3,94"
81253,Saint-Grégoire,Loyer CDL,"6,04","4,97","3,91"
