Rentrée scolaire,Code région,Région,Code de l'académie,Académie,Code du département,Département,Code INSEE de la commune,Nom de la commune,UAI,Nom de l'établissement,Secteur,IPS,IPS national privé,IPS national public,IPS national,IPS académique privé,IPS académique public,IPS académique,IPS départemental privé,IPS départemental public,IPS départemental,num_ligne
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352136G,ECOLE ELEMENTAIRE PUBLIQUE CLOTEAUX,public,98,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9883.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35047,BRUZ,0352241W,ECOLE PRIMAIRE PUBLIQUE JACQUES PREVERT,public,118.3,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9908.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35001,ACIGNE,0352358Y,ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC,privé sous contrat,124.3,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9934.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35024,BETTON,0352360A,ECOLE PRIMAIRE PRIVEE RAOUL FOLLEREAU,privé sous contrat,131.4,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9936.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352376T,ECOLE PRIMAIRE PRIVEE STE MARIE,privé sous contrat,126.8,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9946.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352432D,ECOLE PRIMAIRE PUBLIQUE MARIE PAPE CARPANTIER,public,118,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9963.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35281,SAINT JACQUES DE LA LANDE,0352437J,ECOLE ELEMENTAIRE PUBLIQUE SUZANNE LACORE,public,96.3,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9966.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352517W,ECOLE PRIMAIRE PRIVEE NOTRE DAME DES MIRACLES,privé sous contrat,128.9,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9979.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352670M,ECOLE ELEMENTAIRE PUBLIQUE JACQUES PREVERT,public,73.4,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9991.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35032,BOURGBARRE,0351686T,ECOLE PRIMAIRE PUBLIQUE FRANCOISE DOLTO,public,117.6,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41993.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0351774N,ECOLE ELEMENTAIRE PUBLIQUE LIBERTE,public,126.2,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42029.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35196,MORDELLES,0352038A,ECOLE ELEMENTAIRE PUBLIQUE LE GRETAY,public,117.4,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42056.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35204,NOUVOITOU,0352056V,ECOLE PRIMAIRE PUBLIQUE LE CHENE CENTENAIRE,public,117.9,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42058.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35150,LECOUSSE,0352096N,ECOLE PRIMAIRE PUBLIQUE MONTAUBERT,public,105.9,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42060.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352150X,ECOLE ELEMENTAIRE PUBLIQUE TORIGNE,public,68.5,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42072.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35235,RANNEE,0352245A,ECOLE PRIMAIRE PRIVEE STE ANNE,privé sous contrat,91.1,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42095.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352258P,ECOLE ELEMENTAIRE PUBLIQUE VOLGA,public,81.1,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42097.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352308U,ECOLE PRIMAIRE PRIVEE MARCEL CALLO,privé sous contrat,135.3,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42106.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352432D,ECOLE PRIMAIRE PUBLIQUE MARIE PAPE CARPANTIER,public,118.2,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42149.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352433E,ECOLE PRIMAIRE PUBLIQUE ROBERT DOISNEAU,public,113.4,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42150.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352500C,ECOLE PRIMAIRE PRIVEE DIWAN,privé sous contrat,139.9,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42161.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35055,CHANTEPIE,0352521A,ECOLE ELEMENTAIRE PUBLIQUE LES DEUX RUISSEAUX,public,107.2,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42168.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352669L,ECOLE ELEMENTAIRE PUBLIQUE PASCAL LAFAYE,public,83,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42176.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352810P,ECOLE PRIMAIRE PUBLIQUE ANDREE CHEDID,public,73.4,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42192.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35059,LA CHAPELLE DES FOUGERETZ,0350174Z,ECOLE ELEMENTAIRE PUBLIQUE GEORGES MARTINAIS,public,123,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41667.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35189,MONTGERMONT,0350362D,ECOLE ELEMENTAIRE PUBLIQUE GERARD PHILIPE,public,122.4,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41706.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350592D,ECOLE ELEMENTAIRE PUBLIQUE JOSEPH LOTTE,public,122.5,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41750.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350615D,ECOLE ELEMENTAIRE PUBLIQUE PAUL LANGEVIN,public,99.6,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41758.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350619H,ECOLE ELEMENTAIRE PUBLIQUE CHATEAUGIRON LANDRY,public,126.8,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41759.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350632X,ECOLE ELEMENTAIRE PUBLIQUE COLOMBIER,public,93.2,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41764.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35351,LE VERGER,0350671P,ECOLE PRIMAIRE PUBLIQUE DE LA VALLEE DU ROHUEL,public,113.3,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41768.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35245,ROMILLE,0351025Z,ECOLE ELEMENTAIRE PUBLIQUE JEAN DE LA FONTAINE,public,117.1,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41784.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35150,LECOUSSE,0351072A,ECOLE PRIMAIRE PRIVEE NOTRE DAME,privé sous contrat,107.8,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41799.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35266,SAINT ERBLON,0351360N,ECOLE PRIMAIRE PRIVEE ST JEAN,privé sous contrat,124.1,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41875.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35334,THORIGNE FOUILLARD,0351443D,ECOLE PRIMAIRE PRIVEE STE ANNE,privé sous contrat,139.6,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41902.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0351522P,ECOLE PRIMAIRE PRIVEE ST JEAN STE THERESE,privé sous contrat,134.2,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41924.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35058,LA CHAPELLE CHAUSSEE,0350173Y,ECOLE PRIMAIRE PUBLIQUE LE CHEMIN NEUF,public,112.7,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41666.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35076,CHAVAGNE,0350192U,ECOLE ELEMENTAIRE PUBLIQUE DE CHAVAGNE,public,113.3,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41672.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35088,CORPS NUDS,0350208L,ECOLE PRIMAIRE PUBLIQUE JACQUES YVES COUSTEAU,public,113.2,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41677.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35136,JANZE,0350296G,ECOLE ELEMENTAIRE PUBLIQUE LE CHAT PERCHE,public,109.5,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41692.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35216,PARTHENAY DE BRETAGNE,0350395P,ECOLE PRIMAIRE PUBLIQUE LA FONTAINE,public,117.1,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41711.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350603R,ECOLE ELEMENTAIRE PUBLIQUE PABLO PICASSO,public,126.5,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41755.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350624N,ECOLE ELEMENTAIRE PUBLIQUE CONTOUR SAINT AUBIN,public,134.5,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41760.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350631W,ECOLE ELEMENTAIRE PUBLIQUE MOULIN DU COMTE,public,99.1,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41763.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35047,BRUZ,0351213D,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE VERT BUISSON,privé sous contrat,126,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41840.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35080,CINTRE,0351254Y,ECOLE PRIMAIRE PRIVEE ST JOSEPH,privé sous contrat,114.9,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41851.0
