annee,coderegion,region,codedepartement,departement,codeepci,epci,codeinseecommune,codepostalcommune,commune,code_groupe,groupe_production,sous_groupe_production,production,nb_exp,surfab,surfc1,surfc2,surfc3,surfc123,surfbio
2008,53,Bretagne,35,Ille-et-Vilaine,200043990,Communauté de communes Vallons de Haute-Bretagne Communauté,35160,35330,LOUTEHEL,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Prairie permanente,1,0.3,0,0,0,0,0.3
2008,53,Bretagne,35,Ille-et-Vilaine,200072452,Communauté d'agglomération Fougères Agglomération,35150,35133,LÉCOUSSE,AU,Autres surfaces,Hors liste,Engrais vert,1,0.5,0,0,0,0,0.5
2008,53,Bretagne,35,Ille-et-Vilaine,200072452,Communauté d'agglomération Fougères Agglomération,35150,35133,LÉCOUSSE,FR,Fruits (yc à coque),Fruits à noyau et à pépins,Autres fruits à pépins et à noyau n.c.a.,1,0.16,0,0,0,0,0.16
2008,53,Bretagne,35,Ille-et-Vilaine,200072452,Communauté d'agglomération Fougères Agglomération,35150,35133,LÉCOUSSE,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Triticale,1,0.5,0,0,0,0,0.5
2008,53,Bretagne,35,Ille-et-Vilaine,200072452,Communauté d'agglomération Fougères Agglomération,35150,35133,LÉCOUSSE,LE,Légumes frais,Légumes frais,Légumes frais plein champ,1,1,0,0,0,0,1
2008,53,Bretagne,35,Ille-et-Vilaine,200072452,Communauté d'agglomération Fougères Agglomération,35150,35133,LÉCOUSSE,LE,Légumes frais,Légumes frais,Légumes frais sous abris,1,0.11,0,0,0,0,0.11
2008,53,Bretagne,35,Ille-et-Vilaine,200072452,Communauté d'agglomération Fougères Agglomération,35310,35133,SAINT-SAUVEUR-DES-LANDES,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Mélanges Céréaliers (sans légumineuses),1,1.75,0,0,0,0,1.75
2008,53,Bretagne,35,Ille-et-Vilaine,200072452,Communauté d'agglomération Fougères Agglomération,35310,35133,SAINT-SAUVEUR-DES-LANDES,SF,Surfaces et cultures fourragères,Cultures fourragères,Maïs fourrager,1,3.09,0,0,0,0,3.09
2008,53,Bretagne,35,Ille-et-Vilaine,200072452,Communauté d'agglomération Fougères Agglomération,35310,35133,SAINT-SAUVEUR-DES-LANDES,SF,Surfaces et cultures fourragères,Cultures fourragères,Prairie temporaire,1,27.02,0,0,0,0,27.02
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35001,35690,ACIGNÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Avoine,1,3.35,0,0,0,0,3.35
