annee,coderegion,region,codedepartement,departement,codeepci,epci,codeinseecommune,codepostalcommune,commune,productionprincipale,activites,codesimple_ptdi,nboperateur
2008,53,Bretagne,35,Ille-et-Vilaine,200072452,Communauté d'agglomération Fougères Agglomération,35310,35133,SAINT-SAUVEUR-DES-LANDES,Bovins lait,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35001,35690,ACIGNÉ,Bovins lait,Production,P,2
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35001,35690,ACIGNÉ,Légumes,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35024,35830,BETTON,Bovins lait,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35024,35830,BETTON,Groupe non renseigné,Distribution,D,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35024,35830,BETTON,Groupe non renseigné,Préparation,T,2
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35024,35830,BETTON,Légumes,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,Bovins lait,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,Fruits,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,Groupe non renseigné,Distribution,D,2
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,Porcins,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35039,35530,BRÉCÉ,Ovins Lait,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35047,35170,BRUZ,Groupe non renseigné,Distribution,D,3
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35047,35170,BRUZ,Groupe non renseigné,Préparation,T,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35051,35510,CESSON-SÉVIGNÉ,Bovins lait,Production,P,2
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35051,35510,CESSON-SÉVIGNÉ,Groupe non renseigné,Distribution,D,2
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35051,35510,CESSON-SÉVIGNÉ,Groupe non renseigné,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35051,35510,CESSON-SÉVIGNÉ,Groupe non renseigné,Préparation,T,2
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35055,35135,CHANTEPIE,Bovins lait,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35055,35135,CHANTEPIE,Bovins viande,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35055,35135,CHANTEPIE,Groupe non renseigné,Préparation,T,3
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35066,35131,CHARTRES-DE-BRETAGNE,Groupe non renseigné,Préparation,T,3
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35076,35310,CHAVAGNE,Bovins lait,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35079,35250,CHEVAIGNÉ,Groupe non renseigné,Distribution,D,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35081,35590,CLAYES,Bovins lait,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35088,35150,CORPS-NUDS,Bovins viande,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35088,35150,CORPS-NUDS,Caprins,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35088,35150,CORPS-NUDS,Légumes,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35120,35850,GÉVEZÉ,Groupe non renseigné,Production,P,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35131,35590,L'HERMITAGE,Groupe non renseigné,Distribution,D,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35131,35590,L'HERMITAGE,Groupe non renseigné,Préparation,T,1
