codgeo,id_col,bord,troue,enclave,isole,multi_poly,voisins_codgeo,voisins_id,dep,reg,libgeo,xct3857,xcl3857,yct3857,ycl3857
35230,c4,Z,Z,Z,Z,Z,35271|35357|35071|35191|35111,13438|13514|13252|13363|13288,35,53,Poilley,-139939,-140507,6184974,6184796
35235,c0,Z,Z,Z,Z,Z,35008|35325|53098|53197|53041|53192|35077|35114|35102|35239|35199|35005|35359|35125,13195|13486|19275|19366|19226|19362|13256|13290|13279|13409|13371|13192|13516|13301,35,53,Rannée,-133843,-138188,6092665,6094042
35238,c0,Z,Z,Z,Z,Z,35024|35051|35055|35206|35281|35240|35353|35210|35189|35278,13209|13233|13236|13378|13448|13410|13510|13381|13361|13445,35,53,Rennes,-185654,-187023,6125725,6125438
35240,c2,Z,Z,Z,Z,Z,35210|35353|35238|35281|35076|35196|35131,13381|13510|13408|13448|13255|13368|13306,35,53,Le Rheu,-197927,-199683,6123356,6123640
35245,c3,Z,Z,Z,Z,Z,35058|35144|35120|35216|35227|35023|35135|35180,13239|13319|13296|13386|13397|13208|13310|13353,35,53,Romillé,-209630,-210659,6143689,6142787
35250,c4,Z,Z,Z,Z,Z,35204|35088|35032|35352,13376|13266|13217|13509,35,53,Saint-Armel,-176197,-177406,6108568,6109203
35266,c4,Z,Z,Z,Z,Z,35352|35032|35208|35363|35206,13509|13217|13380|13520|13378,35,53,Saint-Erblon,-182814,-183821,6109741,6109873
35275,c2,Z,Z,Z,Z,Z,35081|35216|35120|35210|35131|35065|35040|35227,13260|13386|13296|13381|13306|13246|13224|13397,35,53,Saint-Gilles,-206442,-203622,6131962,6132599
35278,c3,Z,Z,Z,Z,Z,35024|35238|35189|35059|35173,13209|13408|13361|13240|13346,35,53,Saint-Grégoire,-187149,-187268,6131881,6132488
35281,c3,Z,Z,Z,Z,Z,35238|35206|35066|35047|35076|35240,13408|13378|13247|13230|13255|13410,35,53,Saint-Jacques-de-la-Lande,-191721,-190680,6119364,6120275
35310,c2,Z,Z,Z,Z,Z,35273|35243|35063|35282|35280|35257,13440|13413|13244|13449|13447|13426,35,53,Saint-Sauveur-des-Landes,-146315,-146197,6164851,6164043
35315,c4,Z,Z,Z,Z,Z,35152|35024|35197|35067,13326|13209|13369|13248,35,53,Saint-Sulpice-la-Forêt,-174589,-175731,6143669,6143325
35334,c3,Z,Z,Z,Z,Z,35152|35001|35051|35024,13326|13188|13233|13209,35,53,Thorigné-Fouillard,-175582,-176074,6133241,6132383
35351,c4,Z,Z,Z,Z,Z,35331|35196|35037|35319|35187,13492|13368|13221|13481|13359,35,53,Le Verger,-215587,-215135,6117753,6118648
35352,c0,Z,Z,Z,Z,Z,35055|35099|35204|35250|35032|35266|35206,13236|13277|13376|13420|13217|13435|13378,35,53,Vern-sur-Seiche,-178291,-178299,6116509,6114270
35353,c3,Z,Z,Z,Z,Z,35238|35240|35210,13408|13410|13381,35,53,Vezin-le-Coquet,-194655,-195383,6126212,6126680
35363,c2,Z,Z,Z,Z,Z,35206|35266|35208|35139|35047|35066,13378|13435|13380|13314|13230|13247,35,53,Pont-Péan,-189110,-189907,6108981,6108657
