codgeo,nb_vp,nb_vp_rechargeables_el,date_arrete
35351,1324,7,2021-12-31
35351,1327,9,2022-06-30
35351,1331,13,2023-03-31
35352,8455,59,2021-03-31
35352,8461,81,2021-09-30
35352,8512,191,2022-12-31
35352,8675,269,2023-12-31
35353,4734,36,2021-03-31
35353,4774,48,2021-09-30
35353,4784,53,2021-12-31
35353,4868,79,2022-12-31
35353,4870,90,2023-03-31
35353,4913,100,2023-09-30
35353,4953,114,2023-12-31
35363,4058,36,2021-03-31
35363,4077,61,2022-06-30
35363,4106,79,2023-03-31
35363,4114,89,2023-09-30
35001,6348,111,2022-06-30
35001,6379,138,2023-03-31
35001,6471,161,2023-12-31
35022,798,0,2021-03-31
35022,846,4,2021-12-31
35022,854,8,2022-09-30
35022,846,8,2022-12-31
35022,831,12,2023-09-30
35022,834,12,2023-12-31
35024,11000,98,2021-03-31
35024,11075,107,2021-06-30
35024,11236,149,2022-03-31
35024,11289,174,2022-06-30
35024,11392,211,2022-12-31
35024,11445,254,2023-06-30
35032,4289,32,2021-03-31
35032,4316,36,2021-06-30
35032,4342,43,2021-09-30
35032,4383,68,2022-06-30
35032,4605,121,2023-12-31
35039,2012,15,2020-12-31
35039,2047,24,2021-06-30
35039,2093,31,2021-12-31
35039,2185,78,2023-06-30
35051,20147,330,2020-12-31
35051,20292,392,2021-03-31
35051,20405,578,2022-03-31
35051,20568,587,2022-09-30
35051,20786,665,2022-12-31
35051,21564,1096,2023-09-30
35051,21622,1146,2023-12-31
35055,9610,193,2023-12-31
35058,1310,7,2020-12-31
35058,1349,21,2022-12-31
35058,1341,23,2023-06-30
35058,1343,26,2023-09-30
35059,4353,55,2021-06-30
35059,4369,72,2022-03-31
35065,2231,7,2021-03-31
35065,2272,13,2021-12-31
35065,2291,14,2022-03-31
35065,2337,32,2023-12-31
35066,7814,65,2021-09-30
35066,7933,87,2022-09-30
35066,8031,132,2023-09-30
35076,3864,28,2021-03-31
35076,4044,57,2022-06-30
35076,4069,71,2023-03-31
35079,2185,13,2021-03-31
35079,2213,20,2021-09-30
35079,2228,56,2023-06-30
