date_mesure,geocode_commune,libelle_commune,valeur
2022-01-01T00:00:00.000,35275,Saint-Gilles,2179.19048888662
2022-01-01T00:00:00.000,35196,Mordelles,3326.0
2011-01-01T00:00:00.000,35266,Saint-Erblon,935.372395039932
2011-01-01T00:00:00.000,35120,Gévezé,1551.0602888026378
2022-01-01T00:00:00.000,35204,Nouvoitou,1405.8526853535568
2016-01-01T00:00:00.000,35001,Acigné,2527.0
2011-01-01T00:00:00.000,35088,Corps-Nuds,1067.845064908159
2011-01-01T00:00:00.000,35058,La Chapelle-Chaussée,388.991432736663
2016-01-01T00:00:00.000,35245,Romillé,1400.640107341487
2016-01-01T00:00:00.000,35363,Pont-Péan,1567.911860280475
2016-01-01T00:00:00.000,35135,Irodouër,774.1078465580349
2011-01-01T00:00:00.000,35189,Montgermont,1298.340079675241
2022-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,3359.5895026173903
2016-01-01T00:00:00.000,35170,Mecé,224.9935332367055
2022-01-01T00:00:00.000,35131,L'Hermitage,1889.799393956299
2011-01-01T00:00:00.000,35353,Vezin-le-Coquet,1511.0
2022-01-01T00:00:00.000,35047,Bruz,7979.344404833911
2011-01-01T00:00:00.000,35245,Romillé,1304.1152992677971
2016-01-01T00:00:00.000,35190,Monthault,106.78228782287849
2011-01-01T00:00:00.000,35022,Bécherel,260.32164392186564
2016-01-01T00:00:00.000,35144,Langan,353.857425742575
2011-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,256.095430107527
2016-01-01T00:00:00.000,35022,Bécherel,260.5167068585147
2022-01-01T00:00:00.000,35136,Janzé,3412.0
2016-01-01T00:00:00.000,35353,Vezin-le-Coquet,1878.0
2022-01-01T00:00:00.000,35160,Loutehel,101.39731330520729
2016-01-01T00:00:00.000,35189,Montgermont,1324.823772031409
2022-01-01T00:00:00.000,35189,Montgermont,1576.793335722402
2011-01-01T00:00:00.000,35055,Chantepie,4037.1511606804197
2016-01-01T00:00:00.000,35032,Bourgbarré,1431.49310264204
2011-01-01T00:00:00.000,35275,Saint-Gilles,1479.5273947341839
