batiment_groupe_id;code_departement_insee;millesime;nb_pdl_res;nb_pdl_pro;nb_pdl_tot;conso_res;conso_pro;conso_tot;conso_res_par_pdl;conso_pro_par_pdl;conso_tot_par_pdl
bdnb-bg-1KPR-BHNZ-TC8E;35;2020;1.000;0.000;1.000;249204.500;0.000;249204.500;249204.500;;249204.500
bdnb-bg-1KPR-BHNZ-TC8E;35;2021;1.000;0.000;1.000;271509.400;0.000;271509.400;271509.400;;271509.400
bdnb-bg-1KPR-BHNZ-TC8E;35;2022;1.000;0.000;1.000;177731.000;0.000;177731.000;177731.000;;177731.000
bdnb-bg-1KPR-BHNZ-TC8E;35;2023;1.000;0.000;1.000;172100.200;0.000;172100.200;172100.200;;172100.200
bdnb-bg-1KV1-ASD4-QXSC;35;2018;14.000;0.000;14.000;112566.900;0.000;112566.900;8040.493;;8040.493
bdnb-bg-1KV1-ASD4-QXSC;35;2019;15.000;0.000;15.000;107101.600;0.000;107101.600;7140.107;;7140.107
bdnb-bg-1KV1-ASD4-QXSC;35;2020;15.000;0.000;15.000;104019.900;0.000;104019.900;6934.660;;6934.660
bdnb-bg-1KV1-ASD4-QXSC;35;2021;15.000;0.000;15.000;120614.900;0.000;120614.900;8040.993;;8040.993
bdnb-bg-1KV1-ASD4-QXSC;35;2022;15.000;0.000;15.000;94463.700;0.000;94463.700;6297.580;;6297.580
bdnb-bg-1KV1-ASD4-QXSC;35;2023;15.000;0.000;15.000;84452.200;0.000;84452.200;5630.147;;5630.147
bdnb-bg-1KV1-ASD4-QXSC;35;2024;14.000;0.000;14.000;83648.500;0.000;83648.500;5974.893;;5974.893
bdnb-bg-1KYS-223S-VPJR;35;2018;1.000;0.000;1.000;297941.700;0.000;297941.700;297941.700;;297941.700
bdnb-bg-1KYS-223S-VPJR;35;2019;1.000;0.000;1.000;284316.900;0.000;284316.900;284316.900;;284316.900
bdnb-bg-1KYS-223S-VPJR;35;2020;1.000;0.000;1.000;283794.500;0.000;283794.500;283794.500;;283794.500
bdnb-bg-1KYS-223S-VPJR;35;2021;1.000;0.000;1.000;312767.800;0.000;312767.800;312767.800;;312767.800
bdnb-bg-1KYS-223S-VPJR;35;2022;1.000;0.000;1.000;267189.500;0.000;267189.500;267189.500;;267189.500
bdnb-bg-1KYS-223S-VPJR;35;2023;1.000;0.000;1.000;283171.800;0.000;283171.800;283171.800;;283171.800
bdnb-bg-1KYS-223S-VPJR;35;2024;1.000;0.000;1.000;309719.900;0.000;309719.900;309719.900;;309719.900
bdnb-bg-1L7C-BGBT-5XPE;35;2018;15.000;0.000;15.000;77014.100;0.000;77014.100;5134.273;;5134.273
bdnb-bg-1L7C-BGBT-5XPE;35;2019;15.000;0.000;15.000;69677.700;0.000;69677.700;4645.180;;4645.180
bdnb-bg-1L7C-BGBT-5XPE;35;2020;15.000;0.000;15.000;72918.900;0.000;72918.900;4861.260;;4861.260
bdnb-bg-1L7C-BGBT-5XPE;35;2021;15.000;0.000;15.000;84293.400;0.000;84293.400;5619.560;;5619.560
bdnb-bg-1L7C-BGBT-5XPE;35;2022;15.000;0.000;15.000;69695.300;0.000;69695.300;4646.353;;4646.353
bdnb-bg-1L7C-BGBT-5XPE;35;2023;15.000;0.000;15.000;74791.500;0.000;74791.500;4986.100;;4986.100
bdnb-bg-1L7C-BGBT-5XPE;35;2024;15.000;0.000;15.000;78433.400;0.000;78433.400;5228.893;;5228.893
bdnb-bg-1LG1-V6GH-XG4V;35;2018;26.000;0.000;26.000;137810.600;0.000;137810.600;5300.408;;5300.408
bdnb-bg-1LG1-V6GH-XG4V;35;2019;26.000;0.000;26.000;133080.300;0.000;133080.300;5118.473;;5118.473
bdnb-bg-1LG1-V6GH-XG4V;35;2020;26.000;0.000;26.000;136400.800;0.000;136400.800;5246.185;;5246.185
bdnb-bg-1LG1-V6GH-XG4V;35;2021;26.000;0.000;26.000;168872.700;0.000;168872.700;6495.104;;6495.104
bdnb-bg-1LG1-V6GH-XG4V;35;2022;26.000;0.000;26.000;128194.700;0.000;128194.700;4930.565;;4930.565
bdnb-bg-1LG1-V6GH-XG4V;35;2023;26.000;0.000;26.000;132768.700;0.000;132768.700;5106.488;;5106.488
bdnb-bg-1LG1-V6GH-XG4V;35;2024;26.000;0.000;26.000;134297.400;0.000;134297.400;5165.285;;5165.285
bdnb-bg-1LRM-81R9-MLGV;35;2018;16.000;0.000;16.000;71954.100;0.000;71954.100;4497.131;;4497.131
bdnb-bg-1LRM-81R9-MLGV;35;2019;17.000;0.000;17.000;79978.100;0.000;79978.100;4704.594;;4704.594
bdnb-bg-1LRM-81R9-MLGV;35;2020;10.000;0.000;10.000;44665.100;0.000;44665.100;4466.510;;4466.510
bdnb-bg-1LRM-81R9-MLGV;35;2021;10.000;0.000;10.000;54399.000;0.000;54399.000;5439.900;;5439.900
bdnb-bg-1LRM-81R9-MLGV;35;2022;17.000;0.000;17.000;65751.000;0.000;65751.000;3867.706;;3867.706
bdnb-bg-1LRM-81R9-MLGV;35;2023;17.000;0.000;17.000;66436.700;0.000;66436.700;3908.041;;3908.041
bdnb-bg-1LRM-81R9-MLGV;35;2024;17.000;0.000;17.000;65978.200;0.000;65978.200;3881.071;;3881.071
bdnb-bg-1MDL-6QET-3MDU;35;2018;63.000;0.000;63.000;38322.400;0.000;38322.400;608.292;;608.292
bdnb-bg-1MDL-6QET-3MDU;35;2019;61.000;0.000;61.000;39855.000;0.000;39855.000;653.361;;653.361
