batiment_groupe_id;code_departement_insee;identifiant_dpe;type_dpe_tertiaire;source_nouvelle_base_ademe;version;date_etablissement_dpe;date_reception_dpe;annee_construction_dpe;shon;surface_utile;classe_conso_energie_dpe_tertiaire;classe_emission_ges_dpe_tertiaire;conso_dpe_tertiaire_ep_m2;emission_ges_dpe_tertiaire_m2;categorie_erp_dpe_tertiaire;periode_construction_dpe;type_erp_dpe_tertiaire;methode_application_dpe_tertiaire;sous_modele_dpe_tertiaire;type_energie_chauffage;type_energie_ecs;type_energie_climatisation;derniere_annee_consommation;conso_autre_fossile;conso_bois;conso_electricite;conso_fioul;conso_gaz;conso_gpl_butane_propane;conso_reseau_chaleur;conso_reseau_froid
bdnb-bg-LN9Y-9G1J-X1V2;35;1635V4000173O;dpe 2006 tertiaire et erp;0;;;2016/09/28 00:00:00;;866;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;electricite;;;;;;;;;
bdnb-bg-LS4S-D1A6-M7T7;35;1335V8000202I;dpe 2006 tertiaire et erp;0;;;2013/12/07 00:00:00;1997;75.45;75.45;G;D;920.02;29.95;;1989-2000;m : magasins de vente, centres commerciaux;dpe tertiaire facture;;;;electricite;;;;;;;;;
bdnb-bg-LYGQ-8G2U-TY98;35;2435T0587948L;dpe 2006 tertiaire et erp;1;2.3;2024/02/18 23:00:00;2024/02/19 10:31:09.819;;170;;;;;;5ème catégorie;après 2021;w : administrations, banques, bureaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-LYUU-WYAE-MVFN;35;2435T0099881Q;dpe 2006 tertiaire et erp;1;2.3;2024/01/09 23:00:00;2024/01/10 17:53:06.995;;158;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-LZ1L-QBY9-U3XX;35;2435T2122879G;dpe 2006 tertiaire et erp;1;2.3;2024/06/12 22:00:00;2024/06/13 17:10:25.855;;281.05;;;;;;5ème catégorie;1948-1974;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-LZ87-74HB-KA7U;35;2535T2461622W;dpe 2006 tertiaire et erp;1;2.4;2025/07/25 22:00:00;2025/07/26 15:53:59.625;1983;365;;;;;;5ème catégorie;1983-1988;locaux d'entreprise (bureaux);dpe tertiaire vierge;bureaux, services administratifs, enseignement;;;;;;;;;;;;
bdnb-bg-M5XL-45GM-3P9M;35;2635T0136441W;dpe 2006 tertiaire et erp;1;2.6;2026/01/16 23:00:00;2026/01/17 12:30:11.401;;264.28;264.28;;;;;5ème catégorie;avant 1948;n : restaurants et débits de boisson;dpe tertiaire vierge dans un bâtiment de logement;autres;;;;;;;;;;;;
bdnb-bg-M69D-LUVA-KNUK;35;1435V8000475V;dpe 2006 tertiaire et erp;0;;;2014/12/31 00:00:00;1947;;56;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-M6S2-YZCJ-9TPA;35;1735V4000243N;dpe 2006 tertiaire et erp;0;;;2017/12/04 00:00:00;1947;;122.32;;;;;;avant 1948;w : administrations, banques, bureaux;dpe tertiaire vierge;;gaz;electricite;;;;;;;;;;
bdnb-bg-M7NH-JUK4-R5GL;35;2235T0648047W;dpe 2006 tertiaire et erp;1;2.1;2022/03/28 22:00:00;2022/03/29 21:00:29.940;1947;23.72;;;;;;5ème catégorie;avant 1948;w : administrations, banques, bureaux;dpe tertiaire vierge;;;;;;;;;;;;;
