batiment_groupe_id;code_departement_insee;identifiant_dpe;type_dpe_tertiaire;source_nouvelle_base_ademe;version;date_etablissement_dpe;date_reception_dpe;annee_construction_dpe;shon;surface_utile;classe_conso_energie_dpe_tertiaire;classe_emission_ges_dpe_tertiaire;conso_dpe_tertiaire_ep_m2;emission_ges_dpe_tertiaire_m2;categorie_erp_dpe_tertiaire;periode_construction_dpe;type_erp_dpe_tertiaire;methode_application_dpe_tertiaire;sous_modele_dpe_tertiaire;type_energie_chauffage;type_energie_ecs;type_energie_climatisation;derniere_annee_consommation;conso_autre_fossile;conso_bois;conso_electricite;conso_fioul;conso_gaz;conso_gpl_butane_propane;conso_reseau_chaleur;conso_reseau_froid
bdnb-bg-18LN-CBEA-W27F;35;1635V8000477@;dpe 2006 tertiaire et erp;0;;;2016/10/10 00:00:00;;295;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1A9B-3P4T-GXT7;35;1835V7000081R;dpe 2006 tertiaire et erp;0;;;2018/10/25 00:00:00;;28.7;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1APC-8ECS-3436;35;1635V4000168S;dpe 2006 tertiaire et erp;0;;;2016/09/22 00:00:00;;282;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1CU4-17JQ-B8Q2;35;2235T1730961K;dpe 2006 tertiaire et erp;1;2.1;2022/07/27 22:00:00;2022/07/28 13:12:48.710;;145;;;;;;5ème catégorie;avant 1948;n : restaurants et débits de boisson;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1D3W-WJMD-WVKM;35;1435V7000061L;dpe 2006 tertiaire et erp;0;;;2014/06/17 00:00:00;1947;29.36;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1DEG-2GHA-6JTR;35;2535T3620141H;dpe 2006 tertiaire et erp;1;2.5;2025/11/17 23:00:00;2025/11/18 08:38:00.714;2024;50.9;;;;;;5ème catégorie;après 2021;locaux d'entreprise (bureaux);dpe tertiaire vierge;autres;;;;;;;;;;;;
bdnb-bg-1DH3-FGUX-7LSG;35;1635V8000211L;dpe 2006 tertiaire et erp;0;;;2016/04/12 00:00:00;1947;69;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1E65-36WF-T2XL;35;2435T1021905C;dpe 2006 tertiaire et erp;1;2.3;2024/03/17 23:00:00;2024/03/21 10:06:22.512;1970;;3300;;;;;;1948-1974;autres tertiaires non erp;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1FGF-8G3J-2SGD;35;2535T2175549B;dpe 2006 tertiaire et erp;1;2.4;2025/06/30 22:00:00;2025/07/01 15:59:05.234;2018;608;;;;;;5ème catégorie;2013-2021;locaux d'entreprise (bureaux);dpe tertiaire vierge;autres;;;;;;;;;;;;
bdnb-bg-1FM1-DMTB-DH1Q;35;2035V4000028I;dpe 2006 tertiaire et erp;0;;;2020/02/03 00:00:00;1974;;;;;;;;1948-1974;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1HBA-NU46-YZTU;35;1735V7000008P;dpe 2006 tertiaire et erp;0;;;2017/02/06 00:00:00;1947;60;;;;;;;avant 1948;;dpe tertiaire vierge;;reseau de chaleur;reseau de chaleur;;;;;;;;;;
bdnb-bg-1HH4-637G-23KY;35;2535T2362166Q;dpe 2006 tertiaire et erp;1;2.4;2025/07/16 22:00:00;2025/07/17 15:39:47.003;1995;600;;;;;;5ème catégorie;1989-2000;autres tertiaires non erp;dpe tertiaire vierge;autres;;;;;;;;;;;;
bdnb-bg-1HM8-HXAK-VZUC;35;2435T0806440Z;dpe 2006 tertiaire et erp;1;2.3;2024/03/04 23:00:00;2024/03/05 12:55:19.502;;179.6;;;;;;5ème catégorie;avant 1948;n : restaurants et débits de boisson;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1KAN-WWG5-X5ZA;35;2235T2421883I;dpe 2006 tertiaire et erp;1;2.2;2022/10/16 22:00:00;2022/10/17 15:27:13.609;1950;67.51;;;;;;5ème catégorie;1948-1974;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1KL9-Q4QX-JPY1;35;1535V8000296X;dpe 2006 tertiaire et erp;0;;;2015/07/07 00:00:00;1974;;2370;;;;;1ère catégorie;1948-1974;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1L3F-QJD8-ZH42;35;2435T1597432T;dpe 2006 tertiaire et erp;1;2.3;2024/05/01 22:00:00;2024/05/02 16:35:34.472;;172.15;;;;;;5ème catégorie;2001-2005;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1LBZ-NFHF-KLKV;35;2535T3724873L;dpe 2006 tertiaire et erp;1;2.5;2025/11/25 23:00:00;2025/11/26 17:32:31.795;1900;;116;;;;;5ème catégorie;avant 1948;n : restaurants et débits de boisson;dpe tertiaire vierge;autres;;;;;;;;;;;;
bdnb-bg-1LDZ-9B4D-TYE5;35;2335T2715639R;dpe 2006 tertiaire et erp;1;2.3;2023/08/10 22:00:00;2023/08/11 15:07:30.028;;130;;;;;;5ème catégorie;1948-1974;n : restaurants et débits de boisson;dpe tertiaire vierge dans un bâtiment de logement;;;;;;;;;;;;;
bdnb-bg-1MGJ-N4Y2-2WTQ;35;2135T0784218E;dpe 2006 tertiaire et erp;1;1.1;2021/11/25 23:00:00;2021/11/26 15:37:11.960;1947;14.63;;;;0.1;0.1;5ème catégorie;avant 1948;w : administrations, banques, bureaux;dpe tertiaire vierge;;electricite;;;;;;;;;;;
bdnb-bg-1MPD-EU22-ZWGA;35;2435T4179506H;dpe 2006 tertiaire et erp;1;2.4;2024/11/25 23:00:00;2024/11/26 18:34:37.196;1910;144;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;autres;;;;;;;;;;;;
bdnb-bg-1PF7-JAXA-CB4E;35;2435T3939752Z;dpe 2006 tertiaire et erp;1;2.4;2024/11/06 23:00:00;2024/11/07 16:28:33.394;;66.6;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge dans un bâtiment de logement;autres;;;;;;;;;;;;
bdnb-bg-1PNN-LKUD-91AG;35;1635V3000005H;dpe 2006 tertiaire et erp;0;;;2016/01/29 00:00:00;1947;79;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1PRQ-4WQK-24Z4;35;1835V7000045R;dpe 2006 tertiaire et erp;0;;;2018/06/11 00:00:00;1947;32;;;;;;;avant 1948;;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1PXM-9BK8-9KQ8;35;1435C1000027G;dpe 2006 tertiaire et erp;0;;;2014/12/01 00:00:00;1947;35;;;;;;;avant 1948;;dpe tertiaire vierge;;gaz;gaz;;;;;;;;;;
bdnb-bg-1Q52-JYQU-VMMP;35;2135T0417852E;dpe 2006 tertiaire et erp;1;1;2021/09/29 22:00:00;2021/09/30 07:51:57.209;1948;184.73;;;;0.1;0.1;5ème catégorie;1948-1974;j : structures d’accueil pour personnes âgées ou personnes handicapées;dpe tertiaire vierge;;electricite;;;;;;;;;;;
bdnb-bg-1R3B-BKVQ-8CQ9;35;2535T0582977H;dpe 2006 tertiaire et erp;1;2.4;2025/02/19 23:00:00;2025/02/20 16:07:33.936;;161;;;;;;5ème catégorie;1948-1974;locaux d'entreprise (bureaux);dpe tertiaire vierge;bureaux, services administratifs, enseignement;;;;;;;;;;;;
bdnb-bg-1RC3-5LMU-XFCR;35;2435T0765268L;dpe 2006 tertiaire et erp;1;2.3;2024/02/29 23:00:00;2024/03/01 09:18:50.797;;25;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge dans un bâtiment de logement;;;;;;;;;;;;;
bdnb-bg-1RS4-NQXA-T8ZS;35;2435T1160332F;dpe 2006 tertiaire et erp;1;2.3;2024/03/26 23:00:00;2024/03/29 15:10:39.027;2009;442.73;300.79;;;;;;2006-2012;n : restaurants et débits de boisson;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1SS5-BNPN-AC2A;35;2235T2339294V;dpe 2006 tertiaire et erp;1;2.2;2022/10/09 22:00:00;2022/10/10 09:11:15.381;;431;;;;;;5ème catégorie;2006-2012;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1SUG-7VQ8-1R34;35;2335T4456143D;dpe 2006 tertiaire et erp;1;2.3;2023/12/21 23:00:00;2023/12/22 15:53:19.731;;580;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1TAD-AZ11-MTPZ;35;2235T0977098R;dpe 2006 tertiaire et erp;1;2.1;2022/05/05 22:00:00;2022/05/06 06:37:28.655;;59;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1THZ-E2Z2-QZ36;35;2535T2504921F;dpe 2006 tertiaire et erp;1;2.4;2025/07/29 22:00:00;2025/07/30 16:45:47.327;1989;22;22;;;;;1ère catégorie;1989-2000;w : administrations, banques, bureaux;dpe tertiaire vierge;bureaux, services administratifs, enseignement;;;;;;;;;;;;
bdnb-bg-1VPP-MR23-ZLKS;35;2335T1137985R;dpe 2006 tertiaire et erp;1;2.2;2023/04/04 22:00:00;2023/04/05 13:54:33.607;;60;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge dans un bâtiment de logement;;;;;;;;;;;;;
bdnb-bg-1VUZ-YFA4-USTQ;35;1435V8000204L;dpe 2006 tertiaire et erp;0;;;2014/06/05 00:00:00;;190;;C;C;139;20;;;;dpe tertiaire facture;;;;electricite;;;;;;;;;
bdnb-bg-1XYK-YZDR-7HRD;35;1535V3000039N;dpe 2006 tertiaire et erp;0;;;2015/10/08 00:00:00;;176;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1ZNW-LPU5-GHYM;35;2535T3491417J;dpe 2006 tertiaire et erp;1;2.5;2025/11/04 23:00:00;2025/11/05 08:54:52.786;1948;150;150;;;;;;avant 1948;n : restaurants et débits de boisson;dpe tertiaire vierge;autres;;;;;;;;;;;;
bdnb-bg-1ZQL-QP9R-PD2A;35;1935V8000383Y;dpe 2006 tertiaire et erp;0;;;2019/09/20 00:00:00;1947;32;;;;;;;avant 1948;;dpe tertiaire vierge;;gaz;gaz;;;;;;;;;;
bdnb-bg-22CD-44L2-UZ9F;35;1635V6000002H;dpe 2006 tertiaire et erp;0;;;2016/06/06 00:00:00;1947;515;;;;;;;avant 1948;;dpe tertiaire vierge;;gaz;electricite;;;;;;;;;;
bdnb-bg-22P1-JZF1-T9PF;35;1535V8000075S;dpe 2006 tertiaire et erp;0;;;2015/03/03 00:00:00;1947;230;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-23RM-MN6Z-ZL87;35;1635XX000001X;dpe 2006 tertiaire et erp;0;;;2016/03/26 00:00:00;1947;;;F;E;437.76;49.47;;avant 1948;n : restaurants et débits de boisson;dpe tertiaire facture;;;;;;;;;;;;;
bdnb-bg-24FC-9N9R-W6QG;35;1635V3000052J;dpe 2006 tertiaire et erp;0;;;2016/09/06 00:00:00;;139.52;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-24HP-Y24S-X9H4;35;2535T1733979P;dpe 2006 tertiaire et erp;1;2.4;2025/05/25 22:00:00;2025/05/26 11:18:55.583;;30;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge dans un bâtiment de logement;autres;;;;;;;;;;;;
bdnb-bg-265S-BDLE-W7EK;35;1635V8000163R;dpe 2006 tertiaire et erp;0;;;2016/03/17 00:00:00;1989;;110;;;;;;1989-2000;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-27K2-6FDX-GJEL;35;2535T2787835N;dpe 2006 tertiaire et erp;1;2.5;2025/09/02 22:00:00;2025/09/03 16:47:30.461;;50;;;;;;5ème catégorie;avant 1948;locaux d'entreprise (bureaux);dpe tertiaire vierge dans un bâtiment de logement;autres;;;;;;;;;;;;
bdnb-bg-28HB-XPQV-9NJZ;35;1435V7000062M;dpe 2006 tertiaire et erp;0;;;2014/06/26 00:00:00;1947;35.22;;;;;;5ème catégorie;avant 1948;gho : hôtel;dpe tertiaire vierge;;electricite;electricite;electricite;;;;;;;;;
bdnb-bg-29L7-V8RR-4HKL;35;1835V4000253P;dpe 2006 tertiaire et erp;0;;;2018/10/11 00:00:00;;120;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;electricite;;;;;;;;;
bdnb-bg-2BK7-MNEN-MAL4;35;1835V7000085V;dpe 2006 tertiaire et erp;0;;;2018/11/07 00:00:00;1947;199;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-2D5T-Q6SG-P1QB;35;2135T0837993L;dpe 2006 tertiaire et erp;1;1.1;2021/12/02 23:00:00;2021/12/03 15:21:06.992;1947;54.5;;;;0.1;0.1;5ème catégorie;avant 1948;n : restaurants et débits de boisson;dpe tertiaire vierge;;electricite;;;;;;;;;;;
bdnb-bg-2FA4-H142-NTPF;35;1635V8000003K;dpe 2006 tertiaire et erp;0;;;2016/01/05 00:00:00;1947;70;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-2FPG-LURQ-FSAN;35;2335T1964719D;dpe 2006 tertiaire et erp;1;2.2;2023/06/12 22:00:00;2023/06/13 15:25:53.829;2012;601.2;181.4;;;;;;2006-2012;autres tertiaires non erp;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-2GN6-4WKL-9G25;35;2435T0764256N;dpe 2006 tertiaire et erp;1;2.3;2024/02/28 23:00:00;2024/03/01 08:18:45.069;1949;74;81.4;G;G;756;26;;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire facture dans un bâtiment de logement;;;electricite;;2024;;;27987;;;;;
bdnb-bg-2KYB-1L23-DZLC;35;2235T2174432Z;dpe 2006 tertiaire et erp;1;2.2;2022/09/21 22:00:00;2022/09/22 09:55:22.505;2015;1498.62;;;;;;5ème catégorie;2013-2021;j : structures d’accueil pour personnes âgées ou personnes handicapées;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-2L8G-VQYZ-EF93;35;1735V7000074S;dpe 2006 tertiaire et erp;0;;;2017/06/20 00:00:00;1947;254;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-2MK7-UW8X-ULPQ;35;1535V8000462S;dpe 2006 tertiaire et erp;0;;;2015/10/15 00:00:00;1947;;17;;;;;;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-2MTR-9DRC-HQZ7;35;1535V8000451Q;dpe 2006 tertiaire et erp;0;;;2015/10/13 00:00:00;1947;;26;;;;;1ère catégorie;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-2MX2-KXTV-U7Q9;35;1835V6000011J;dpe 2006 tertiaire et erp;0;;;2018/06/29 00:00:00;1958;;;;;;;;1948-1974;o : hôtels et pensions de famille;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-2N6P-E9SH-5AR1;35;1435V4000008J;dpe 2006 tertiaire et erp;0;;;2014/01/21 00:00:00;1948;;;;;;;;1948-1974;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-2NEA-TQCH-6H3Z;35;2435T2435438T;dpe 2006 tertiaire et erp;1;2.4;2024/07/04 22:00:00;2024/07/05 09:09:41.215;;280;;;;;;5ème catégorie;1948-1974;locaux d'entreprise (bureaux);dpe tertiaire vierge dans un bâtiment de logement;bureaux, services administratifs, enseignement;;;;;;;;;;;;
bdnb-bg-2P4L-NCPK-CGBS;35;1835V8000207S;dpe 2006 tertiaire et erp;0;;;2018/06/01 00:00:00;1947;171.47;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;electricite;;;;;;;;;
bdnb-bg-2PTS-8UXD-NE11;35;1835V8000119U;dpe 2006 tertiaire et erp;0;;;2018/03/22 00:00:00;;950;;;;;;;;;dpe tertiaire vierge;;gaz;gaz;;;;;;;;;;
bdnb-bg-2PVK-KV6C-6YVV;35;1435V7000062M;dpe 2006 tertiaire et erp;0;;;2014/06/26 00:00:00;1947;35.22;;;;;;5ème catégorie;avant 1948;gho : hôtel;dpe tertiaire vierge;;electricite;electricite;electricite;;;;;;;;;
bdnb-bg-2QUB-Z6W8-4T49;35;1535V8000540P;dpe 2006 tertiaire et erp;0;;;2015/11/18 00:00:00;1947;51;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-2SMW-SB74-6RWF;35;2535T2199910A;dpe 2006 tertiaire et erp;1;2.4;2025/07/02 22:00:00;2025/07/03 07:48:35.278;;285;;;;;;5ème catégorie;1978-1982;o : hôtels et pensions de famille;dpe tertiaire vierge;bâtiments à occupation continue;;;;;;;;;;;;
bdnb-bg-2TRF-ZJPS-3ZYX;35;1735V4000179V;dpe 2006 tertiaire et erp;0;;;2017/10/11 00:00:00;1947;189.85;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;gaz;;;;;;;;;;
bdnb-bg-2TV4-3NS8-VCFD;35;2635T0056486R;dpe 2006 tertiaire et erp;1;2.6;2026/01/08 23:00:00;2026/01/09 10:32:34.726;;18.44;18.44;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;bureaux, services administratifs, enseignement;;;;;;;;;;;;
bdnb-bg-2V2K-B9PE-28R7;35;1935P2000004C;dpe 2006 tertiaire et erp;0;;;2019/07/10 00:00:00;;26.5;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-2VBA-WCEW-DHLP;35;2335T1549199P;dpe 2006 tertiaire et erp;1;2.2;2023/05/09 22:00:00;2023/05/10 17:51:10.797;;108;;;;;;5ème catégorie;1948-1974;autres tertiaires non erp;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-2VJZ-CX1Z-SYBK;35;2535T3397229T;dpe 2006 tertiaire et erp;1;2.5;2025/10/27 23:00:00;2025/10/28 13:11:13.690;1996;654;;;;;;5ème catégorie;1989-2000;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;autres;;;;;;;;;;;;
bdnb-bg-2XVW-UFR8-HEJ9;35;2235T1286193Y;dpe 2006 tertiaire et erp;1;2.1;2022/06/09 22:00:00;2022/06/10 15:46:13.773;;55;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-2Y7L-3QE5-HGAN;35;2335T2311347Z;dpe 2006 tertiaire et erp;1;2.2;2023/07/05 22:00:00;2023/07/08 15:04:26.563;1995;40.33;40.33;;;;;;1989-2000;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-31ZX-Z1W5-DHCK;35;1535V8000289@;dpe 2006 tertiaire et erp;0;;;2015/07/03 00:00:00;1974;;3229;;;;;1ère catégorie;1948-1974;;dpe tertiaire vierge;;electricite;electricite;electricite;;;;;;;;;
bdnb-bg-32VQ-7KXU-J68A;35;2235T3058228D;dpe 2006 tertiaire et erp;1;2.2;2022/12/14 23:00:00;2022/12/15 17:39:08.353;;1073.16;;;;;;5ème catégorie;1948-1974;w : administrations, banques, bureaux;dpe tertiaire vierge dans un bâtiment de logement;;;;;;;;;;;;;
bdnb-bg-35U6-E53N-WT2E;35;2335T4307982Q;dpe 2006 tertiaire et erp;1;2.3;2023/12/12 23:00:00;2023/12/13 17:25:23.354;;24.7;;;;;;5ème catégorie;1948-1974;m : magasins de vente, centres commerciaux;dpe tertiaire vierge dans un bâtiment de logement;;;;;;;;;;;;;
bdnb-bg-36WA-6E9G-PWZ5;35;1335V8000124L;dpe 2006 tertiaire et erp;0;;;2013/10/10 00:00:00;;925;;D;D;193;35;;;;dpe tertiaire facture;;;electricite;;;;;;;;;;
bdnb-bg-399D-Q89P-WU3J;35;2235T2798197Y;dpe 2006 tertiaire et erp;1;2.2;2022/11/22 23:00:00;2022/11/23 17:15:08.554;;129;;;;;;5ème catégorie;avant 1948;n : restaurants et débits de boisson;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-39F4-TJGX-JQU2;35;2135T0933351B;dpe 2006 tertiaire et erp;1;2;2021/12/15 23:00:00;2021/12/16 20:55:44.850;1948;41.3;;;;0.1;0.1;5ème catégorie;1948-1974;locaux d'entreprise (bureaux);dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-39X6-MD5Q-H1EM;35;1835V8000494A;dpe 2006 tertiaire et erp;0;;;2018/11/16 00:00:00;1947;259.23;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-3A9B-R2HW-X53Y;35;1935V8000217U;dpe 2006 tertiaire et erp;0;;;2019/05/28 00:00:00;1947;47.8;;;;;;;avant 1948;;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-3AGK-GGKT-Q7J5;35;1535V8000529W;dpe 2006 tertiaire et erp;0;;;2015/11/16 00:00:00;;225;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-3ALH-SJQH-KP2T;35;2335T3325927H;dpe 2006 tertiaire et erp;1;2.3;2023/10/03 22:00:00;2023/10/04 11:36:20.570;;47.78;;;;;;5ème catégorie;1978-1982;w : administrations, banques, bureaux;dpe tertiaire vierge dans un bâtiment de logement;;;;;;;;;;;;;
bdnb-bg-3ALT-KWZB-JHG3;35;1535V4000281N;dpe 2006 tertiaire et erp;0;;;2015/12/30 00:00:00;2000;;150;;;;;;1989-2000;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-3CM1-EHCM-QLQ3;35;1835V8000401O;dpe 2006 tertiaire et erp;0;;;2018/10/02 00:00:00;1947;63.22;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-3CQQ-5S4U-KELJ;35;1435V8000411L;dpe 2006 tertiaire et erp;0;;;2014/11/21 00:00:00;1947;137.8;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-3CTT-81ND-YN32;35;2135T0113748W;dpe 2006 tertiaire et erp;1;1;2021/07/28 22:00:00;2021/07/29 00:00:00;2010;182;182;;;;;;2006-2012;ghw : bureaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-3CU9-KLX5-Z6AF;35;1635V4000152L;dpe 2006 tertiaire et erp;0;;;2016/08/22 00:00:00;1970;106;106;D;D;295.11;44.37;5ème catégorie;1948-1974;w : administrations, banques, bureaux;dpe tertiaire facture;;;;;;;;;;;;;
bdnb-bg-3EQS-76D4-WRZW;35;1935C1000002E;dpe 2006 tertiaire et erp;0;;;2019/07/29 00:00:00;1947;55.68;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-3F2D-U12Z-VJ7M;35;2335T1021817R;dpe 2006 tertiaire et erp;1;2.2;2023/03/26 22:00:00;2023/03/27 19:16:01.869;;137.8;;;;;;5ème catégorie;avant 1948;locaux d'entreprise (bureaux);dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-3FWP-U9AX-FBD3;35;2535T3668754A;dpe 2006 tertiaire et erp;1;2.5;2025/11/20 23:00:00;2025/11/21 13:25:36.819;1945;173;173;;;;;1ère catégorie;avant 1948;autres tertiaires non erp;dpe tertiaire vierge dans un bâtiment de logement;autres;;;;;;;;;;;;
bdnb-bg-3FXU-9TG2-489Z;35;2335T0749561H;dpe 2006 tertiaire et erp;1;2.2;2023/03/06 23:00:00;2023/03/07 16:38:55.046;2022;979;;;;;;5ème catégorie;après 2021;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-3FXV-C863-LDDT;35;1935V8000142R;dpe 2006 tertiaire et erp;0;;;2019/04/04 00:00:00;1948;;;;;;;;1948-1974;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-3H7N-6A7C-94GJ;35;2635T0852156J;dpe 2006 tertiaire et erp;1;2.6;2026/03/25 23:00:00;2026/03/26 09:55:00.242;1948;64;64;;;;;1ère catégorie;1948-1974;autres tertiaires non erp;dpe tertiaire vierge dans un bâtiment de logement;autres;;;;;;;;;;;;
bdnb-bg-3HV2-3RNC-GZ1W;35;1935V8000256X;dpe 2006 tertiaire et erp;0;;;2019/06/20 00:00:00;1947;400;;;;;;;avant 1948;;dpe tertiaire vierge;;gaz;electricite;;;;;;;;;;
bdnb-bg-3JGA-4577-YBF2;35;1835V3000018N;dpe 2006 tertiaire et erp;0;;;2018/03/20 00:00:00;;130;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-3JMY-TUA1-T5Z6;35;2235T1285849S;dpe 2006 tertiaire et erp;1;2.1;2022/06/09 22:00:00;2022/06/10 15:18:17.131;1990;84.98;;;;;;5ème catégorie;1989-2000;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-3KH3-JZYQ-AQ9E;35;2235T3187944F;dpe 2006 tertiaire et erp;1;2.2;2022/12/29 23:00:00;2022/12/30 06:28:01.691;2022;95;;;;;;5ème catégorie;après 2021;w : administrations, banques, bureaux;dpe tertiaire vierge dans un bâtiment de logement;;;;;;;;;;;;;
bdnb-bg-3KW5-KLZ4-UN64;35;1935V8000150Q;dpe 2006 tertiaire et erp;0;;;2019/04/10 00:00:00;1965;;124.09;C;C;169.99;24.55;5ème catégorie;1948-1974;m : magasins de vente, centres commerciaux;dpe tertiaire facture;;;;;;;;;;;;;
bdnb-bg-3L1X-3TJM-BXNS;35;2635T0391085W;dpe 2006 tertiaire et erp;1;2.6;2026/02/09 23:00:00;2026/02/10 15:15:36.239;;50;50;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;autres;;;;;;;;;;;;
bdnb-bg-3MUL-2THJ-XEXU;35;1635V8000500M;dpe 2006 tertiaire et erp;0;;;2016/10/17 00:00:00;1947;25;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-3N2L-2YAB-Q4KQ;35;2235T0977098R;dpe 2006 tertiaire et erp;1;2.1;2022/05/05 22:00:00;2022/05/06 06:37:28.655;;59;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-3NPM-43QG-U9EM;35;1635V8000161P;dpe 2006 tertiaire et erp;0;;;2016/03/17 00:00:00;1993;;250;;;;;;1989-2000;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-3QYU-ZGVM-4EYF;35;2435T0152102D;dpe 2006 tertiaire et erp;1;2.3;2024/01/14 23:00:00;2024/01/15 15:48:18.026;1970;150.7;;;;;;5ème catégorie;1948-1974;m : magasins de vente, centres commerciaux;dpe tertiaire vierge dans un bâtiment de logement;;;;;;;;;;;;;
