annee,code_postal_acheteur,achat_etranger,amm,quantite_produit,conditionnement,eaj
2021,35000,Non,2000201,9.68,l,Non
2021,35000,Non,2000202,40,l,Non
2021,35000,Non,2000299,2,l,Non
2021,35000,Non,2010030,5,l,Non
2021,35000,Non,2020226,2,l,Non
2021,35000,Non,2030332,5,l,Non
2021,35000,Non,2030342,10,l,Non
2021,35000,Non,2040146,0.2,l,Non
2021,35000,Non,2060088,70,l,Non
2021,35000,Non,2060098,10,l,Non
2021,35000,Non,2080094,0.72,kg,Non
2021,35000,Non,2080124,0.13,kg,Non
2021,35000,Non,2080145,15,l,Non
2021,35000,Non,2090041,3,kg,Non
2021,35000,Non,2090093,120,l,Non
2021,35000,Non,2090111,9.50,l,Non
2021,35000,Non,2090146,0.2,l,Oui
2021,35000,Non,2090153,2,kg,Non
2021,35000,Non,2090159,0.35,kg,Non
2021,35000,Non,2090160,80,l,Non
2021,35000,Non,2100009,0.4,kg,Non
2021,35000,Non,2100030,40,kg,Non
2021,35000,Non,2100037,5,l,Non
2021,35000,Non,2100091,9.2,l,Non
2021,35000,Non,2100111,5,l,Non
2021,35000,Non,2100138,5,l,Non
2021,35000,Non,2100140,20,l,Non
2021,35000,Non,2100151,15,l,Non
2021,35000,Non,2100177,36,kg,Non
2021,35000,Non,2100231,40,kg,Non
2021,35000,Non,2110102,7.41,l,Non
2021,35000,Non,2110148,1,l,Non
2021,35000,Non,2110162,2,l,Non
2021,35000,Non,2110167,6,l,Non
2021,35000,Non,2120048,1,l,Non
2021,35000,Non,2120075,10,l,Non
2021,35000,Non,2130063,5,l,Non
2021,35000,Non,2130069,2.59,l,Non
2021,35000,Non,2130083,1,l,Non
2021,35000,Non,2130085,18,kg,Non
2021,35000,Non,2130253,15,l,Non
2021,35000,Non,2130266,10,l,Non
2021,35000,Non,2140258,10,l,Non
2021,35000,Non,2150084,25,l,Non
2021,35000,Non,2150757,10,l,Non
2021,35000,Non,2150964,150,kg,Non
2021,35000,Non,2160484,11.6,l,Non
2021,35000,Non,2160814,2,l,Non
2021,35000,Non,2160920,5,l,Non
2021,35000,Non,2160931,4.25,l,Non
2021,35000,Non,2160936,4,l,Non
2021,35000,Non,2160959,30,l,Non
2021,35000,Non,2161101,5,l,Non
2021,35000,Non,2170237,1,kg,Non
2021,35000,Non,2170685,5,l,Oui
2021,35000,Non,2180124,0.92,l,Non
2021,35000,Non,2180461,49.78,kg,Non
2021,35000,Non,2180865,0.01,l,Non
2021,35000,Non,2190062,4.5,l,Non
2021,35000,Non,2190214,40,l,Non
2021,35000,Non,2190608,4,l,Non
2021,35000,Non,2190686,40,l,Non
2021,35000,Non,7200313,5,l,Non
2021,35000,Non,8300063,60,l,Non
2021,35000,Non,8400096,1,l,Non
2021,35000,Non,8700462,40,l,Non
2021,35000,Non,8800395,5,l,Non
2021,35000,Non,9000184,10,l,Non
2021,35000,Non,9000741,10,l,Non
2021,35000,Non,9100418,5,l,Non
2021,35000,Non,9500040,5,l,Non
2021,35000,Non,9500323,11,kg,Non
2021,35000,Non,9500595,1,l,Non
2021,35000,Non,9500628,6,kg,Non
2021,35000,Non,9600093,3.33,l,Non
2021,35000,Non,9600370,5,l,Non
2021,35000,Non,9800182,10,l,Non
2021,35000,Non,9800262,0.1,kg,Non
2021,35000,Non,9800336,13,l,Non
2021,35000,Non,9900251,10,l,Non
2021,35131,Non,2000003,30,l,Non
2021,35131,Non,2000201,1.41,l,Non
2021,35131,Non,2000380,1,l,Non
2021,35131,Non,2010030,35,l,Non
2021,35131,Non,2010280,15,l,Non
2021,35131,Non,2020099,2,l,Non
2021,35131,Non,2030010,1,l,Non
2021,35131,Non,2030342,60,l,Non
2021,35131,Non,2040146,0.5,l,Non
2021,35131,Non,2060127,1.88,l,Non
2021,35131,Non,2080026,2,l,Non
2021,35131,Non,2080123,0.4,kg,Non
2021,35131,Non,2080145,35,l,Non
2021,35131,Non,2090037,7,kg,Non
2021,35131,Non,2090050,576,kg,Non
2021,35131,Non,2090069,15,l,Non
2021,35131,Non,2090093,80,l,Non
2021,35131,Non,2090101,20,l,Non
2021,35131,Non,2090111,1.24,l,Non
2021,35131,Non,2090118,30,l,Non
2021,35131,Non,2090153,8,kg,Non
2021,35131,Non,2100018,5,l,Non
2021,35131,Non,2100030,20,kg,Non
2021,35131,Non,2100057,15,l,Non
2021,35131,Non,2100111,40,l,Non
2021,35131,Non,2100138,85,l,Non
2021,35131,Non,2110018,5.08,l,Non
2021,35131,Non,2110102,9.08,l,Non
2021,35131,Non,2110105,2,l,Non
2021,35131,Non,2110142,1,l,Non
2021,35131,Non,2110192,1.8,kg,Non
2021,35131,Non,2120048,3,l,Non
2021,35131,Non,2130063,80,l,Non
2021,35131,Non,2130068,2,l,Non
2021,35131,Non,2130083,1,l,Non
2021,35131,Non,2130202,17.5,l,Non
2021,35131,Non,2130266,15,l,Non
2021,35131,Non,2140078,59.65,l,Non
2021,35131,Non,2140093,20,l,Non
2021,35131,Non,2150140,140,l,Non
2021,35131,Non,2150483,70,kg,Non
2021,35131,Non,2150785,35,l,Non
2021,35131,Non,2160384,5,l,Non
2021,35131,Non,2160556,5,l,Non
2021,35131,Non,2160931,19,l,Non
2021,35131,Non,2160959,40,l,Non
2021,35131,Non,2161101,15,l,Non
2021,35131,Non,2170230,0.42,l,Non
2021,35131,Non,2170381,70,l,Non
2021,35131,Non,2170933,6,kg,Non
2021,35131,Non,2171111,5,l,Non
2021,35131,Non,2180124,0.92,l,Non
2021,35131,Non,2180404,30,l,Non
2021,35131,Non,2190173,144,kg,Non
2021,35131,Non,2190509,15,l,Non
2021,35131,Non,2200066,80,l,Non
2021,35131,Non,8400096,10,l,Non
2021,35131,Non,8800029,10,l,Non
2021,35131,Non,8800395,5,l,Non
2021,35131,Non,9000069,5,l,Non
2021,35131,Non,9100296,10,l,Non
2021,35131,Non,9200073,0.3,kg,Non
2021,35131,Non,9400008,2.2,l,Non
2021,35131,Non,9400052,10,l,Non
2021,35131,Non,9400463,10,l,Non
2021,35131,Non,9500361,10,kg,Non
2021,35131,Non,9800336,2,l,Non
2021,35132,Non,2000316,1,l,Non
2021,35132,Non,2030323,1.79,l,Non
2021,35132,Non,2030342,60,l,Non
2021,35132,Non,2040146,4.9,l,Non
2021,35132,Non,2050046,0.5,kg,Non
2021,35132,Non,2060088,80,l,Non
2021,35132,Non,2080026,16,l,Non
2021,35132,Non,2080117,0.05,kg,Non
2021,35132,Non,2080123,1.6,kg,Non
2021,35132,Non,2080125,0.6,kg,Non
2021,35132,Non,2080145,5,l,Non
2021,35132,Non,2090016,20,l,Non
2021,35132,Non,2090037,2,kg,Non
2021,35132,Non,2090071,10,l,Non
2021,35132,Non,2090093,100,l,Non
2021,35132,Non,2090101,15,l,Non
2021,35132,Non,2090111,10.76,l,Non
2021,35132,Non,2090118,50,l,Non
2021,35132,Non,2090153,8,kg,Non
2021,35132,Non,2090186,30,l,Non
2021,35132,Non,2100030,60,kg,Non
2021,35132,Non,2100057,5,l,Non
2021,35132,Non,2100112,5,l,Non
2021,35132,Non,2100138,20,l,Non
2021,35132,Non,2100140,70,l,Non
2021,35132,Non,2100151,47.5,l,Non
2021,35132,Non,2100175,0.18,l,Non
2021,35132,Non,2110102,15.28,l,Non
2021,35132,Non,2110103,0.1,kg,Non
2021,35132,Non,2110162,10,l,Non
2021,35132,Non,2110167,21,l,Non
2021,35132,Non,2120041,1.5,l,Non
2021,35132,Non,2120048,3,l,Non
2021,35132,Non,2120070,10,l,Non
2021,35132,Non,2120075,30,l,Non
2021,35132,Non,2120143,40,l,Non
2021,35132,Non,2130063,15,l,Non
2021,35132,Non,2130069,5,l,Non
2021,35132,Non,2130083,3,l,Non
2021,35132,Non,2130140,100,l,Non
2021,35132,Non,2130202,10,l,Non
2021,35132,Non,2140051,2.03,l,Non
2021,35132,Non,2140173,5,l,Non
2021,35132,Non,2140177,3,l,Non
2021,35132,Non,2150125,2.4,l,Non
2021,35132,Non,2150140,20,l,Non
2021,35132,Non,2150484,6,l,Non
2021,35132,Non,2150964,340,kg,Non
2021,35132,Non,2160936,10,l,Non
2021,35132,Non,2160937,3,l,Non
2021,35132,Non,2160959,10,l,Non
2021,35132,Non,2170055,1,l,Non
2021,35132,Non,2170381,5,l,Non
2021,35132,Non,2170421,5,l,Non
2021,35132,Non,2170423,15,l,Non
2021,35132,Non,2171195,70,kg,Non
2021,35132,Non,2180124,1.28,l,Non
2021,35132,Non,2180865,0.03,l,Non
2021,35132,Non,2190686,95,l,Non
2021,35132,Non,2200756,10,l,Non
2021,35132,Non,8100291,5,l,Non
2021,35132,Non,8300063,110,l,Non
2021,35132,Non,8400096,15,l,Non
2021,35132,Non,8400574,10,l,Non
2021,35132,Non,9100296,10,l,Non
2021,35132,Non,9100418,5,l,Non
2021,35132,Non,9900251,30,l,Non
2021,35135,Non,2000332,15,l,Non
2021,35135,Non,2010280,30,l,Non
2021,35135,Non,2030323,7.08,l,Non
2021,35135,Non,2040146,1.12,l,Non
2021,35135,Non,2060116,20,l,Non
2021,35135,Non,2060127,2.76,l,Non
2021,35135,Non,2080112,0.59,l,Non
2021,35135,Non,2080123,1,kg,Non
2021,35135,Non,2080124,1.2,kg,Non
2021,35135,Non,2090042,1.1,kg,Non
2021,35135,Non,2090101,55,l,Non
2021,35135,Non,2090111,0.21,l,Non
2021,35135,Non,2090117,60,l,Non
2021,35135,Non,2090153,10,kg,Non
2021,35135,Non,2100009,1.08,kg,Non
2021,35135,Non,2100026,3,l,Non
2021,35135,Non,2100030,40,kg,Non
2021,35135,Non,2100037,5,l,Non
2021,35135,Non,2100138,20,l,Non
2021,35135,Non,2100140,70,l,Non
2021,35135,Non,2110018,1.62,l,Non
2021,35135,Non,2110102,1.83,l,Non
2021,35135,Non,2110167,4,l,Non
2021,35135,Non,2120048,3,l,Non
2021,35135,Non,2130091,11,l,Non
2021,35135,Non,2130164,10,l,Non
2021,35135,Non,2130253,15,l,Non
2021,35135,Non,2140040,5,kg,Non
2021,35135,Non,2140082,6,l,Non
2021,35135,Non,2140121,10,l,Oui
2021,35135,Non,2150022,10,l,Non
2021,35135,Non,2150140,60,l,Non
2021,35135,Non,2150483,440,kg,Non
2021,35135,Non,2150785,25,l,Non
2021,35135,Non,2160931,35,l,Non
2021,35135,Non,2170031,10,l,Non
2021,35135,Non,2170230,0.1,l,Non
2021,35135,Non,2170381,15,l,Non
2021,35135,Non,2170421,10,l,Non
2021,35135,Non,2180088,50,l,Non
2021,35135,Non,2180124,0.19,l,Non
2021,35135,Non,2180165,10,l,Non
2021,35135,Non,2190468,6,kg,Non
2021,35135,Non,2190594,0.01,l,Non
2021,35135,Non,2190686,30,l,Non
2021,35135,Non,8300063,40,l,Non
2021,35135,Non,8700462,110,l,Non
2021,35135,Non,8800199,5,l,Non
2021,35135,Non,9000833,15,l,Non
2021,35135,Non,9400008,0.52,l,Non
2021,35135,Non,9400052,3,l,Non
2021,35135,Non,9800344,0.17,l,Non
2021,35135,Non,9900251,30,l,Non
2021,35136,Non,2000202,5,l,Non
2021,35136,Non,2110154,102,l,Non
2021,35136,Non,2120219,3.25,l,Non
2021,35136,Non,2180334,18,l,Non
2021,35136,Non,2200861,25,kg,Non
2021,35136,Non,9900119,20,kg,Non
2021,35150,Non,1030003,2.25,l,Oui
2021,35150,Non,2000003,145,l,Non
2021,35150,Non,2000018,360,kg,Non
2021,35150,Non,2000046,15,l,Non
2021,35150,Non,2000122,0.03,l,Non
2021,35150,Non,2000125,10.1,kg,Oui
2021,35150,Non,2000201,41.98,l,Non
2021,35150,Non,2000299,21,l,Non
2021,35150,Non,2000301,300,l,Non
2021,35150,Non,2000316,77,l,Non
2021,35150,Non,2000324,1,l,Non
2021,35150,Non,2000369,11.6,kg,Non
2021,35150,Non,2000380,79,l,Non
2021,35150,Non,2000461,10,l,Non
2021,35150,Non,2000536,5.43,kg,Non
2021,35150,Non,2010023,12,l,Non
2021,35150,Non,2010030,215,l,Non
