annee,code_postal_acheteur,achat_etranger,amm,substance,cas,fonction,classification,classification_mention,quantite_substance
2023,35000,Non,2000080,clopyralid,1702-17-6,Herbicide,Autre,,0.12
2023,35000,Non,2000080,triclopyr,55335-06-3,Herbicide,Env B,,0.48
2023,35000,Non,2030332,"2,4-d",94-75-7,Herbicide,Env B,,2.4
2023,35000,Non,2030332,dichlorprop-p,15165-67-0,Herbicide,Autre,,1.2
2023,35000,Non,2040146,tefluthrine,79538-32-2,Insecticide,Santé A,,0.534
2023,35000,Non,2050075,boscalid,188425-85-6,Fongicide,Env A,,1.25
2023,35000,Non,2060127,prothioconazole,178928-70-6,Fongicide,Env A,,0.23
2023,35000,Non,2080123,metsulfuron-methyl,74223-64-6,Herbicide,Env A,Substitution,0.12
2023,35000,Non,2090111,cypermethrine,52315-07-8,Insecticide,Env A,,3.39
2023,35000,Non,2090118,flufenacet,142459-58-3,Herbicide,Env A,,2.4
2023,35000,Non,2090118,pendimethaline,40487-42-1,Herbicide,CMR,Substitution,12
2023,35000,Non,2090127,huile essentielle d'orange douce,8028-48-6,Régulateur de croissance,Env A,,0.3
2023,35000,Non,2090146,abamectine,71751-41-2,Insecticide,CMR,,0.000011
2023,35000,Non,2090146,pyrethrines,8003-34-7,Insecticide,Env A,,0.00015
2023,35000,Non,2090159,tritosulfuron,142469-14-5,Herbicide,Env A,,0.2499
2023,35000,Non,2100030,phosphate ferrique,10045-86-0,Molluscicide,Autre,,0.594
2023,35000,Non,2100151,pyraclostrobine,175013-18-0,Fongicide,Santé A,,4
2023,35000,Non,2110102,difenoconazole,119446-68-3,Fongicide,CMR,,0.0460
2023,35000,Non,2110102,fludioxonil,131341-86-1,Fongicide,Env A,,0.0460
2023,35000,Non,2110102,sedaxane,874967-67-6,Fongicide,CMR,,0.092
2023,35000,Non,2110167,tebuconazole,107534-96-3,Fongicide,CMR,,4.30
2023,35000,Non,2120041,zirame,137-30-4,Fongicide,Santé A,,1.386
2023,35000,Non,2120075,dimethenamide-p (dmta-p),163515-14-8,Herbicide,Env A,,14
2023,35000,Non,2120075,metazachlore,67129-08-2,Herbicide,CMR,,14
2023,35000,Non,2120075,quinmerac,90717-03-6,Herbicide,Env A,,7
2023,35000,Non,2130063,nicosulfuron,111991-09-4,Herbicide,Env A,,0.8
2023,35000,Non,2130069,diflufenicanil,83164-33-4,Herbicide,Env A,,2
2023,35000,Non,2130083,lambda-cyhalothrine,91465-08-6,Insecticide,Santé A,Substitution,0.2
2023,35000,Non,2130164,cyprosulfamide,221667-31-8,Autre usage – Coformulant / Phytoprotecteur / Synergiste,CMR,,0.225
2023,35000,Non,2130164,foramsulfuron,173159-57-4,Herbicide,CMR,,0.45
