annee,code_postal_acheteur,achat_etranger,amm,quantite_produit,conditionnement,eaj
2017,35000,Non,2000018,2.75,kg,Non
2017,35000,Non,2000299,4,l,Non
2017,35000,Non,2000369,0.1,kg,Non
2017,35000,Non,2000380,45,l,Non
2017,35000,Non,2010030,20,l,Non
2017,35000,Non,2010130,0.1,kg,Non
2017,35000,Non,2010351,6,kg,Non
2017,35000,Non,2010513,1,kg,Non
2017,35000,Non,2020003,7,kg,Oui
2017,35000,Non,2020021,10,l,Non
2017,35000,Non,2020110,0.5,kg,Non
2017,35000,Non,2020224,1.8,kg,Non
2017,35000,Non,2020241,0.5,kg,Non
2017,35000,Non,2020474,5,l,Non
2017,35000,Non,2030125,0.03,l,Oui
2017,35000,Non,2030332,0.5,l,Oui
2017,35000,Non,2040201,80,l,Non
2017,35000,Non,2050136,227,kg,Non
2017,35000,Non,2050146,8.0,l,Oui
2017,35000,Non,2060088,160,l,Non
2017,35000,Non,2060115,15,l,Non
2017,35000,Non,2060131,7,l,Oui
2017,35000,Non,2060137,80,l,Non
2017,35000,Non,2080018,0.6,l,Oui
2017,35000,Non,2080026,15,l,Non
2017,35000,Non,2080094,0.72,kg,Non
2017,35000,Non,2080101,10,kg,Non
2017,35000,Non,2080103,150,l,Non
2017,35000,Non,2080112,0.92,l,Non
2017,35000,Non,2080117,0.7,kg,Non
2017,35000,Non,2080136,14,kg,Non
2017,35000,Non,2080145,5,l,Non
2017,35000,Non,2090001,0.06,l,Non
2017,35000,Non,2090016,10,l,Non
2017,35000,Non,2090037,17,kg,Non
2017,35000,Non,2090044,0.75,l,Oui
2017,35000,Non,2090050,240,kg,Non
2017,35000,Non,2090057,0.75,kg,Non
2017,35000,Non,2090080,45,l,Non
2017,35000,Non,2090116,5,l,Non
2017,35000,Non,2090123,12,l,Non
2017,35000,Non,2090126,1.1,l,Non
2017,35000,Non,2090132,0.7,l,Non
2017,35000,Non,2090160,80,l,Non
2017,35000,Non,2090164,10,l,Oui
2017,35000,Non,2090170,0.14,kg,Non
2017,35000,Non,2090200,0.5,l,Oui
2017,35000,Non,2100009,2.7,kg,Non
2017,35000,Non,2100018,5,l,Non
2017,35000,Non,2100026,1,l,Non
2017,35000,Non,2100030,20,kg,Non
2017,35000,Non,2100037,10,l,Non
2017,35000,Non,2100056,5,l,Non
2017,35000,Non,2100057,10,l,Non
2017,35000,Non,2100108,20,l,Non
2017,35000,Non,2100111,140.4,l,Non
2017,35000,Non,2100121,16,l,Non
2017,35000,Non,2100122,12,kg,Non
2017,35000,Non,2100138,15,l,Non
2017,35000,Non,2100165,0.4,l,Oui
2017,35000,Non,2100177,17,kg,Non
2017,35000,Non,2100181,0.75,kg,Non
2017,35000,Non,2100234,5,l,Non
2017,35000,Non,2100235,5,l,Non
2017,35000,Non,2110018,1.85,l,Non
2017,35000,Non,2110077,5,l,Non
2017,35000,Non,2110102,1,l,Non
2017,35000,Non,2110105,12,l,Non
2017,35000,Non,2110121,1.25,l,Non
2017,35000,Non,2110143,4,l,Non
2017,35000,Non,2110153,10,l,Non
2017,35000,Non,2110198,100,l,Non
2017,35000,Non,2120018,2.4,l,Oui
2017,35000,Non,2120048,20,l,Non
2017,35000,Non,2120066,20,l,Non
2017,35000,Non,2120075,25,l,Non
2017,35000,Non,2120091,3,kg,Non
2017,35000,Non,2120120,95,l,Non
2017,35000,Non,2120133,0.4,l,Oui
2017,35000,Non,2120157,3,l,Oui
2017,35000,Non,2120205,25,l,Non
2017,35000,Non,2130049,0.2,l,Non
2017,35000,Non,2130082,20,kg,Non
2017,35000,Non,2130105,32,kg,Non
2017,35000,Non,2130140,30,l,Non
2017,35000,Non,2130141,1,l,Oui
2017,35000,Non,2130152,0.05,l,Non
2017,35000,Non,2130153,0.9,l,Oui
2017,35000,Non,2130202,5,l,Non
2017,35000,Non,2130266,10,l,Non
2017,35000,Non,2140002,0.7,l,Non
2017,35000,Non,2140160,10,l,Non
2017,35000,Non,2140166,1,l,Oui
2017,35000,Non,2140167,1.5,l,Oui
2017,35000,Non,2140257,40,l,Non
2017,35000,Non,2140258,5,l,Non
2017,35000,Non,2140265,10,l,Non
2017,35000,Non,2150098,50,l,Non
2017,35000,Non,2150417,0.07,l,Non
2017,35000,Non,2150484,1,l,Non
2017,35000,Non,2160814,2,l,Non
2017,35000,Non,2160931,19,l,Non
2017,35000,Non,2170158,10,l,Non
2017,35000,Non,7700078,50,l,Non
2017,35000,Non,7700706,40,kg,Oui
2017,35000,Non,8100283,5,l,Non
2017,35000,Non,8100291,10,l,Non
2017,35000,Non,8300243,5,l,Non
2017,35000,Non,8400096,4,l,Non
2017,35000,Non,8600243,40,l,Non
2017,35000,Non,8600349,0.4,kg,Oui
2017,35000,Non,8700462,60,l,Non
2017,35000,Non,8800199,5,l,Non
2017,35000,Non,8800488,5,l,Non
2017,35000,Non,8800504,13,l,Non
2017,35000,Non,8800941,20,kg,Non
2017,35000,Non,8900564,1,l,Non
2017,35000,Non,9000184,50,l,Non
2017,35000,Non,9000490,51.5,l,Non
2017,35000,Non,9000691,100,l,Non
2017,35000,Non,9100046,1,l,Non
2017,35000,Non,9100156,200,l,Non
2017,35000,Non,9100231,0.5,kg,Oui
2017,35000,Non,9100296,10,l,Non
2017,35000,Non,9100418,60,l,Non
2017,35000,Non,9200392,2,l,Non
2017,35000,Non,9200461,5,l,Non
2017,35000,Non,9300189,6.2,l,Oui
2017,35000,Non,9300309,1,l,Non
2017,35000,Non,9400109,225,kg,Oui
2017,35000,Non,9400134,5,l,Non
2017,35000,Non,9400367,20,l,Non
2017,35000,Non,9400389,5,l,Non
2017,35000,Non,9500135,40,kg,Oui
