annee,code_postal_acheteur,achat_etranger,amm,substance,cas,fonction,classification,classification_mention,quantite_substance
2017,35000,Non,2000018,soufre pour pulverisation (micronise),7704-34-9,Fongicide,Autre,,2.2
2017,35000,Non,2000299,clomazone,81777-89-1,Herbicide,N Organique,,1.44
2017,35000,Non,2000369,metsulfuron-methyl,74223-64-6,Herbicide,N Organique,,0.02
2017,35000,Non,2000380,clethodime,99129-21-2,Herbicide,N Organique,,5.4
2017,35000,Non,2010030,mepiquat-chlorure,24307-26-4,Régulateur de croissance,N Organique,,6.0
2017,35000,Non,2010030,prohexadione-calcium,127277-53-6,Régulateur de croissance,N Organique,,1.00
2017,35000,Non,2010130,cuivre de l'oxyde cuivreux,1317-39-1,Fongicide,N minéral,,0.075
2017,35000,Non,2010351,iodosulfuron-methyl-sodium,144550-36-7,Herbicide,N Organique,,0.18
2017,35000,Non,2010351,mefenpyr-diethyl,135590-91-9,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,0.54
2017,35000,Non,2010351,mesosulfuron-methyl,208465-21-8,Herbicide,N Organique,,0.18
2017,35000,Non,2010513,bacillus thuringiensis ssp kurstaki,68038-71-1,Insecticide,Autre,,
2017,35000,Non,2020003,phosphate ferrique,10045-86-0,Molluscicide,Autre,,0.0693
2017,35000,Non,2020021,laminarine,9008-22-4,Fongicide,Autre,,0.37
2017,35000,Non,2020110,mancozebe,8018-01-7,Fongicide,"T, T+, CMR",,0.3445
2017,35000,Non,2020110,zoxamide,156052-68-5,Fongicide,N Organique,,0.03075
2017,35000,Non,2020224,iodosulfuron-methyl-sodium,144550-36-7,Herbicide,N Organique,,0.054
2017,35000,Non,2020224,mefenpyr-diethyl,135590-91-9,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,0.162
2017,35000,Non,2020224,mesosulfuron-methyl,208465-21-8,Herbicide,N Organique,,0.054
2017,35000,Non,2020241,bacillus thuringiensis sérotype h 7,68038-71-1,Insecticide,Autre,,
2017,35000,Non,2020474,metazachlore,67129-08-2,Herbicide,"T, T+, CMR",,2.5
2017,35000,Non,2030125,deltamethrine,52918-63-5,Insecticide,"T, T+, CMR",,0.00045
2017,35000,Non,2030332,"2,4-d",94-75-7,Herbicide,N Organique,,0.12
2017,35000,Non,2030332,dichlorprop-p,15165-67-0,Herbicide,Autre,,0.06
2017,35000,Non,2040201,"2,4-mcpa",94-74-6,Herbicide,N Organique,,28.8
2017,35000,Non,2040201,dicamba,1918-00-9,Herbicide,N Organique,,2.4
2017,35000,Non,2050136,fluorure de sulfuryle,2699-79-8,Insecticide,"T, T+, CMR",,226.546
2017,35000,Non,2050146,diflufenicanil,83164-33-4,Herbicide,N Organique,,0.160
2017,35000,Non,2050146,glyphosate,1071-83-6,Herbicide,N Organique,,1.0
2017,35000,Non,2060088,benoxacor,98730-04-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,3.2
2017,35000,Non,2060088,mesotrione,104206-82-8,Herbicide,N Organique,,6.4
2017,35000,Non,2060088,s-metolachlore,87392-12-9,Herbicide,N Organique,,64
2017,35000,Non,2060115,azoxystrobine,131860-33-8,Fongicide,"T, T+, CMR",,3
2017,35000,Non,2060115,cyproconazole,94361-06-5,Fongicide,"T, T+, CMR",,1.2
2017,35000,Non,2060131,"2,4-d",94-75-7,Herbicide,N Organique,,0.651
2017,35000,Non,2060131,triclopyr,55335-06-3,Herbicide,N Organique,,0.7252
2017,35000,Non,2060137,ethofumesate,26225-79-6,Herbicide,N Organique,,40
2017,35000,Non,2080018,acetamipride,135410-20-7,Insecticide,N Organique,,0.003
2017,35000,Non,2080026,nicosulfuron,111991-09-4,Herbicide,N Organique,,0.9
2017,35000,Non,2080094,florasulame,145701-23-1,Herbicide,N Organique,,0.0288
2017,35000,Non,2080094,isoxaben,82558-50-7,Herbicide,N Organique,,0.4392
2017,35000,Non,2080101,acetamipride,135410-20-7,Insecticide,N Organique,,2
2017,35000,Non,2080103,thiophanate-methyl,23564-05-8,Fongicide,"T, T+, CMR",,75
2017,35000,Non,2080112,thirame,137-26-8,Fongicide,N Organique,,0.4416
2017,35000,Non,2080117,prosulfuron,94125-34-5,Herbicide,N Organique,,0.525
