annee,code_postal_acheteur,achat_etranger,amm,substance,cas,fonction,classification,classification_mention,quantite_substance
2021,35132,Non,2000316,esfenvalerate,66230-04-4,Insecticide,Santé A,Substitution,0.05
2021,35132,Non,2030323,fludioxonil,131341-86-1,Fongicide,Env A,,0.04475
2021,35132,Non,2030342,chlormequat chlorure,999-81-5,Régulateur de croissance,Autre,,27.6
2021,35132,Non,2040146,tefluthrine,79538-32-2,Insecticide,Santé A,,0.98
2021,35132,Non,2050046,flonicamide,158062-67-0,Insecticide,Autre,,0.25
2021,35132,Non,2060088,benoxacor,98730-04-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,1.6
2021,35132,Non,2060088,mesotrione,104206-82-8,Herbicide,Env A,,3.2
2021,35132,Non,2060088,s-metolachlore,87392-12-9,Herbicide,Env A,,32
2021,35132,Non,2080026,nicosulfuron,111991-09-4,Herbicide,Env A,,0.96
2021,35132,Non,2080117,prosulfuron,94125-34-5,Herbicide,Env A,Substitution,0.0375
2021,35132,Non,2080123,metsulfuron-methyl,74223-64-6,Herbicide,Env A,Substitution,0.32
2021,35132,Non,2080125,metsulfuron-methyl,74223-64-6,Herbicide,Env A,Substitution,0.12
2021,35132,Non,2080145,diflufenicanil,83164-33-4,Herbicide,Env B,,1
2021,35132,Non,2080145,flufenacet,142459-58-3,Herbicide,Env A,,2
2021,35132,Non,2090016,imazamox,114311-32-9,Herbicide,Env A,Substitution,0.334
2021,35132,Non,2090016,pendimethaline,40487-42-1,Herbicide,Env A,Substitution,5
2021,35132,Non,2090037,dicamba,1918-00-9,Herbicide,Env B,,1
2021,35132,Non,2090037,prosulfuron,94125-34-5,Herbicide,Env A,Substitution,0.1
2021,35132,Non,2090071,bromoxynil,1689-84-5,Herbicide,CMR,Exclusion,2.35
2021,35132,Non,2090093,glyphosate,1071-83-6,Herbicide,Env A,,45
2021,35132,Non,2090101,nicosulfuron,111991-09-4,Herbicide,Env A,,0.6
2021,35132,Non,2090111,cypermethrine,52315-07-8,Insecticide,Env A,,3.228
2021,35132,Non,2090118,flufenacet,142459-58-3,Herbicide,Env A,,3
2021,35132,Non,2090118,pendimethaline,40487-42-1,Herbicide,Env A,Substitution,15
2021,35132,Non,2090153,dicamba,1918-00-9,Herbicide,Env B,,4.8
2021,35132,Non,2090153,tritosulfuron,142469-14-5,Herbicide,Env A,,1
2021,35132,Non,2090186,prosulfocarbe,52888-80-9,Herbicide,Env A,,24
2021,35132,Non,2100030,phosphate ferrique,10045-86-0,Molluscicide,Autre,,1.782
2021,35132,Non,2100057,prothioconazole,178928-70-6,Fongicide,Env A,,0.875
2021,35132,Non,2100057,trifloxystrobine,141517-21-7,Fongicide,Env A,,0.44
2021,35132,Non,2100112,ethephon,16672-87-0,Régulateur de croissance,Santé A,,2.4
2021,35132,Non,2100138,cloquintocet-mexyl,99607-70-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,0.25
2021,35132,Non,2100138,pinoxaden,243973-20-8,Herbicide,CMR,,1
2021,35132,Non,2100140,clodinafop-propargyl,105512-06-9,Herbicide,Env A,,1.75
2021,35132,Non,2100140,cloquintocet-mexyl,99607-70-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,0.4375
2021,35132,Non,2100140,pinoxaden,243973-20-8,Herbicide,CMR,,1.75
2021,35132,Non,2100151,pyraclostrobine,175013-18-0,Fongicide,Santé A,,9.5
2021,35132,Non,2100175,prothioconazole,178928-70-6,Fongicide,Env A,,0.054
2021,35132,Non,2110102,difenoconazole,119446-68-3,Fongicide,Env A,,0.38200
2021,35132,Non,2110102,fludioxonil,131341-86-1,Fongicide,Env A,,0.38200
2021,35132,Non,2110102,sedaxane,874967-67-6,Fongicide,Env A,,0.7640
2021,35132,Non,2110103,tribenuron-methyle,101200-48-0,Herbicide,Env A,,0.075
2021,35132,Non,2110162,azoxystrobine,131860-33-8,Fongicide,Santé A,,2.5
2021,35132,Non,2110167,tebuconazole,107534-96-3,Fongicide,CMR,,9.03
2021,35132,Non,2120041,zirame,137-30-4,Fongicide,Santé A,,0.63
2021,35132,Non,2120048,aminopyralid,150114-71-9,Herbicide,Env A,,0.09
2021,35132,Non,2120048,triclopyr,55335-06-3,Herbicide,Env B,,0.72
2021,35132,Non,2120070,prothioconazole,178928-70-6,Fongicide,Env A,,1.6
2021,35132,Non,2120070,tebuconazole,107534-96-3,Fongicide,CMR,,0.8
2021,35132,Non,2120075,dimethenamide-p (dmta-p),163515-14-8,Herbicide,Env A,,6
2021,35132,Non,2120075,metazachlore,67129-08-2,Herbicide,CMR,,6
2021,35132,Non,2120075,quinmerac,90717-03-6,Herbicide,Env B,,3
2021,35132,Non,2120143,glyphosate,1071-83-6,Herbicide,Env A,,19.2
2021,35132,Non,2130063,nicosulfuron,111991-09-4,Herbicide,Env A,,0.6
2021,35132,Non,2130069,diflufenicanil,83164-33-4,Herbicide,Env B,,2.5
2021,35132,Non,2130083,lambda-cyhalothrine,91465-08-6,Insecticide,Santé A,Substitution,0.3
2021,35132,Non,2130140,diflufenicanil,83164-33-4,Herbicide,Env B,,4
2021,35132,Non,2130140,pendimethaline,40487-42-1,Herbicide,Env A,Substitution,40
2021,35132,Non,2130202,fluopyram,658066-35-4,Fongicide,Env A,,1.25
2021,35132,Non,2130202,prothioconazole,178928-70-6,Fongicide,Env A,,1.25
2021,35132,Non,2140051,fluxapyroxad,907204-31-3,Fongicide,CMR,,0.67599
2021,35132,Non,2140173,fluxapyroxad,907204-31-3,Fongicide,CMR,,0.3125
2021,35132,Non,2140173,metconazole,125116-23-6,Fongicide,CMR,,0.225
2021,35132,Non,2140177,pyriofenone,688046-61-9,Fongicide,CMR,,0.9
2021,35132,Non,2150125,diflufenicanil,83164-33-4,Herbicide,Env B,,1.2
2021,35132,Non,2150140,glyphosate,1071-83-6,Herbicide,Env A,,7.2
2021,35132,Non,2150484,clopyralid,1702-17-6,Herbicide,Autre,,1.8
2021,35132,Non,2150484,florasulame,145701-23-1,Herbicide,Env A,,0.15
2021,35132,Non,2150964,lambda-cyhalothrine,91465-08-6,Insecticide,Santé A,Substitution,1.36
2021,35132,Non,2160936,cloquintocet-mexyl,99607-70-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,0.12
2021,35132,Non,2160936,fluroxypyr-meptyl,81406-37-3,Herbicide,Autre,,4.03
2021,35132,Non,2160936,halauxifen-methyl,943831-98-9,Herbicide,Env A,,0.125
2021,35132,Non,2160937,cloquintocet-mexyl,99607-70-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,0.018
2021,35132,Non,2160937,florasulame,145701-23-1,Herbicide,Env A,,0.015
2021,35132,Non,2160937,halauxifen-methyl,943831-98-9,Herbicide,Env A,,0.01875
2021,35132,Non,2160959,benzovindiflupyr,1072957-71-1,Fongicide,Santé A,Substitution,0.75
2021,35132,Non,2160959,prothioconazole,178928-70-6,Fongicide,Env A,,1.5
2021,35132,Non,2170055,dicamba,1918-00-9,Herbicide,Env B,,0.48
2021,35132,Non,2170381,mesotrione,104206-82-8,Herbicide,Env A,,0.35
2021,35132,Non,2170381,terbuthylazine,5915-41-3,Herbicide,Env A,,1.65
2021,35132,Non,2170421,mesotrione,104206-82-8,Herbicide,Env A,,0.5
2021,35132,Non,2170423,mesotrione,104206-82-8,Herbicide,Env A,,1.5
2021,35132,Non,2171195,lambda-cyhalothrine,91465-08-6,Insecticide,Santé A,Substitution,0.28
2021,35132,Non,2180124,metalaxyl,57837-19-1,Fongicide,Env B,,0.0256
2021,35132,Non,2180124,prothioconazole,178928-70-6,Fongicide,Env A,,0.128
2021,35132,Non,2180865,ipconazole,125225-28-7,Fongicide,CMR,Exclusion,0.01356
2021,35132,Non,2190686,fluxapyroxad,907204-31-3,Fongicide,CMR,,4.75
2021,35132,Non,2190686,mefentrifluconazole,1417782-03-6,Fongicide,Autre,,9.5
2021,35132,Non,2200756,prohexadione-calcium,127277-53-6,Régulateur de croissance,Env B,,0.5
2021,35132,Non,8100291,metazachlore,67129-08-2,Herbicide,CMR,,2.5
2021,35132,Non,8300063,soufre pour pulverisation (micronise),7704-34-9,Fongicide,Autre,,88
2021,35132,Non,8400096,dicamba,1918-00-9,Herbicide,Env B,,7.2
2021,35132,Non,8400574,propyzamide,23950-58-5,Herbicide,CMR,Substitution,4
2021,35132,Non,9100296,"2,4-d",94-75-7,Herbicide,Env B,,6
2021,35132,Non,9100418,nicosulfuron,111991-09-4,Herbicide,Env A,,0.2
2021,35132,Non,9900251,dimethenamide-p (dmta-p),163515-14-8,Herbicide,Env A,,21.6
2021,35000,Non,2000201,silthiofam,175217-20-6,Fongicide,Env A,,1.210
2021,35000,Non,2000202,glyphosate,1071-83-6,Herbicide,Env A,,14.4
2021,35000,Non,2000299,clomazone,81777-89-1,Herbicide,Env A,,0.72
2021,35000,Non,2010030,mepiquat-chlorure,24307-26-4,Régulateur de croissance,Env B,,1.5
2021,35000,Non,2010030,prohexadione-calcium,127277-53-6,Régulateur de croissance,Env B,,0.25
2021,35000,Non,2020226,clethodime,99129-21-2,Herbicide,Env B,,0.24
2021,35000,Non,2030332,"2,4-d",94-75-7,Herbicide,Env B,,1.2
2021,35000,Non,2030332,dichlorprop-p,15165-67-0,Herbicide,Autre,,0.6
2021,35000,Non,2030342,chlormequat chlorure,999-81-5,Régulateur de croissance,Autre,,4.6
2021,35000,Non,2040146,tefluthrine,79538-32-2,Insecticide,Santé A,,0.04
2021,35000,Non,2060088,benoxacor,98730-04-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,1.4
2021,35000,Non,2060088,mesotrione,104206-82-8,Herbicide,Env A,,2.8
2021,35000,Non,2060088,s-metolachlore,87392-12-9,Herbicide,Env A,,28
2021,35000,Non,2060098,spinosad,168316-95-8,Insecticide,Env A,,4.8
2021,35000,Non,2080094,florasulame,145701-23-1,Herbicide,Env A,,0.0288
2021,35000,Non,2080094,isoxaben,82558-50-7,Herbicide,Env B,,0.4392
2021,35000,Non,2080124,metsulfuron-methyl,74223-64-6,Herbicide,Env A,Substitution,0.026
2021,35000,Non,2080145,diflufenicanil,83164-33-4,Herbicide,Env B,,3
2021,35000,Non,2080145,flufenacet,142459-58-3,Herbicide,Env A,,6
2021,35000,Non,2090041,cloquintocet-mexyl,99607-70-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,0.225
2021,35000,Non,2090041,pyroxsulame,422556-08-9,Herbicide,Env A,,0.225
2021,35000,Non,2090093,glyphosate,1071-83-6,Herbicide,Env A,,54
2021,35000,Non,2090111,cypermethrine,52315-07-8,Insecticide,Env A,,2.850
2021,35000,Non,2090146,abamectine,71751-41-2,Insecticide,CMR,,0.0000030
2021,35000,Non,2090146,pyrethrines,8003-34-7,Insecticide,Env A,,0.000040
2021,35000,Non,2090153,dicamba,1918-00-9,Herbicide,Env B,,1.2
2021,35000,Non,2090153,tritosulfuron,142469-14-5,Herbicide,Env A,,0.25
2021,35000,Non,2090159,tritosulfuron,142469-14-5,Herbicide,Env A,,0.2499
2021,35000,Non,2090160,glyphosate,1071-83-6,Herbicide,Env A,,28.8
2021,35000,Non,2100009,thifensulfuron-methyle,79277-27-3,Herbicide,Env A,,0.1332
2021,35000,Non,2100009,tribenuron-methyle,101200-48-0,Herbicide,Env A,,0.0668
2021,35000,Non,2100030,phosphate ferrique,10045-86-0,Molluscicide,Autre,,1.188
2021,35000,Non,2100037,boscalid,188425-85-6,Fongicide,Env A,,1
2021,35000,Non,2100037,dimoxystrobine,149961-52-4,Fongicide,CMR,,1
2021,35000,Non,2100091,clethodime,99129-21-2,Herbicide,Env B,,1.104
2021,35000,Non,2100111,mesotrione,104206-82-8,Herbicide,Env A,,0.375
2021,35000,Non,2100111,nicosulfuron,111991-09-4,Herbicide,Env A,,0.15
2021,35000,Non,2100138,cloquintocet-mexyl,99607-70-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,0.0625
2021,35000,Non,2100138,pinoxaden,243973-20-8,Herbicide,CMR,,0.25
2021,35000,Non,2100140,clodinafop-propargyl,105512-06-9,Herbicide,Env A,,0.500
2021,35000,Non,2100140,cloquintocet-mexyl,99607-70-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,0.12500
2021,35000,Non,2100140,pinoxaden,243973-20-8,Herbicide,CMR,,0.500
2021,35000,Non,2100151,pyraclostrobine,175013-18-0,Fongicide,Santé A,,3
2021,35000,Non,2100177,isoxadifen-ethyl,163520-33-0,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Env A,,3.6
2021,35000,Non,2100177,tembotrione,335104-84-2,Herbicide,CMR,,7.2
2021,35000,Non,2100231,emamectine benzoate,155569-91-8,Insecticide,Santé A,,0.38
2021,35000,Non,2110102,difenoconazole,119446-68-3,Fongicide,Env A,,0.18525
2021,35000,Non,2110102,fludioxonil,131341-86-1,Fongicide,Env A,,0.18525
2021,35000,Non,2110102,sedaxane,874967-67-6,Fongicide,Env A,,0.3705
2021,35000,Non,2110148,bixafen,581809-46-3,Fongicide,Env A,,0.125
2021,35000,Non,2110162,azoxystrobine,131860-33-8,Fongicide,Santé A,,0.5
2021,35000,Non,2110167,tebuconazole,107534-96-3,Fongicide,CMR,,2.58
2021,35000,Non,2120048,aminopyralid,150114-71-9,Herbicide,Env A,,0.03
2021,35000,Non,2120048,triclopyr,55335-06-3,Herbicide,Env B,,0.24
2021,35000,Non,2120075,dimethenamide-p (dmta-p),163515-14-8,Herbicide,Env A,,2
2021,35000,Non,2120075,metazachlore,67129-08-2,Herbicide,CMR,,2
