annee,code_postal_acheteur,achat_etranger,amm,substance,cas,fonction,classification,classification_mention,quantite_substance
2014,35000,Non,2000018,soufre pour pulverisation (micronise),7704-34-9,Fongicide,Autre,,3.2
2014,35000,Non,2000071,"2,4-d",94-75-7,Herbicide,N Organique,,0.301
2014,35000,Non,2000071,dicamba,1918-00-9,Herbicide,N Organique,,0.043
2014,35000,Non,2000071,sulfate de fer (sulfate ferreux heptahydrate),7782-63-0,Herbicide - Antimousse,Autre,,11.5283
2014,35000,Non,2000125,cuivre du sulfate de cuivre,8011-63-0,Fongicide,N minéral,,2.0
2014,35000,Non,2000276,chlorure d'alkyl dimethyl benzyl ammonium,68424-85-1,SA non phyto - Désinfectant - Biocide,Autre,,1.38
2014,35000,Non,2000299,clomazone,81777-89-1,Herbicide,N Organique,,1.44
2014,35000,Non,2000333,epoxiconazole,133855-98-8,Fongicide,"T, T+, CMR",,2.5
2014,35000,Non,2000333,pyraclostrobine,175013-18-0,Fongicide,"T, T+, CMR",,6.65
2014,35000,Non,2000391,"2,4-d",94-75-7,Herbicide,N Organique,,0.29
2014,35000,Non,2000391,triclopyr,55335-06-3,Herbicide,N Organique,,0.3235
2014,35000,Non,2000424,glyphosate,1071-83-6,Herbicide,N Organique,,0.72
2014,35000,Non,2000510,fer sous forme de sulfate de fer,7720-78-7,Herbicide - Antimousse,Autre,,0.16
2014,35000,Non,2010023,deltamethrine,52918-63-5,Insecticide,"T, T+, CMR",,0.075
2014,35000,Non,2010035,"2,4-mcpa",94-74-6,Herbicide,N Organique,,56.2
2014,35000,Non,2010035,dichlorprop-p,15165-67-0,Herbicide,Autre,,28.1
2014,35000,Non,2010035,mecoprop-p (mcpp-p),16484-77-8,Herbicide,N Organique,,28.1
2014,35000,Non,2010139,"2,4-d",94-75-7,Herbicide,N Organique,,1
2014,35000,Non,2010239,florasulame,145701-23-1,Herbicide,N Organique,,0.01
2014,35000,Non,2010239,fluroxypyr,69377-81-7,Herbicide,N Organique,,1
2014,35000,Non,2010240,florasulame,145701-23-1,Herbicide,N Organique,,0.05
2014,35000,Non,2010240,fluroxypyr,69377-81-7,Herbicide,N Organique,,2
2014,35000,Non,2010280,metconazole,125116-23-6,Fongicide,N Organique,,1.8
2014,35000,Non,2010282,cypermethrine,52315-07-8,Insecticide,N Organique,,1
2014,35000,Non,2010321,glyphosate,1071-83-6,Herbicide,N Organique,,0.0144
2014,35000,Non,2010410,soufre pour pulverisation (micronise),7704-34-9,Fongicide,Autre,,0.8
2014,35000,Non,2010425,metsulfuron-methyl,74223-64-6,Herbicide,N Organique,,0.04
2014,35000,Non,2010439,"2,4-d",94-75-7,Herbicide,N Organique,,0.0148
2014,35000,Non,2010439,"2,4-mcpa",94-74-6,Herbicide,N Organique,,0.0292
2014,35000,Non,2010493,glyphosate,1071-83-6,Herbicide,N Organique,,3.60
2014,35000,Non,2010612,glyphosate,1071-83-6,Herbicide,N Organique,,7.2
2014,35000,Non,2020003,phosphate ferrique,10045-86-0,Molluscicide,Autre,,0.2772
2014,35000,Non,2020047,glyphosate,1071-83-6,Herbicide,N Organique,,41.4
2014,35000,Non,2020048,glyphosate,1071-83-6,Herbicide,N Organique,,7.2
2014,35000,Non,2020049,iodosulfuron-methyl-sodium,144550-36-7,Herbicide,N Organique,,0.096
2014,35000,Non,2020049,mefenpyr-diethyl,135590-91-9,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,1.44
2014,35000,Non,2020049,mesosulfuron-methyl,208465-21-8,Herbicide,N Organique,,0.48
