annee,code_postal_acheteur,achat_etranger,amm,quantite_produit,conditionnement,eaj
2024,35000,Non,2000080,4,l,Non
2024,35000,Non,2010513,10.5,kg,Non
2024,35000,Non,2020241,0.5,kg,Non
2024,35000,Non,2040146,2.85,l,Non
2024,35000,Non,2060127,3.01,l,Non
2024,35000,Non,2060131,45,l,Non
2024,35000,Non,2090057,0.9,kg,Non
2024,35000,Non,2090101,15,l,Non
2024,35000,Non,2090111,15.64,l,Non
2024,35000,Non,2090118,50,l,Non
2024,35000,Non,2090153,4,kg,Non
2024,35000,Non,2090159,1.05,kg,Non
2024,35000,Non,2100028,5,l,Non
2024,35000,Non,2100030,20,kg,Non
2024,35000,Non,2100111,15,l,Non
2024,35000,Non,2100151,15,l,Non
2024,35000,Non,2100234,5,l,Non
2024,35000,Non,2110102,16.62,l,Non
2024,35000,Non,2120041,6.34,l,Non
2024,35000,Non,2120075,50,l,Non
2024,35000,Non,2130069,5,l,Non
2024,35000,Non,2130140,20,l,Non
2024,35000,Non,2130152,15,l,Non
2024,35000,Non,2130202,15,l,Non
2024,35000,Non,2130242,10,l,Non
2024,35000,Non,2140156,5,l,Non
2024,35000,Non,2140168,0.28,l,Non
2024,35000,Non,2140257,40,l,Non
2024,35000,Non,2150019,0.47,l,Non
2024,35000,Non,2150140,40,l,Non
2024,35000,Non,2150964,170,kg,Non
2024,35000,Non,2160226,50,kg,Non
2024,35000,Non,2160384,1,l,Non
2024,35000,Non,2160409,10,kg,Non
2024,35000,Non,2160484,10,l,Non
2024,35000,Non,2160937,15,l,Non
2024,35000,Non,2161101,20,l,Non
2024,35000,Non,2170216,1,kg,Non
2024,35000,Non,2170243,2.7,l,Oui
2024,35000,Non,2170425,20,l,Non
2024,35000,Non,2171253,0.01,l,Non
2024,35000,Non,2180124,1.72,l,Non
2024,35000,Non,2180369,400,l,Non
2024,35000,Non,2190173,18,kg,Non
2024,35000,Non,2190509,20,l,Non
2024,35000,Non,2190686,30,l,Non
2024,35000,Non,2190760,0.6,kg,Oui
2024,35000,Non,2190883,5,l,Non
2024,35000,Non,2200068,0.9,kg,Oui
2024,35000,Non,2210324,2.93,l,Non
2024,35000,Non,2219993,0.1,l,Non
2024,35000,Non,8400096,29,l,Non
2024,35000,Non,8700462,40,l,Non
2024,35000,Non,9000490,10,l,Non
2024,35000,Non,9100296,5,l,Non
2024,35000,Non,9400052,2,l,Non
2024,35000,Non,9500323,3,kg,Non
2024,35000,Non,9600093,5,l,Non
2024,35000,Non,9600197,0.2,kg,Non
2024,35000,Non,9900189,12,kg,Non
2024,35000,Non,9900251,10,l,Non
2024,35131,Non,2000046,10,l,Non
2024,35131,Non,2000301,45,l,Non
2024,35131,Non,2000380,21,l,Non
2024,35131,Non,2040146,0.06,l,Non
2024,35131,Non,2050075,5,kg,Non
2024,35131,Non,2060063,0.5,kg,Non
2024,35131,Non,2060118,5,l,Non
2024,35131,Non,2080026,52,l,Non
2024,35131,Non,2080117,0.55,kg,Non
2024,35131,Non,2080125,0.4,kg,Non
2024,35131,Non,2080145,20,l,Non
2024,35131,Non,2090016,20,l,Non
2024,35131,Non,2090037,11,kg,Non
2024,35131,Non,2090050,132,kg,Non
2024,35131,Non,2090101,5,l,Non
2024,35131,Non,2090111,1.5,l,Non
2024,35131,Non,2090117,5,l,Non
2024,35131,Non,2090118,40,l,Non
2024,35131,Non,2090153,4,kg,Non
2024,35131,Non,2090159,0.35,kg,Non
2024,35131,Non,2100026,4,l,Non
2024,35131,Non,2100030,60,kg,Non
2024,35131,Non,2100052,10,l,Non
2024,35131,Non,2100112,15,l,Non
2024,35131,Non,2100138,35,l,Non
2024,35131,Non,2100140,25,l,Non
2024,35131,Non,2100151,12.5,l,Non
2024,35131,Non,2100186,80,l,Non
2024,35131,Non,2100232,4,l,Non
2024,35131,Non,2100234,15,l,Non
2024,35131,Non,2110102,13.62,l,Non
2024,35131,Non,2110192,0.7,kg,Non
2024,35131,Non,2120041,1.15,l,Non
2024,35131,Non,2120075,20,l,Non
2024,35131,Non,2120120,5,l,Non
2024,35131,Non,2120143,20,l,Non
2024,35131,Non,2130063,20,l,Non
2024,35131,Non,2130068,4,l,Non
2024,35131,Non,2130083,5,l,Non
2024,35131,Non,2130251,1,l,Non
2024,35131,Non,2140051,1.01,l,Non
2024,35131,Non,2150019,2.48,l,Non
2024,35131,Non,2150022,14,l,Non
2024,35131,Non,2150140,200,l,Non
2024,35131,Non,2150483,150,kg,Non
2024,35131,Non,2150484,8,l,Non
2024,35131,Non,2160226,20,kg,Non
2024,35131,Non,2160248,30,l,Non
2024,35131,Non,2160920,35,l,Non
2024,35131,Non,2160931,13.5,l,Non
2024,35131,Non,2160936,18,l,Non
2024,35131,Non,2160937,12,l,Non
2024,35131,Non,2160959,10,l,Non
2024,35131,Non,2170134,80,kg,Non
2024,35131,Non,2170237,3.6,kg,Non
2024,35131,Non,2170238,10,kg,Non
2024,35131,Non,2170381,25,l,Non
2024,35131,Non,2170421,15,l,Non
2024,35131,Non,2170425,30,l,Non
2024,35131,Non,2170712,1,l,Non
2024,35131,Non,2170933,12,kg,Non
2024,35131,Non,2180124,1.26,l,Non
2024,35131,Non,2190062,4,l,Non
2024,35131,Non,2190173,36,kg,Non
2024,35131,Non,2190268,9,l,Non
2024,35131,Non,2190321,15,l,Non
2024,35131,Non,2190634,2,l,Non
2024,35131,Non,2190686,25,l,Non
2024,35131,Non,2200518,30,l,Non
2024,35131,Non,2210036,20,l,Non
2024,35131,Non,2210355,10,l,Non
2024,35131,Non,2210858,10,l,Non
2024,35131,Non,2219999,0.1,l,Non
2024,35131,Non,2220443,20,l,Non
2024,35131,Non,8100345,0.06,kg,Non
2024,35131,Non,8400574,10,l,Non
2024,35131,Non,8700462,100,l,Non
2024,35131,Non,9000184,10,l,Non
2024,35131,Non,9000619,40,l,Non
2024,35131,Non,9100296,20,l,Non
2024,35131,Non,9100418,20,l,Non
2024,35131,Non,9400463,10,l,Non
2024,35131,Non,9800336,3,l,Non
2024,35132,Non,2000044,45,l,Non
