annee,code_postal_acheteur,achat_etranger,amm,quantite_produit,conditionnement,eaj
2015,35000,Non,2000017,0.05,l,Oui
2015,35000,Non,2000018,2,kg,Non
2015,35000,Non,2000071,332.5,kg,Oui
2015,35000,Non,2000125,9,kg,Oui
2015,35000,Non,2000228,254.5,kg,Oui
2015,35000,Non,2000299,2,l,Non
2015,35000,Non,2000391,3,l,Non
2015,35000,Non,2000500,220,l,Oui
2015,35000,Non,2000502,2.5,l,Non
2015,35000,Non,2000510,292,kg,Oui
2015,35000,Non,2000538,0.2,l,Oui
2015,35000,Non,2010023,15,l,Non
2015,35000,Non,2010035,51.95,l,Oui
2015,35000,Non,2010139,2.07,l,Non
2015,35000,Non,2010239,5,l,Non
2015,35000,Non,2010240,20,l,Non
2015,35000,Non,2010284,0.64,l,Oui
2015,35000,Non,2010319,22.5,l,Oui
2015,35000,Non,2010351,4,kg,Non
2015,35000,Non,2010410,16.7,kg,Oui
2015,35000,Non,2010425,0.5,kg,Non
2015,35000,Non,2010439,4.3,l,Oui
2015,35000,Non,2010493,1.5,kg,Oui
2015,35000,Non,2010509,30.8,kg,Oui
2015,35000,Non,2010530,2.10,l,Oui
2015,35000,Non,2010612,20,l,Oui
2015,35000,Non,2010618,5.76,kg,Oui
2015,35000,Non,2020003,101.85,kg,Oui
2015,35000,Non,2020020,0.34,l,Oui
2015,35000,Non,2020049,2.4,kg,Non
2015,35000,Non,2020065,0.4,kg,Oui
2015,35000,Non,2020099,4,l,Non
2015,35000,Non,2020110,0.3,kg,Non
2015,35000,Non,2020301,2.25,l,Oui
2015,35000,Non,2020304,1.61,l,Oui
2015,35000,Non,2020318,255.0,l,Oui
2015,35000,Non,2020339,10,l,Non
2015,35000,Non,2020348,40,l,Non
2015,35000,Non,2030019,90,l,Non
2015,35000,Non,2030125,12.25,l,Oui
2015,35000,Non,2030273,1.08,l,Oui
2015,35000,Non,2030321,20,l,Oui
2015,35000,Non,2030332,2.75,l,Oui
2015,35000,Non,2030466,4.8,kg,Oui
2015,35000,Non,2050033,2,kg,Non
2015,35000,Non,2050075,5.0,kg,Non
2015,35000,Non,2050136,113,kg,Non
2015,35000,Non,2050145,2.62,l,Oui
2015,35000,Non,2050146,136.70,l,Oui
2015,35000,Non,2060050,0.05,l,Non
2015,35000,Non,2060084,50,kg,Non
2015,35000,Non,2060088,420,l,Non
2015,35000,Non,2060131,29.5,l,Oui
2015,35000,Non,2060175,210,kg,Oui
2015,35000,Non,2080018,2.6,l,Oui
2015,35000,Non,2080054,13.5,l,Oui
2015,35000,Non,2080089,58.1,l,Oui
2015,35000,Non,2080090,26.86,l,Oui
2015,35000,Non,2080101,6,kg,Non
2015,35000,Non,2080102,25,l,Non
2015,35000,Non,2080105,215,l,Non
2015,35000,Non,2080117,1.4,kg,Non
2015,35000,Non,2080133,24.3,l,Oui
2015,35000,Non,2090016,10,l,Non
2015,35000,Non,2090018,5,l,Non
2015,35000,Non,2090036,215,l,Oui
2015,35000,Non,2090037,13,kg,Non
2015,35000,Non,2090041,12.5,kg,Non
2015,35000,Non,2090050,120,kg,Non
2015,35000,Non,2090054,0.37,kg,Non
2015,35000,Non,2090057,0.6,kg,Non
2015,35000,Non,2090060,25,l,Non
2015,35000,Non,2090064,20,l,Non
2015,35000,Non,2090090,9,l,Non
2015,35000,Non,2090092,5.5,l,Non
2015,35000,Non,2090124,34.00,l,Oui
2015,35000,Non,2090160,20,l,Non
2015,35000,Non,2090164,352.5,l,Oui
2015,35000,Non,2090175,6,kg,Non
2015,35000,Non,2090176,5,l,Oui
2015,35000,Non,2090178,12.75,l,Oui
2015,35000,Non,2090199,6.55,l,Oui
2015,35000,Non,2090200,11.5,l,Oui
