annee,code_postal_acheteur,achat_etranger,amm,substance,cas,fonction,classification,classification_mention,quantite_substance
2016,35000,Non,2000018,soufre pour pulverisation (micronise),7704-34-9,Fongicide,Autre,,1.6
2016,35000,Non,2000071,"2,4-d",94-75-7,Herbicide,N Organique,,2.8665
2016,35000,Non,2000071,dicamba,1918-00-9,Herbicide,N Organique,,0.4095
2016,35000,Non,2000071,sulfate de fer (sulfate ferreux heptahydrate),7782-63-0,Herbicide - Antimousse,Autre,,109.78695
2016,35000,Non,2000299,clomazone,81777-89-1,Herbicide,N Organique,,0.72
2016,35000,Non,2000502,chlorpyriphos-methyl,5598-13-0,Insecticide,N Organique,,0.1125
2016,35000,Non,2010023,deltamethrine,52918-63-5,Insecticide,"T, T+, CMR",,0.3
2016,35000,Non,2010035,"2,4-mcpa",94-74-6,Herbicide,N Organique,,3.63
2016,35000,Non,2010035,dichlorprop-p,15165-67-0,Herbicide,Autre,,1.815
2016,35000,Non,2010035,mecoprop-p (mcpp-p),16484-77-8,Herbicide,N Organique,,1.815
2016,35000,Non,2010319,"2,4-mcpa",94-74-6,Herbicide,N Organique,,0.216
2016,35000,Non,2010319,dichlorprop-p,15165-67-0,Herbicide,Autre,,0.216
2016,35000,Non,2010319,glyphosate,1071-83-6,Herbicide,N Organique,,0.288
2016,35000,Non,2010351,iodosulfuron-methyl-sodium,144550-36-7,Herbicide,N Organique,,0.126
2016,35000,Non,2010351,mefenpyr-diethyl,135590-91-9,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,0.378
2016,35000,Non,2010351,mesosulfuron-methyl,208465-21-8,Herbicide,N Organique,,0.126
2016,35000,Non,2010410,soufre pour pulverisation (micronise),7704-34-9,Fongicide,Autre,,0.6
2016,35000,Non,2010415,glyphosate,1071-83-6,Herbicide,N Organique,,1.35
2016,35000,Non,2010419,iodosulfuron-methyl-sodium,144550-36-7,Herbicide,N Organique,,0.0072
2016,35000,Non,2010419,mefenpyr-diethyl,135590-91-9,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,0.108
2016,35000,Non,2010419,mesosulfuron-methyl,208465-21-8,Herbicide,N Organique,,0.036
2016,35000,Non,2010509,cuivre du sulfate de cuivre,8011-63-0,Fongicide,N minéral,,0.08
2016,35000,Non,2010618,cuivre du sulfate de cuivre,8011-63-0,Fongicide,N minéral,,0.144
2016,35000,Non,2020003,phosphate ferrique,10045-86-0,Molluscicide,Autre,,0.156915
2016,35000,Non,2020065,metribuzine,21087-64-9,Herbicide,N Organique,,0.14
2016,35000,Non,2020110,mancozebe,8018-01-7,Fongicide,"T, T+, CMR",,0.3445
2016,35000,Non,2020110,zoxamide,156052-68-5,Fongicide,N Organique,,0.03075
2016,35000,Non,2020318,"2,4-mcpa",94-74-6,Herbicide,N Organique,,0.594
2016,35000,Non,2020318,dichlorprop-p,15165-67-0,Herbicide,Autre,,0.594
2016,35000,Non,2020318,glyphosate,1071-83-6,Herbicide,N Organique,,0.792
2016,35000,Non,2030125,deltamethrine,52918-63-5,Insecticide,"T, T+, CMR",,0.0426
2016,35000,Non,2050075,boscalid,188425-85-6,Fongicide,N Organique,,20
2016,35000,Non,2050136,fluorure de sulfuryle,2699-79-8,Insecticide,"T, T+, CMR",,226.546
2016,35000,Non,2050145,diflufenicanil,83164-33-4,Herbicide,N Organique,,3.628
2016,35000,Non,2050145,glyphosate,1071-83-6,Herbicide,N Organique,,22.675
2016,35000,Non,2050146,diflufenicanil,83164-33-4,Herbicide,N Organique,,2.064
2016,35000,Non,2050146,glyphosate,1071-83-6,Herbicide,N Organique,,12.9
2016,35000,Non,2060045,huile vegetale,,SA non phyto - Divers,Autre,,0.07
2016,35000,Non,2060045,resines (colophane),8050-09-7,SA non phyto - Divers,Autre,,0.68
2016,35000,Non,2060050,metrafenone,220899-03-6,Fongicide,N Organique,,0.05
2016,35000,Non,2060085,boscalid,188425-85-6,Fongicide,N Organique,,0.02
2016,35000,Non,2060085,kresoxim-methyl,143390-89-0,Fongicide,"T, T+, CMR",,0.01
2016,35000,Non,2060088,benoxacor,98730-04-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,5.9
2016,35000,Non,2060088,mesotrione,104206-82-8,Herbicide,N Organique,,11.8
2016,35000,Non,2060088,s-metolachlore,87392-12-9,Herbicide,N Organique,,118
2016,35000,Non,2060137,ethofumesate,26225-79-6,Herbicide,N Organique,,5
