Nom membre,Siren membre,N° INSEE,"Population totale
2021(INSEE)","Surface
(km²)","Lien Page
Wikipedia",Nom de l'AOM,"N° SIREN
AOM","Forme juridique
De l'AOM",Plan,"Comité des
Partenaires","Bassin de mobilité
1","Bassin de mobilité
2",Région siège,Département siège,Nom du groupement,"N° SIREN
Groupement",Id réseau,"Nature juridique
Du groupement","Lien
Banatic","Nombre
De membres","Population totale
2019 (Banatic)",
La Chapelle-des-Fougeretz,213500598,35059,3114,8.71,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
La Chapelle-Thouarault,213500655,35065,1568,7.64,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Laillé,213501398,35139,2723,32.04,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Langan,213501448,35144,1140,7.8,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Le Rheu,213502404,35240,419,18.89,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Le Verger,213503519,35351,4885,6.96,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Miniac-sous-Bécherel,213501802,35180,2219,13.55,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Montgermont,213501893,35189,2823,4.67,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Mordelles,213501968,35196,6080,29.76,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Nouvoitou,213502040,35204,999,18.94,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Noyal-Châtillon-sur-Seiche,213503642,35206,134942,26.51,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Orgères,213502081,35208,37859,16.33,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Pacé,213502107,35210,2345,34.94,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Parthenay-de-Bretagne,213502164,35216,1865,4.8,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Pont-Péan,213503634,35363,1159,8.76,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Rennes,213502388,35238,2657,50.39,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Romillé,213502453,35245,1938,28.67,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Saint-Armel,213502503,35250,3781,7.75,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Saint-Erblon,213502669,35266,1456,10.93,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Saint-Gilles,213502750,35275,1677,20.72,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Saint-Grégoire,213502784,35278,2285,17.3,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Saint-Jacques-de-la-Lande,213502818,35281,1516,11.83,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Saint-Sulpice-la-Forêt,213503154,35315,5259,6.72,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Thorigné-Fouillard,213503345,35334,460,13.58,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Vern-sur-Seiche,213503527,35352,428,19.7,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Vezin-le-Coquet,213503535,35353,328,7.86,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
Janzé,213501364,35136,925,41.26,Voir la fiche,Roche aux Fées Communauté,243500634,CC,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Roche aux Fées Communauté,243500634,1389,CC,Voir la fiche,16,27390,
Hirel,213501323,35132,615,9.85,Voir la fiche,CA du Pays de Saint Malo Agglomération,243500782,CA,PDM ou apparenté adopté,Installé,,,53 - Bretagne,35 - Ille-et-Vilaine,CA du Pays de Saint Malo Agglomération,243500782,86,CA,Voir la fiche,18,87655,
