id,id_ex,siret,rup_mi,gestion,date_creat,date_decla,date_publi,date_disso,nature,groupement,titre,titre_court,objet,objet_social1,objet_social2,adrs_complement,adrs_numvoie,adrs_repetition,adrs_typevoie,adrs_libvoie,adrs_distrib,adrs_codeinsee,adrs_codepostal,adrs_libcommune,adrg_declarant,adrg_complemid,adrg_complemgeo,adrg_libvoie,adrg_distrib,adrg_codepostal,adrg_achemine,adrg_pays,dir_civilite,siteweb,publiweb,observation,position,maj_time
W561012771,,,,353P,2022-10-25,2025-03-17,2022-11-08,0001-01-01,D,S,RAPCLUB,RAPCLUB,promotion de la culture hip-hop et organisation devenements musicaux,006040,000000,,112,,AV,Sergent Maginot,,35238,35000,Rennes,,,,2  RUE BRAILLE,,56530,QUEVEN,FRANCE,CO,,0,,A,2025-03-25 10:05:56
W561013188,0561006078,,,353P,1992-12-09,2023-07-11,0001-01-01,0001-01-01,D,S,INSTITUT REGIONAL C.G.T. DHISTOIRE SOCIALE DE BRETAGNE,INSTITUT REGIONAL C.G.T. D...,"collecte et traitement dinformations et de documents de toute nature se rattachant a lhistoire sociale de la region et plus particulierement a lhistoire du syndicalisme, et leur exploitation a des fins de formation et de recherche historiques  mise en oeuvre detudes, de recherches et de larges confrontations dans les domaines de son champ dinvestigation  contribution a linformation et la formation des militants syndicaux, des travailleurs, des etudiants et de toutes organisations et organismes interesses a lhistoire sociale  toutes les activites de linstitut dont certaines interdisciplinaires",023005,000000,,31,,BD,du portugal,,35238,35208,Rennes,,,,31 BD DU PORTUGAL,CS 90837,35208,RENNES,FRANCE,PM,,0,Reprise  =>  date publication creation au JO a verifier date ag=0000-00-00,A,2024-01-10 19:02:54
W562000006,0562002360,,,353P,1986-01-16,2019-10-25,1986-02-05,0001-01-01,D,S,FORMATION A LA GESTION FORESTIERE FOGEFOR DE BRETAGNE,FORMATION A LA GESTION FORESTIERE ...,"promouvoir, soutenir et organiser la formation des proprietaires forestiers prives a la gestion forestiere sur le territoire de la region de Bretagne. Elle peut confier la realisation des activites de formation a un organisme tiers",014025,000000,CRPF de Bretagne,101 A,,AV,Henri Freville,,35238,35200,Rennes,,,,101 A AVENUE HENRI FReVILLE,,35200,RENNES,FRANCE,PM,,1,,A,2020-01-21 14:08:49
W562000257,0562004597,,,353P,2006-10-17,2009-11-16,2006-11-04,0001-01-01,D,S,ASSOCIATION DES ELEVEURS DE LAPINS BRETONS - AELB,AELB DE BREHAN,representer et defendre les interets des eleveurs de lapins aelb,022542,000000,,,,,Le Chalet,,35001,35690,Acigne,,,,LE CHALET,,35690,ACIGNE,FRANCE,PM,,0,Reprise  =>  date ag=0000-00-00,A,2010-05-18 20:00:02
W562000335,0562004692,,,353P,2007-07-16,2015-04-30,2007-07-28,0001-01-01,D,S,ASSOCIATION BRETONNE DES RESTAURANTS DU TERROIR,ASSOCIATION BRETONNE DES RESTAURANT...,"federer les restaurateurs regionaux qui ont passe avec succes laudit externe de controle de qualite lie aux exigences des criteres et des valeurs, en application du referentiel restaurants du terroir, et ont ete agrees par le comite de labellisation assurer la promotion et la valorisation de la marque collective restaurant du terroir travailler a lamelioration de la demarche des restaurants du terroir par des actions regulieres et suivies, de maniere plus generale",007060,000000,CCI Bretagne,1,,RUE,General Guillaudot,CS 14422,35238,35044,Rennes cedex,,,CCI DE BRETAGNE,1 RUE GeNeRAL GUILLAUDOT,,35044,RENNES CEDEX,FRANCE,PM,,0,Reprise  =>  date ag=0000-00-00,A,2015-10-29 20:00:03
W562000445,0562004192,,,353P,1991-07-17,2026-05-07,0001-01-01,0001-01-01,D,S,BRUIT DE LIRE,BRUIT DE LIRE,promouvoir la lecture et lecriture,015000,006010,,20,,RUE,DE LA CRECHE,,35238,35000,Rennes,Malo-Renault Anne,,,3 RUE POBEGUIN,,56300,PONTIVY,FRANCE,CF,,0,Reprise  =>  date ag=0000-00-00,A,2026-06-01 12:32:09
W562000566,0562002552,,,353P,1987-12-01,2017-01-06,1987-12-23,0001-01-01,D,S,ASSOCIATION BRETONNE DES ETABLISSEMENTS DE LOISIRS,ASSOCIATION BRETONNE DES ETABLISSEM...,Promouvoir des activites de loisirs en bretagne,007080,000000,Chambre Regionale de commerce et dIndustrie,11,,RUE,du General Guillaudot,,35238,35000,Rennes,,,,5 RUE ROLAND GARROS,,56100,LORIENT,FRANCE,PM,,0,Reprise  =>  date ag=0000-00-00,A,2017-01-20 11:28:07
W562001149,,,,353P,2010-11-15,2019-01-22,2010-11-27,0001-01-01,D,S,ESCALES FLUVIALES DE BRETAGNE,CANAUX DE BRETAGNE,"federer lensemble des acteurs publics et prives, en favoriser la concertation et la coordination, et de realiser des actions dans une ambition partagee de valorisation touristique, patrimoniale et de loisirs des voies deau de bretagne et ce, dans un objectif de developpement durable  defendre le patrimoine navigable fluvial, favoriser la coordination,r contribuer au developpement durable economique, social et environnemental des voies deau",024050,000000,,1,,RUE,Raoul Ponchon,,35238,35000,Rennes,,,,LA BECHARDIERE,,35250,SAINT-GERMAIN-SUR-ILLE,FRANCE,PM,,0,,A,2019-01-26 12:45:44
W562001870,056202849B,,,353P,1990-11-12,2024-06-20,1990-12-05,0001-01-01,D,S,COORDINATION DES RADIOS LOCALES ET ASSOCIATIVES  DE BRETAGNE,CORLAB,"federer en Bretagne les radios associatives non commerciales travaillant a linformation locale et a lanimation culturelle, sociale, economique etc des territoires, prenant en compte les realites specifiques de Bretagne tout en souvrant au monde  defendre les interets de ces radios aupres des collectivites, du ministere de tutelle et des differents organismes lies a lexpression radiophonique  etre un lieu dechange, de cooperation et de concertation entre les radios, tant dans le domaine de la formation et de la programmation que sur les plans techniques et financiers  promouvoir lexpression radiophonique en Bretagne en sucitant la creation de nouvelles radios associatives non commerciales locales et de pays  repondre aux appels a projets emanant des collectivites locales, nationales et europeennes  etre un outil de developpement economique et social pour la Bretagne",005010,000000,,26,,RUE,Marc Sangnier,,35238,35200,Rennes,,PLUMFM,,2  RUE DES ROSIERS,,56460,SERENT,FRANCE,CO,,0,Reprise  =>  date ag=0000-00-00,A,2024-07-02 10:08:40
W562002238,0562002525,39077243200048,,353P,2003-05-09,2024-11-25,0001-01-01,0001-01-01,D,S,COMMUNES DU PATRIMOINE RURAL DE BRETAGNE,COMMUNES DU PATRIMOINE RURAL DE BRE...,"sauvegarde et mise en valeur du patrimoine architectural, historique, ethnologique et des sites de lensemble des communes adherentes mise en oeuvre des orientaions definies dans une charte creation et application dun label",023040,010020,,1 C,,AV,de Belle Fontaine,Cs 71777,35051,35510,Cesson-Sevigne,,,,1C-1D BELLE FONTAINE,,35510,CESSON SEVIGNE,FRANCE,PM,,0,Reprise  =>  date ag=0000-00-00,A,2025-05-27 18:00:01
