code UAI,n° SIRET,type d'établissement,nom,sigle,statut,tutelle,université de rattachement libellé et UAI,université de rattachement ID et URL Onisep,établissements liés libellés,établissements liés URL et ID Onisep,boîte postale,adresse,CP,commune,commune (COG),cedex,telephone,arrondissement,département,académie,région,région (COG),longitude (X),latitude (Y),journées portes ouvertes,langues enseignées,URL et ID Onisep,date création,date de modification
0352959B,20009046200017,collège,Collège Marie Curie,,public,Ministère chargé de l'Éducation nationale,,,,,,2 esplanade Roger Jouan,35890,Laille,35139,,02 90 01 53 93,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.7118072509766,47.984923870564,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21643,08/10/2020,29/01/2025
0352030S,19352030100014,collège,Collège Morvan Lebesque,,public,Ministère chargé de l'Éducation nationale,,,,,BP 116,34 avenue Beausejour,35310,Mordelles,35196,,02 99 60 53 53,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.84013,48.0727,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4697,06/06/2020,06/06/2020
0352904S,34238383300049,centre de formation professionnelle,Ligue de Bretagne Natation,ERFAN,privé,,,,,,,9 rue Léo Lagrange,35131,Chartres-de-Bretagne,35066,,02 99 67 03 58,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.7075198,48.1173421,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19494,06/06/2020,05/01/2024
0352821B,,conservatoire régional,Conservatoire à rayonnement régional,CRR,public,Ministère de la Culture et de la communication,,,,,,26 rue Hoche,35000,Rennes,35238,,02 23 62 22 50,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.67708,48.1144,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8451,06/06/2020,17/01/2025
0352089F,77567227233372,école de santé,Croix-Rouge Compétence - site de Rennes,,privé,Ministère des Solidarités et de la Santé,,,,,,10 rue André et Yvonne Meynier,35000,Rennes,35238,,02 98 05 22 40,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.69164,48.1095,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5751,06/06/2020,17/12/2025
0350835T,77774575300015,collège,Collège La Tour d'Auvergne La Salle,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,,,,6 rue de la Santé,35000,Rennes,35238,,02 99 30 79 89,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.68578,48.1087,,"Allemand, Anglais, Chinois, Espagnol, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : allemand, Langues et cultures européennes : anglais, Langues et cultures européennes : espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13742,06/06/2020,01/04/2021
0352817X,33441214500073,autre établissement d'enseignement,Institut régional sport et santé - site de Rennes,IRSS,privé,,,,,,,"2 allée Antoine Becquerel, Le Nobel",35700,Rennes,35238,,02 99 22 88 12,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.63212,48.1223,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17352,06/06/2020,22/05/2026
0352071L,45019580500012,collège,Collège Joséphine Bakhita,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,Collège Léontine Dolivet à Cesson-Sévigné (35) | Lycée polyvalent Frédéric Ozanam à Cesson-Sévigné (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22685 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5317,CS 96702,29 boulevard Émile Combes,35000,Rennes,35238,,02 99 22 20 60,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.670519,48.093545,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4101,06/06/2020,16/04/2026
0352972R,77568879902207,collège,Collège Saint-Louis - La Hublais,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,,,,Avenue de la Hublais,35510,Cesson-Sévigné,35051,,02 21 00 01 50,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.6159892,48.1162616,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21623,01/10/2020,09/04/2024
0350874K,77771000500045,collège,Collège Saint-Yves,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,,,BP 22,3 rue Jeanne d'Arc,35310,Mordelles,35196,,02 99 85 13 00,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.85194,48.0738,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15110,06/06/2020,16/04/2026
