Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS,Ecart-type de l'IPS
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350747X,ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAGDA HOLLANDER LAFON,35238,RENNES,public,67.1,19.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350747X,ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAGDA HOLLANDER LAFON,35238,RENNES,public,65.9,19.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350747X,ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAGDA HOLLANDER LAFON,35238,RENNES,public,65.1,18.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350747X,EREA MAGDA HOLLANDER LAFON,35238,RENNES,public,68.4,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350747X,ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE,35238,RENNES,public,66.5,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350747X,ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE,35238,RENNES,public,70.1,
