commune,reg_nom,dep_nom,code_insee_commune,code_postal,GRD_ELEC,grd_elec_eic,GRD_GAZ,code_grd_elec_1,code_grd_elec_2,grd_elec_1_eic,grd_elec_2_eic,code_grd_gaz_1,code_grd_gaz_2,code_grd_gaz_3,EPCI,code_dept,code_reg,LIBEPCI
Noyal-Châtillon-sur-Seiche,Bretagne,Ille-et-Vilaine,35206,35230,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Orgères,Bretagne,Ille-et-Vilaine,35208,35230,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Pacé,Bretagne,Ille-et-Vilaine,35210,35740,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Parthenay-de-Bretagne,Bretagne,Ille-et-Vilaine,35216,35850,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Poilley,Bretagne,Ille-et-Vilaine,35230,35420,Enedis,17X100A100A0001A,,ENED,,17X100A100A0001A,,,,,200072452,35,53,Communauté d'agglomération Fougères Agglomération
Rannée,Bretagne,Ille-et-Vilaine,35235,35130,Enedis,17X100A100A0001A,,ENED,,17X100A100A0001A,,,,,200039022,35,53,Communauté d'agglomération Vitré Communauté
Rennes,Bretagne,Ille-et-Vilaine,35238,35000/35200/35700,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Le Rheu,Bretagne,Ille-et-Vilaine,35240,35650,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Romillé,Bretagne,Ille-et-Vilaine,35245,35850,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Saint-Armel,Bretagne,Ille-et-Vilaine,35250,35230,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Saint-Erblon,Bretagne,Ille-et-Vilaine,35266,35230,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Saint-Gilles,Bretagne,Ille-et-Vilaine,35275,35590,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Saint-Grégoire,Bretagne,Ille-et-Vilaine,35278,35760,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Saint-Jacques-de-la-Lande,Bretagne,Ille-et-Vilaine,35281,35136,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Saint-Sauveur-des-Landes,Bretagne,Ille-et-Vilaine,35310,35133,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,200072452,35,53,Communauté d'agglomération Fougères Agglomération
Saint-Sulpice-la-Forêt,Bretagne,Ille-et-Vilaine,35315,35250,Enedis,17X100A100A0001A,,ENED,,17X100A100A0001A,,,,,243500139,35,53,Rennes Métropole
Thorigné-Fouillard,Bretagne,Ille-et-Vilaine,35334,35235,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Le Verger,Bretagne,Ille-et-Vilaine,35351,35160,Enedis,17X100A100A0001A,,ENED,,17X100A100A0001A,,,,,243500139,35,53,Rennes Métropole
Vern-sur-Seiche,Bretagne,Ille-et-Vilaine,35352,35770,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Vezin-le-Coquet,Bretagne,Ille-et-Vilaine,35353,35132,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Pont-Péan,Bretagne,Ille-et-Vilaine,35363,35131,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
