annee_consommation,zone_climatique,code_region,nom_region,code_departement,nom_departement,nom_commune,vecteur_energie,consommation_declaree
0 - année de référence,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT GREGOIRE,Gaz,10967577
0 - année de référence,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT JACQUES DE LA LANDE,Electricite,18917373
0 - année de référence,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT JACQUES DE LA LANDE,Gaz,8215718
0 - année de référence,H2a,53,Bretagne,35,Ille-et-Vilaine,THORIGNE FOUILLARD,Electricite,4541700
0 - année de référence,H2a,53,Bretagne,35,Ille-et-Vilaine,THORIGNE FOUILLARD,Gaz,3307998
0 - année de référence,H2a,53,Bretagne,35,Ille-et-Vilaine,VERN SUR SEICHE,Bois,209668
0 - année de référence,H2a,53,Bretagne,35,Ille-et-Vilaine,VERN SUR SEICHE,Electricite,7160366
0 - année de référence,H2a,53,Bretagne,35,Ille-et-Vilaine,VERN SUR SEICHE,Gaz,4255042
0 - année de référence,H2a,53,Bretagne,35,Ille-et-Vilaine,VEZIN LE COQUET,Electricite,1216025
0 - année de référence,H2a,53,Bretagne,35,Ille-et-Vilaine,VEZIN LE COQUET,Gaz,735021
0 - année de référence,H2a,53,Bretagne,35,Ille-et-Vilaine,VEZIN LE COQUET,Reseau de chaleur,221884
0 - année de référence,H2b,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,99395
0 - année de référence,H3,53,Bretagne,35,Ille-et-Vilaine,PACE,Electricite,237634
0 - année de référence,H3,76,Occitanie,30,Gard,SAINT GILLES,Electricite,4087749
0 - année de référence,H3,76,Occitanie,30,Gard,SAINT GILLES,Gaz,1306272
2020,H1a,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,970888
2020,H1c,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,15847
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,ACIGNE,Electricite,575681
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,ACIGNE,Gaz,619839
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,BETTON,Electricite,4360969
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,BETTON,Gaz,2736261
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,BOURGBARRE,Electricite,999147
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,BOURGBARRE,Gaz,1444504
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,BRECE,Electricite,2296905
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,BRECE,Gaz,555089
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,BRUZ,Electricite,12940601
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,BRUZ,Gaz,12743400
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,65996740
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Gaz,9881239
