Identifiant,URL canonique,Titre,Description,Détail des conditions,Mots clés,Dernière mise à jour,Résumé horaires,Première date - Début,Première date - Fin,Dernière date - Début,Dernière date - Fin,Horaires détaillés,Accessibilité,Identifiant du lieu,Coordonnées géographiques,Nom du lieu,Adresse,Arrondissement,Code INSEE,Code postal,Ville,Région,Département,Pays,Site web du lieu,Liens du lieu,Tags du lieu,Description du lieu,Accès / Itinéraire,Lien d'accès en ligne,Age minimum,Age maximum,Agenda d'origine (uid),Nom du pays
4203479,https://openagenda.com/nuitlecture-2022/events/exposition-papoutsi,Exposition Papoùtsi,Planches originales de l’album « Papoùtsi » de Morena Safar,,,2021-11-24T10:28:33+00:00,21 et 22 janvier 2022,2022-01-21T13:00:00+00:00,2022-01-21T17:30:00+00:00,2022-01-22T12:30:00+00:00,2022-01-22T16:00:00+00:00,"[{""begin"": ""2022-01-21T14:00:00+01:00"", ""end"": ""2022-01-21T18:30:00+01:00""}, {""begin"": ""2022-01-22T10:00:00+01:00"", ""end"": ""2022-01-22T12:30:00+01:00""}, {""begin"": ""2022-01-22T13:30:00+01:00"", ""end"": ""2022-01-22T17:00:00+01:00""}]",,28214745,"48.041681, -1.695609",Médiathèque Centre culturel Pôle Sud,1 rue de la Conterie 35131 Chartres-de-Bretagne,,35066,35131,Chartres-de-Bretagne,Bretagne,Ille-et-Vilaine,FR,https://chartres.c3rb.org/,https://fr-fr.facebook.com/mediathequechartresdebretagne/,Bibliothèque / Médiathèque;Première participation,"Le Centre Culturel Pôle Sud propose une salle de spectacle, une salle d'exposition et une médiathèque.",Bus et Parking à proximité,,,99,1377046,France (Métropole)
86642473,https://openagenda.com/nuitlecture-2022/events/quizz-17-ans-et-,Quizz 17 ans et +,Les Nuits de la lecture auront lieu à la médiathèque Le Tempo à Vezin Le Coquet le vendredi 28 Janvier de 16h à 21h.,,,2022-01-03T13:39:57+00:00,"Vendredi 21 janvier 2022, 19h30",2022-01-21T18:30:00+00:00,2022-01-21T19:00:00+00:00,2022-01-21T18:30:00+00:00,2022-01-21T19:00:00+00:00,"[{""begin"": ""2022-01-21T19:30:00+01:00"", ""end"": ""2022-01-21T20:00:00+01:00""}]",,62996410,"48.118145, -1.756502",Médiathèque Le Tempo,11 contour de l'église 35132 Vezin-le-Coquet,,35353,35132,Vezin-le-Coquet,Bretagne,Ille-et-Vilaine,FR,http://mediatheque-vezinlecoquet.fr,,Bibliothèque / Médiathèque,"La médiathèque Le Tempo est un 3ème lieu. On y propose l'accès à différentes collections pour les plus jeunes et les adultes, différents services dont du numérique et une série d'animations : concerts, conférences, expositions...","Parking gratuit, ligne de bus 53",,17,99,1377046,France (Métropole)
43244985,https://openagenda.com/nuitlecture-2022/events/nocturne-a-la-mediatheque-390457,Nocturne à la médiathèque,Une nocturne à la médiathèque entre jeux et contes pour tous,,,2022-01-20T09:21:57+00:00,"Vendredi 21 janvier 2022, 18h45",2022-01-21T17:45:00+00:00,2022-01-21T19:45:00+00:00,2022-01-21T17:45:00+00:00,2022-01-21T19:45:00+00:00,"[{""begin"": ""2022-01-21T18:45:00+01:00"", ""end"": ""2022-01-21T20:45:00+01:00""}]",handicap moteur,43031120,"47.9953, -1.668678",Médiathèque d'Orgères,5 place de l'Église 35230 Orgères,,35208,35230,Orgères,Bretagne,Ille-et-Vilaine,FR,https://www.orgeres.fr/,https://www.facebook.com/orgeres/,Bibliothèque / Médiathèque;Première participation,Médiathèque d'Orgères,"Parking, Bus",,5,121,1377046,France (Métropole)
20913657,https://openagenda.com/nuitlecture-2022/events/nocturne-a-la-mediatheque-3088210,Nocturne à la médiathèque,Une nocturne à la médiathèque entre jeux et contes pour tous,,,2022-01-20T09:22:33+00:00,"Vendredi 21 janvier 2022, 20h15",2022-01-21T19:15:00+00:00,2022-01-21T19:45:00+00:00,2022-01-21T19:15:00+00:00,2022-01-21T19:45:00+00:00,"[{""begin"": ""2022-01-21T20:15:00+01:00"", ""end"": ""2022-01-21T20:45:00+01:00""}]",handicap moteur,43031120,"47.9953, -1.668678",Médiathèque d'Orgères,5 place de l'Église 35230 Orgères,,35208,35230,Orgères,Bretagne,Ille-et-Vilaine,FR,https://www.orgeres.fr/,https://www.facebook.com/orgeres/,Bibliothèque / Médiathèque;Première participation,Médiathèque d'Orgères,"Parking, Bus",,5,121,1377046,France (Métropole)
54691412,https://openagenda.com/nuitlecture-2022/events/lecture-deambulatoire-sur-lamour,Lecture déambulatoire sur l’Amour,"Le temps d'une soirée, découvrez les textes coups de coeur des bibliothécaires ainsi que les vôtres !",Nombre de places limité à 20 personnes,,2021-11-24T17:16:10+00:00,"Samedi 22 janvier 2022, 18h30",2022-01-22T17:30:00+00:00,2022-01-22T19:00:00+00:00,2022-01-22T17:30:00+00:00,2022-01-22T19:00:00+00:00,"[{""begin"": ""2022-01-22T18:30:00+01:00"", ""end"": ""2022-01-22T20:00:00+01:00""}]",,62839360,"48.076249, -1.839967",Médiathèque de Mordelles,85 avenue du maréchal Leclerc 35310 Mordelles,,35196,35310,Mordelles,Bretagne,Ille-et-Vilaine,FR,https://mediatheque.ville-mordelles.fr/,,Bibliothèque / Médiathèque,Médiathèque municipale,"Bus 55 (arrêt Lilas), parking",,15,99,1377046,France (Métropole)
33199277,https://openagenda.com/nuitlecture-2022/events/cocons-de-lectures-1243222,Cocons de lectures,Installez-vous confortablement pour lire en famille.,,,2021-12-01T11:05:00+00:00,"Samedi 22 janvier 2022, 17h00",2022-01-22T16:00:00+00:00,2022-01-22T17:30:00+00:00,2022-01-22T16:00:00+00:00,2022-01-22T17:30:00+00:00,"[{""begin"": ""2022-01-22T17:00:00+01:00"", ""end"": ""2022-01-22T18:30:00+01:00""}]",,26534363,"48.044383, -1.605707",Mediathèque Le Volume,3 rue François Rabelais 35770 Vern-sur-Seiche,,35352,35770,Vern-sur-Seiche,Bretagne,Ille-et-Vilaine,FR,https://mediatheque.vernsurseiche.fr/,https://fr-fr.facebook.com/levolume.vernsurseiche/,Bibliothèque / Médiathèque;Ouverture exceptionnelle;Première participation,"Le Volume – Centre culturel de Vern-sur-Seiche : une médiathèque, une école de musique et de danse (Le SUET), une salle d’exposition, des espaces de diffusion, de création, de rencontres…","Parking, bus, accessible PMR.",,4,10,1377046,France (Métropole)
80650546,https://openagenda.com/nuitlecture-2022/events/spectacle-concert-7807014,Annulé | Spectacle concert,Concert guitare et voix autour de l'amour.,,,2022-01-13T15:49:48+00:00,"Vendredi 21 janvier 2022, 18h30",2022-01-21T17:30:00+00:00,2022-01-21T18:30:00+00:00,2022-01-21T17:30:00+00:00,2022-01-21T18:30:00+00:00,"[{""begin"": ""2022-01-21T18:30:00+01:00"", ""end"": ""2022-01-21T19:30:00+01:00""}]",,36190333,"48.123417, -1.866024",Bibliothèque de La Chapelle-Thouarault,Place Padgett 35590 La Chapelle-Thouarault,,35065,35590,La Chapelle-Thouarault,Bretagne,Ille-et-Vilaine,FR,,,Bibliothèque / Médiathèque,Bibliothèque,,,7,99,1377046,France (Métropole)
76922879,https://openagenda.com/nuitlecture-2022/events/les-coups-de-coeur-des-bibliothecaires,Les coups de cœur des bibliothécaires avec Radio C-Lab,"Présentation des coups de coeurs des bibliothécaires en partenariat avec radio C-Lab. Mardi 18 et jeudi 20 janvier, de 17h à 18h, dans l'émission (In)attendue.",,,2022-01-14T12:38:42+00:00,"Jeudi 20 janvier 2022, 17h00",2022-01-20T16:00:00+00:00,2022-01-20T17:00:00+00:00,2022-01-20T16:00:00+00:00,2022-01-20T17:00:00+00:00,"[{""begin"": ""2022-01-20T17:00:00+01:00"", ""end"": ""2022-01-20T18:00:00+01:00""}]",,57089695,"48.120719, -1.701679",Bibliothèque Universitaire Rennes 2,Place du Recteur Henri Le Moal,Villejean - Beauregard,35238,35043,Rennes,Bretagne,Ille-et-Vilaine,FR,https://www.bu.univ-rennes2.fr/,,Bibliothèque universitaire,,,https://www.c-lab.fr/,,,1377046,France (Métropole)
36441889,https://openagenda.com/nuitlecture-2022/events/murder-party-1117561,Murder party,"Menez l’enquête en équipe sur le meurtre de Natacha Poliakof, écrivaine de romans d’espionnage",Sur inscription,,2021-11-02T13:34:40+00:00,"Samedi 22 janvier 2022, 20h00",2022-01-22T19:00:00+00:00,2022-01-22T21:00:00+00:00,2022-01-22T19:00:00+00:00,2022-01-22T21:00:00+00:00,"[{""begin"": ""2022-01-22T20:00:00+01:00"", ""end"": ""2022-01-22T22:00:00+01:00""}]",,52325676,"48.154581, -1.688676",Médiathèque Paul Ruaudel,Place du champ Marqué 35760 Saint-Grégoire,,35278,35760,Saint-Grégoire,Bretagne,Ille-et-Vilaine,FR,https://mediatheque.saint-gregoire.fr/,,Bibliothèque / Médiathèque;Horaires étendus,Médiathèque,,,13,99,1377046,France (Métropole)
51364359,https://openagenda.com/nuitlecture-2022/events/lectures-a-voix-haute-venez-lire-et-ecouter-quelques-mots-damour,Lectures à voix haute : Venez lire et écouter quelques mots d'amour,"Venez lire quelques lignes et mots d'amour à partager, seul ou en famille.","Pour participer, avoir préparé une lecture",,2021-11-02T13:35:01+00:00,"Samedi 22 janvier 2022, 18h00",2022-01-22T17:00:00+00:00,2022-01-22T21:30:00+00:00,2022-01-22T17:00:00+00:00,2022-01-22T21:30:00+00:00,"[{""begin"": ""2022-01-22T18:00:00+01:00"", ""end"": ""2022-01-22T22:30:00+01:00""}]",handicap intellectuel;handicap moteur;handicap psychique;handicap visuel,59403031,"48.041183, -1.544211",Médiathèque Pré en bulles,12 rue de Châteaugiron 35410 Nouvoitou,,35204,35410,Nouvoitou,Bretagne,Ille-et-Vilaine,FR,http://mediatheque.nouvoitou.fr,https://www.facebook.com/mediathequepreenbulles,Bibliothèque / Médiathèque,,"arrêt de bus à proximité, parking",,7,99,1377046,France (Métropole)
44797119,https://openagenda.com/nuitlecture-2022/events/une-soiree-a-tiroirs,Une soirée à tiroirs,"Ateliers, contes, boum, projection, jeux de société, etc.",,,2021-12-14T14:59:24+00:00,"Samedi 22 janvier 2022, 17h00",2022-01-22T16:00:00+00:00,2022-01-22T22:59:00+00:00,2022-01-22T16:00:00+00:00,2022-01-22T22:59:00+00:00,"[{""begin"": ""2022-01-22T17:00:00+01:00"", ""end"": ""2022-01-22T23:59:00+01:00""}]",,59533304,"48.11951, -1.604676",Médiathèque de Cesson-Sévigné,Parc de Bourgchevreuil 35510 Cesson-Sévigné,,35051,35510,Cesson-Sévigné,Bretagne,Ille-et-Vilaine,FR,https://www.mediatheque-cesson-sevigne.fr,https://www.facebook.com/M%C3%A9diath%C3%A8que-de-la-ville-de-Cesson-S%C3%A9vign%C3%A9-105126396285906/,Bibliothèque / Médiathèque;Horaires étendus;Ouverture exceptionnelle,"Située au cœur du parc Bourgchevreuil, la médiathèque est au rez-de-chaussée du centre culturel Pont des arts.
Elle est ouverte à tous et vous pouvez la fréquenter sans être inscrit.
Vous pouvez emprunter livres, revues, partitions, CD, DVD, et assister gratuitement aux animations pour tous les âges.","Parking, gare et bus C6 et 31 à proximité.",,,,1377046,France (Métropole)
602257,https://openagenda.com/nuitlecture-2022/events/pastilles-sonores-des-lectures-a-deviner,Pastilles sonores - Des lectures à deviner,"Pendant les 4 jours des Nuits de la lecture 2022, la Bibliothèque universitaire de Rennes 2 vous propose chaque jour 1 extrait de livre à deviner. Les gagnants recevront des petits cadeaux !",,,2022-01-19T08:55:26+00:00,20 - 23 janvier 2022,2022-01-19T23:00:00+00:00,2022-01-20T22:59:00+00:00,2022-01-22T23:00:00+00:00,2022-01-23T22:59:00+00:00,"[{""begin"": ""2022-01-20T00:00:00+01:00"", ""end"": ""2022-01-20T23:59:00+01:00""}, {""begin"": ""2022-01-21T00:00:00+01:00"", ""end"": ""2022-01-21T23:59:00+01:00""}, {""begin"": ""2022-01-22T00:00:00+01:00"", ""end"": ""2022-01-22T23:59:00+01:00""}, {""begin"": ""2022-01-23T00:00:00+01:00"", ""end"": ""2022-01-23T23:59:00+01:00""}]",,57089695,"48.120719, -1.701679",Bibliothèque Universitaire Rennes 2,Place du Recteur Henri Le Moal,Villejean - Beauregard,35238,35043,Rennes,Bretagne,Ille-et-Vilaine,FR,https://www.bu.univ-rennes2.fr/,,Bibliothèque universitaire,,,https://www.facebook.com/bibliotheques.univ.rennes2/,,,1377046,France (Métropole)
26855811,https://openagenda.com/nuitlecture-2022/events/evasion-asiatique,Évasion asiatique,"Laissez-vous emporter par la voix de vos bibliothécaires. Voyagez en Asie, confortablement installés et réchauffés par une dégustation de thé et tisane. Amenez vos plaids !",,,2022-01-15T14:31:25+00:00,"Samedi 22 janvier 2022, 21h00",2022-01-22T20:00:00+00:00,2022-01-22T21:00:00+00:00,2022-01-22T20:00:00+00:00,2022-01-22T21:00:00+00:00,"[{""begin"": ""2022-01-22T21:00:00+01:00"", ""end"": ""2022-01-22T22:00:00+01:00""}]",,26534363,"48.044383, -1.605707",Mediathèque Le Volume,3 rue François Rabelais 35770 Vern-sur-Seiche,,35352,35770,Vern-sur-Seiche,Bretagne,Ille-et-Vilaine,FR,https://mediatheque.vernsurseiche.fr/,https://fr-fr.facebook.com/levolume.vernsurseiche/,Bibliothèque / Médiathèque;Ouverture exceptionnelle;Première participation,"Le Volume – Centre culturel de Vern-sur-Seiche : une médiathèque, une école de musique et de danse (Le SUET), une salle d’exposition, des espaces de diffusion, de création, de rencontres…","Parking, bus, accessible PMR.",,11,121,1377046,France (Métropole)
79288555,https://openagenda.com/nuitlecture-2022/events/les-eumenides-deschyle-9752942,Les Euménides d'Eschyle,Le metteur en scène Gael Le Guillou-Castel de la Caravane Cie a travaillé avec des étudiants et personnels de l’université pour proposer cette lecture performance,Gratuit /Réservation et pass sanitaire obligatoire,,2021-12-13T14:30:38+00:00,"Jeudi 20 janvier 2022, 20h30",2022-01-20T19:30:00+00:00,2022-01-20T21:30:00+00:00,2022-01-20T19:30:00+00:00,2022-01-20T21:30:00+00:00,"[{""begin"": ""2022-01-20T20:30:00+01:00"", ""end"": ""2022-01-20T22:30:00+01:00""}]",,1195271,"48.118025, -1.641771",Le Diapason,Allée Jules Noel 35042 Rennes,Quartiers Nord-Est,35238,35042,Rennes,Bretagne,Ille-et-Vilaine,FR,https://diapason.univ-rennes1.fr/,,"Lieu de spectacle et de loisirs (théâtre, cinéma, conservatoire, centre culturel, MJC…)","Salle de spectacle, d’exposition, cafétéria, salles de sport, le Diapason est un espace de vie et de culture au cœur du campus de Beaulieu - Université de Rennes 1.",,,,,1377046,France (Métropole)
46386128,https://openagenda.com/nuitlecture-2022/events/pour-la-nuit-de-la-lecture-la-mediatheque-improvise-,Théâtre d'improvisation,"Cette année, la Troupe d’Improvisation Rennaise présentera son cabaret d’improvisation. Les comédiens s’appuieront sur des thèmes que le public lui soufflera.",,,2022-01-06T09:03:01+00:00,"Vendredi 21 janvier 2022, 20h30",2022-01-21T19:30:00+00:00,2022-01-21T21:00:00+00:00,2022-01-21T19:30:00+00:00,2022-01-21T21:00:00+00:00,"[{""begin"": ""2022-01-21T20:30:00+01:00"", ""end"": ""2022-01-21T22:00:00+01:00""}]",,61407382,"48.080278, -1.714032",Epi Condorcet,10 rue François Mitterrand 35136 Saint-Jacques-de-la-Lande,La Morinais,35281,35136,Saint-Jacques-de-la-Lande,Bretagne,Ille-et-Vilaine,FR,,,"Lieu de spectacle et de loisirs (théâtre, cinéma, conservatoire, centre culturel, MJC…);Horaires étendus",,,,12,100,1377046,France (Métropole)
47252730,https://openagenda.com/nuitlecture-2022/events/spectacle-bouillon-de-lecture-par-la-cie-bulles-de-reves,"Annulé | Spectacle ""Bouillon de Lecture"" par la Cie Bulles de Rêves","Tout commence comme une vraie émission littéraire : on débat, parle de livres. Lorsque soudain des personnages sortis de vos lectures préférées débarquent sur le plateau. 1 spectacle original et drôle",Inscription demandée (nombre limité de places). Passe sanitaire valide et port du masque obligatoire pour les plus de 12 ans.,,2022-01-17T14:20:03+00:00,"Vendredi 21 janvier 2022, 20h00",2022-01-21T19:00:00+00:00,2022-01-21T20:30:00+00:00,2022-01-21T19:00:00+00:00,2022-01-21T20:30:00+00:00,"[{""begin"": ""2022-01-21T20:00:00+01:00"", ""end"": ""2022-01-21T21:30:00+01:00""}]",,41425125,"48.020767, -1.651241",Médiathèque municipale de Saint-Erblon,1 rue Frédéric Deschamps 35230 Saint-Erblon,,35266,35230,Saint-Erblon,Bretagne,Ille-et-Vilaine,FR,http://www.mediatheque-saint-erblon.net/mediatheque-saint-erblon.net/,https://www.facebook.com/MediathequeDeSaintErblon/,Bibliothèque / Médiathèque;Première participation;Ouverture exceptionnelle,Médiathèque municipale de Saint-Erblon,,,9,99,1377046,France (Métropole)
732095,https://openagenda.com/nuitlecture-2022/events/larene-declame-lecture-surprenante-dune-bande-dessinee-par-youna-pieres-diez-et-lea-richard,L'Arène déclame!  -  Lecture surprenante d'une bande dessinée par Yona Pires Diez et Léa Richard,"Lecture surprenant d'une bande-dessinée par Youna Pieres Diez et Léa Richard, de l'Arène Théâtre",,,2022-01-19T08:50:46+00:00,"Jeudi 20 janvier 2022, 11h00",2022-01-20T10:00:00+00:00,2022-01-20T10:30:00+00:00,2022-01-20T10:00:00+00:00,2022-01-20T10:30:00+00:00,"[{""begin"": ""2022-01-20T11:00:00+01:00"", ""end"": ""2022-01-20T11:30:00+01:00""}]",,57089695,"48.120719, -1.701679",Bibliothèque Universitaire Rennes 2,Place du Recteur Henri Le Moal,Villejean - Beauregard,35238,35043,Rennes,Bretagne,Ille-et-Vilaine,FR,https://www.bu.univ-rennes2.fr/,,Bibliothèque universitaire,,,,,,1377046,France (Métropole)
75994988,https://openagenda.com/nuitlecture-2022/events/lir-livre-in-room,L.I.R. (Livre in room),"Une installation littéraire numérique, de Joris Mathieu et Nicolas Boudier en compagnie de Haut et Court",Entrée libre,littérature;numérique;installation;exposition;lecture;théâtre;réalité augmentée,2021-12-14T11:07:16+00:00,18 - 28 janvier 2022,2022-01-18T09:00:00+00:00,2022-01-18T16:00:00+00:00,2022-01-28T09:00:00+00:00,2022-01-28T16:00:00+00:00,"[{""begin"": ""2022-01-18T10:00:00+01:00"", ""end"": ""2022-01-18T17:00:00+01:00""}, {""begin"": ""2022-01-19T10:00:00+01:00"", ""end"": ""2022-01-19T17:00:00+01:00""}, {""begin"": ""2022-01-20T10:00:00+01:00"", ""end"": ""2022-01-20T17:00:00+01:00""}, {""begin"": ""2022-01-21T10:00:00+01:00"", ""end"": ""2022-01-21T17:00:00+01:00""}, {""begin"": ""2022-01-24T10:00:00+01:00"", ""end"": ""2022-01-24T17:00:00+01:00""}, {""begin"": ""2022-01-25T10:00:00+01:00"", ""end"": ""2022-01-25T17:00:00+01:00""}, {""begin"": ""2022-01-26T10:00:00+01:00"", ""end"": ""2022-01-26T17:00:00+01:00""}, {""begin"": ""2022-01-27T10:00:00+01:00"", ""end"": ""2022-01-27T17:00:00+01:00""}, {""begin"": ""2022-01-28T10:00:00+01:00"", ""end"": ""2022-01-28T17:00:00+01:00""}]",,69565235,"48.121216, -1.703102",Université Rennes 2,Place du recteur Henri Le Moal 35000 Rennes,Quartiers Nord-Ouest,35238,35043,Rennes,Bretagne,Ille-et-Vilaine,FR,http://www.univ-rennes2.fr,,"Lieu de spectacle et de loisirs (théâtre, cinéma, conservatoire, centre culturel, MJC…)",,,,10,99,56571339,France (Métropole)
85717805,https://openagenda.com/nuitlecture-2022/events/spectacle-papoutsi-par-la-compagnie-les-rivages-du-vent,Spectacle Papoùtsi  par la Compagnie Les Rivages du Vent,"Un conte où s’entremêlent danse, marionnettes, musique et chant. Suivi d’un bal avec présentation des marionnettes et des instruments de musique",,,2021-11-24T10:29:38+00:00,"Samedi 22 janvier 2022, 17h00",2022-01-22T16:00:00+00:00,2022-01-22T17:30:00+00:00,2022-01-22T16:00:00+00:00,2022-01-22T17:30:00+00:00,"[{""begin"": ""2022-01-22T17:00:00+01:00"", ""end"": ""2022-01-22T18:30:00+01:00""}]",,28214745,"48.041681, -1.695609",Médiathèque Centre culturel Pôle Sud,1 rue de la Conterie 35131 Chartres-de-Bretagne,,35066,35131,Chartres-de-Bretagne,Bretagne,Ille-et-Vilaine,FR,https://chartres.c3rb.org/,https://fr-fr.facebook.com/mediathequechartresdebretagne/,Bibliothèque / Médiathèque;Première participation,"Le Centre Culturel Pôle Sud propose une salle de spectacle, une salle d'exposition et une médiathèque.",Bus et Parking à proximité,,5,99,1377046,France (Métropole)
3656814,https://openagenda.com/nuitlecture-2022/events/irina-dachta-1911517,Irina Dachta,"Une promenade drôle, insolite et poétique au milieu des livres",pass sanitaire demandé dès 12 ans et masque obligatoire,,2021-12-08T16:42:45+00:00,"Samedi 22 janvier 2022, 16h00",2022-01-22T15:00:00+00:00,2022-01-22T18:00:00+00:00,2022-01-22T15:00:00+00:00,2022-01-22T18:00:00+00:00,"[{""begin"": ""2022-01-22T16:00:00+01:00"", ""end"": ""2022-01-22T19:00:00+01:00""}]",,48246137,"48.126781, -1.662516",Bibliothèque Maurepas,32 rue de la Marbaudais 35000 Rennes,Maurepas - Patton,35238,35700,Rennes,Bretagne,Ille-et-Vilaine,FR,http://www.bibliotheque.rennes.fr,,Bibliothèque / Médiathèque,,,,,,1377046,France (Métropole)
27774295,https://openagenda.com/nuitlecture-2022/events/laveugle-a-la-voix-dor-par-le-duo-kalmedaz,"L’aveugle à la voix d’or, par le duo Kalmedaz",Conte musical tout public,,,2021-11-25T17:01:57+00:00,"Samedi 22 janvier 2022, 20h30",2022-01-22T19:30:00+00:00,2022-01-22T20:30:00+00:00,2022-01-22T19:30:00+00:00,2022-01-22T20:30:00+00:00,"[{""begin"": ""2022-01-22T20:30:00+01:00"", ""end"": ""2022-01-22T21:30:00+01:00""}]",,15765044,"48.1465, -1.773367",Médiathèque de Pacé,Chemin de la Métairie 35740 Pacé,,35210,35740,Pacé,Bretagne,Ille-et-Vilaine,FR,https://www.mediatheque-pace.fr/,https://www.facebook.com/mediathequepace,Bibliothèque / Médiathèque,,Parkings à proximité,,,,1377046,France (Métropole)
41978215,https://openagenda.com/nuitlecture-2022/events/lectures-embellir-le-monde,Lectures : Embellir le monde,Lectures par des étudiants et personnels de l'Université de Rennes 1,Gratuit / Réservation obligatoire / Passe sanitaire,,2021-12-08T12:01:15+00:00,"Vendredi 21 janvier 2022, 20h15",2022-01-21T19:15:00+00:00,2022-01-21T20:45:00+00:00,2022-01-21T19:15:00+00:00,2022-01-21T20:45:00+00:00,"[{""begin"": ""2022-01-21T20:15:00+01:00"", ""end"": ""2022-01-21T21:45:00+01:00""}]",,83281888,"48.118737, -1.702147",Bibliothèque Universitaire Villejean Santé - Université de Rennes 1,Campus Villejean - 13 avenuedu Professeur Léon Bernard 35000 Rennes,Villejean - Beauregard,35238,35043,Rennes,Bretagne,Ille-et-Vilaine,FR,https://bibliotheques.univ-rennes1.fr,,Bibliothèque universitaire,,Parking à proximité,,,,1377046,France (Métropole)
56782110,https://openagenda.com/nuitlecture-2022/events/a-laventure-compagnes-le-jeu-de-pistes,A l'aventure compagnes ! Le jeu de pistes,"A l’aventure, compagnes ! est un jeu de piste dans l’univers du médiéval fantastique qui met en avant les femmes dans cet univers (autrices, héroïnes).","Sur inscription, nombre limité de places disponibles",,2021-12-17T09:07:51+00:00,"Vendredi 21 janvier 2022, 19h00",2022-01-21T18:00:00+00:00,2022-01-21T22:30:00+00:00,2022-01-21T18:00:00+00:00,2022-01-21T22:30:00+00:00,"[{""begin"": ""2022-01-21T19:00:00+01:00"", ""end"": ""2022-01-21T23:30:00+01:00""}]",,43214728,"48.132634, -1.66924",Bibliothèque La Bellangerais,5 bis rue du Morbihan 35700 Rennes,Maurepas - Patton,35238,35700,Rennes,Bretagne,Ille-et-Vilaine,FR,http://www.bibliotheques.rennes.fr,,Bibliothèque / Médiathèque;Horaires étendus,Bibliothèque appartenant à un réseau de 11 bibliothèques de quartier.,Bus C5 arrêt Monts d'Arrée  ou  Bus 14 arrêt Monts d'Arrée,,11,99,1377046,France (Métropole)
84991095,https://openagenda.com/nuitlecture-2022/events/bar-a-histoires-3447954,Bar à histoires,Les Nuits de la lecture auront lieu à la médiathèque Le Tempo à Vezin Le Coquet le vendredi 28 Janvier de 16h à 21h.,,,2022-01-03T14:08:56+00:00,"Vendredi 21 janvier 2022, 18h00",2022-01-21T17:00:00+00:00,2022-01-21T20:00:00+00:00,2022-01-21T17:00:00+00:00,2022-01-21T20:00:00+00:00,"[{""begin"": ""2022-01-21T18:00:00+01:00"", ""end"": ""2022-01-21T21:00:00+01:00""}]",,62996410,"48.118145, -1.756502",Médiathèque Le Tempo,11 contour de l'église 35132 Vezin-le-Coquet,,35353,35132,Vezin-le-Coquet,Bretagne,Ille-et-Vilaine,FR,http://mediatheque-vezinlecoquet.fr,,Bibliothèque / Médiathèque,"La médiathèque Le Tempo est un 3ème lieu. On y propose l'accès à différentes collections pour les plus jeunes et les adultes, différents services dont du numérique et une série d'animations : concerts, conférences, expositions...","Parking gratuit, ligne de bus 53",,18,99,1377046,France (Métropole)
30705228,https://openagenda.com/nuitlecture-2022/events/la-folle-nuit,Annulé | La folle nuit,Et si vous dormiez à la Médiathèque ?,Apportez votre matériel de couchage et d’éclairage pour camper en mode bivouac. Un espace sera aménagé pour que les enfants puissent s’endormir avant minuit. Le petit déjeuner sera fourni à partir de 7h du matin.,,2022-01-12T13:42:51+00:00,"Dimanche 23 janvier 2022, 00h00",2022-01-22T23:00:00+00:00,2022-01-23T08:00:00+00:00,2022-01-22T23:00:00+00:00,2022-01-23T08:00:00+00:00,"[{""begin"": ""2022-01-23T00:00:00+01:00"", ""end"": ""2022-01-23T09:00:00+01:00""}]",,59533304,"48.11951, -1.604676",Médiathèque de Cesson-Sévigné,Parc de Bourgchevreuil 35510 Cesson-Sévigné,,35051,35510,Cesson-Sévigné,Bretagne,Ille-et-Vilaine,FR,https://www.mediatheque-cesson-sevigne.fr,https://www.facebook.com/M%C3%A9diath%C3%A8que-de-la-ville-de-Cesson-S%C3%A9vign%C3%A9-105126396285906/,Bibliothèque / Médiathèque;Horaires étendus;Ouverture exceptionnelle,"Située au cœur du parc Bourgchevreuil, la médiathèque est au rez-de-chaussée du centre culturel Pont des arts.
Elle est ouverte à tous et vous pouvez la fréquenter sans être inscrit.
Vous pouvez emprunter livres, revues, partitions, CD, DVD, et assister gratuitement aux animations pour tous les âges.","Parking, gare et bus C6 et 31 à proximité.",,,,1377046,France (Métropole)
4085863,https://openagenda.com/nuitlecture-2022/events/mytho-perso-7512525,Mytho Perso,Spectacle Mytho Perso avec Myriam Gautier de la Compagnie Les Becs Verseurs,,,2021-11-24T17:18:47+00:00,"Samedi 22 janvier 2022, 21h00",2022-01-22T20:00:00+00:00,2022-01-22T20:30:00+00:00,2022-01-22T20:00:00+00:00,2022-01-22T20:30:00+00:00,"[{""begin"": ""2022-01-22T21:00:00+01:00"", ""end"": ""2022-01-22T21:30:00+01:00""}]",,43027064,"48.076249, -1.839967",Centre culturel Guy David,85 avenue du Maréchal Leclerc 35310 Mordelles,,35196,35310,Mordelles,Bretagne,Ille-et-Vilaine,FR,https://mediatheque.ville-mordelles.fr/,,Bibliothèque / Médiathèque,Salle de Spectacle L'Antichambre,"transports à  proximité, présence de parkings",,8,99,1377046,France (Métropole)
