Identifiant,URL canonique,Titre,Description,Détail des conditions,Mots clés,Dernière mise à jour,Résumé horaires,Première date - Début,Première date - Fin,Dernière date - Début,Dernière date - Fin,Horaires détaillés,Accessibilité,Identifiant du lieu,Coordonnées géographiques,Nom du lieu,Adresse,Arrondissement,Code INSEE,Code postal,Ville,Région,Département,Pays,Site web du lieu,Liens du lieu,Tags du lieu,Description du lieu,Accès / Itinéraire,Lien d'accès en ligne,Age minimum,Age maximum,Agenda d'origine (uid),Nom du pays
64147232,https://openagenda.com/nuitlecture-2022/events/la-cie-3eme-acte-cree-un-spectacle-sur-mesure,La Cie 3ème Acte crée un spectacle sur mesure,"A chaque lecteur ses envies et ses petites manies... La Cie 3ème Acte saura surprendre et divertir le public par un spectacle sur mesure aux petits oignons... autour de la lecture, bien-sûr !",Dans le respect des conditions sanitaires,,2021-12-15T14:38:45+00:00,"Samedi 22 janvier 2022, 20h00",2022-01-22T19:00:00+00:00,2022-01-22T20:00:00+00:00,2022-01-22T19:00:00+00:00,2022-01-22T20:00:00+00:00,"[{""begin"": ""2022-01-22T20:00:00+01:00"", ""end"": ""2022-01-22T21:00:00+01:00""}]",,30380789,"48.134306, -1.537358",Médiathèque La Passerelle,22 avenue Abbé Barbedet 35690 Acigné,,35001,35690,Acigné,Bretagne,Ille-et-Vilaine,FR,http://www.mediatheque.ville-acigne.fr/,,Bibliothèque / Médiathèque;Horaires étendus,Médiathèque,"Parking extérieur. A proximité immédiate de l'arrêt de bus ""foyer"" (ligne 64). Accessible aux personnes à mobilité réduite.",,,,1377046,France (Métropole)
25500932,https://openagenda.com/nuitlecture-2022/events/escape-game-immersif,Escape Game immersif,"Le temps d'une soirée, la médiathèque se transfome en manoir hanté. Venez vous en échapper. Venez jouer en famille ou entre amis au jeu Amelia's secret!",Nombre limité de places disponibles.,,2022-01-15T14:34:34+00:00,"Samedi 22 janvier 2022, 20h45",2022-01-22T19:45:00+00:00,2022-01-22T21:00:00+00:00,2022-01-22T19:45:00+00:00,2022-01-22T21:00:00+00:00,"[{""begin"": ""2022-01-22T20:45:00+01:00"", ""end"": ""2022-01-22T22:00:00+01:00""}]",,26534363,"48.044383, -1.605707",Mediathèque Le Volume,3 rue François Rabelais 35770 Vern-sur-Seiche,,35352,35770,Vern-sur-Seiche,Bretagne,Ille-et-Vilaine,FR,https://mediatheque.vernsurseiche.fr/,https://fr-fr.facebook.com/levolume.vernsurseiche/,Bibliothèque / Médiathèque;Ouverture exceptionnelle;Première participation,"Le Volume – Centre culturel de Vern-sur-Seiche : une médiathèque, une école de musique et de danse (Le SUET), une salle d’exposition, des espaces de diffusion, de création, de rencontres…","Parking, bus, accessible PMR.",,11,99,1377046,France (Métropole)
42192952,https://openagenda.com/nuitlecture-2022/events/nocturne-a-la-mediatheque-1812488,Nocturne à la médiathèque,Une nocturne à la médiathèque entre jeux et contes pour tous,Spectacle Contes : 40 personnes,,2022-01-20T09:21:11+00:00,"Vendredi 21 janvier 2022, 21h00",2022-01-21T20:00:00+00:00,2022-01-21T20:45:00+00:00,2022-01-21T20:00:00+00:00,2022-01-21T20:45:00+00:00,"[{""begin"": ""2022-01-21T21:00:00+01:00"", ""end"": ""2022-01-21T21:45:00+01:00""}]",handicap moteur,43031120,"47.9953, -1.668678",Médiathèque d'Orgères,5 place de l'Église 35230 Orgères,,35208,35230,Orgères,Bretagne,Ille-et-Vilaine,FR,https://www.orgeres.fr/,https://www.facebook.com/orgeres/,Bibliothèque / Médiathèque;Première participation,Médiathèque d'Orgères,"Parking, Bus",,,,1377046,France (Métropole)
76227288,https://openagenda.com/nuitlecture-2022/events/lectures-en-balade,Lectures en balade,Voyage-lecture de contes japonais autour de l'exposition de Valérian Henry,,,2021-12-01T08:38:25+00:00,"Samedi 22 janvier 2022, 17h00",2022-01-22T16:00:00+00:00,2022-01-22T17:30:00+00:00,2022-01-22T16:00:00+00:00,2022-01-22T17:30:00+00:00,"[{""begin"": ""2022-01-22T17:00:00+01:00"", ""end"": ""2022-01-22T18:30:00+01:00""}]",,26534363,"48.044383, -1.605707",Mediathèque Le Volume,3 rue François Rabelais 35770 Vern-sur-Seiche,,35352,35770,Vern-sur-Seiche,Bretagne,Ille-et-Vilaine,FR,https://mediatheque.vernsurseiche.fr/,https://fr-fr.facebook.com/levolume.vernsurseiche/,Bibliothèque / Médiathèque;Ouverture exceptionnelle;Première participation,"Le Volume – Centre culturel de Vern-sur-Seiche : une médiathèque, une école de musique et de danse (Le SUET), une salle d’exposition, des espaces de diffusion, de création, de rencontres…","Parking, bus, accessible PMR.",,4,10,1377046,France (Métropole)
62464223,https://openagenda.com/nuitlecture-2022/events/chaudron-dorties-par-marie-chiffmine,Chaudron d'orties par Marie Chiff'mine,"Marie Chiff'mine a des mots, des contes et des chansons pour chaque légume !",Passe sanitaire demandé dès 12 ans et masque obligatoire.,,2021-12-08T15:38:16+00:00,"Vendredi 21 janvier 2022, 19h30",2022-01-21T18:30:00+00:00,2022-01-21T19:30:00+00:00,2022-01-21T18:30:00+00:00,2022-01-21T19:30:00+00:00,"[{""begin"": ""2022-01-21T19:30:00+01:00"", ""end"": ""2022-01-21T20:30:00+01:00""}]",,28259136,"48.099527, -1.648837",Bibliothèque Landry,100 rue de Châteaugiron 35000 Rennes,Francisco-Ferrer - Vern - Poterie,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,http://www.bibliotheques.rennes.fr,,Bibliothèque / Médiathèque;Horaires étendus,,,,,,1377046,France (Métropole)
85059357,https://openagenda.com/nuitlecture-2022/events/lecteurs-en-herbe,Lecteurs en herbe,"Des élèves des écoles primaires liront des textes à haute voix. Seuls ou à plusieurs, ils auront préparé leurs interventions.",Dans le respect des conditions sanitaires,,2021-12-16T09:03:27+00:00,"Samedi 22 janvier 2022, 18h00",2022-01-22T17:00:00+00:00,2022-01-22T19:00:00+00:00,2022-01-22T17:00:00+00:00,2022-01-22T19:00:00+00:00,"[{""begin"": ""2022-01-22T18:00:00+01:00"", ""end"": ""2022-01-22T20:00:00+01:00""}]",,30380789,"48.134306, -1.537358",Médiathèque La Passerelle,22 avenue Abbé Barbedet 35690 Acigné,,35001,35690,Acigné,Bretagne,Ille-et-Vilaine,FR,http://www.mediatheque.ville-acigne.fr/,,Bibliothèque / Médiathèque;Horaires étendus,Médiathèque,"Parking extérieur. A proximité immédiate de l'arrêt de bus ""foyer"" (ligne 64). Accessible aux personnes à mobilité réduite.",,,,1377046,France (Métropole)
25219881,https://openagenda.com/nuitlecture-2022/events/courts-metrages-2-5-ans-sur-lamitie-et-lamour,Courts métrages (2-5 ans) sur l'amitié et l'amour,Les Nuits de la lecture auront lieu à la médiathèque Le Tempo à Vezin Le Coquet le vendredi 28 Janvier de 16h à 21h.,,,2022-01-03T14:09:17+00:00,"Vendredi 21 janvier 2022, 16h00",2022-01-21T15:00:00+00:00,2022-01-21T17:00:00+00:00,2022-01-21T15:00:00+00:00,2022-01-21T17:00:00+00:00,"[{""begin"": ""2022-01-21T16:00:00+01:00"", ""end"": ""2022-01-21T18:00:00+01:00""}]",,62996410,"48.118145, -1.756502",Médiathèque Le Tempo,11 contour de l'église 35132 Vezin-le-Coquet,,35353,35132,Vezin-le-Coquet,Bretagne,Ille-et-Vilaine,FR,http://mediatheque-vezinlecoquet.fr,,Bibliothèque / Médiathèque,"La médiathèque Le Tempo est un 3ème lieu. On y propose l'accès à différentes collections pour les plus jeunes et les adultes, différents services dont du numérique et une série d'animations : concerts, conférences, expositions...","Parking gratuit, ligne de bus 53",,2,5,1377046,France (Métropole)
4948413,https://openagenda.com/nuitlecture-2022/events/rencontre-dedicace-7367646,Rencontre dédicace avec Fabienne Juhel et Clara Arnaud,Pour découvrir l'univers de deux autrices,,,2021-12-06T08:47:28+00:00,"Samedi 22 janvier 2022, 15h00",2022-01-22T14:00:00+00:00,2022-01-22T16:00:00+00:00,2022-01-22T14:00:00+00:00,2022-01-22T16:00:00+00:00,"[{""begin"": ""2022-01-22T15:00:00+01:00"", ""end"": ""2022-01-22T17:00:00+01:00""}]",,59533304,"48.11951, -1.604676",Médiathèque de Cesson-Sévigné,Parc de Bourgchevreuil 35510 Cesson-Sévigné,,35051,35510,Cesson-Sévigné,Bretagne,Ille-et-Vilaine,FR,https://www.mediatheque-cesson-sevigne.fr,https://www.facebook.com/M%C3%A9diath%C3%A8que-de-la-ville-de-Cesson-S%C3%A9vign%C3%A9-105126396285906/,Bibliothèque / Médiathèque;Horaires étendus;Ouverture exceptionnelle,"Située au cœur du parc Bourgchevreuil, la médiathèque est au rez-de-chaussée du centre culturel Pont des arts.
Elle est ouverte à tous et vous pouvez la fréquenter sans être inscrit.
Vous pouvez emprunter livres, revues, partitions, CD, DVD, et assister gratuitement aux animations pour tous les âges.","Parking, gare et bus C6 et 31 à proximité.",,,,1377046,France (Métropole)
51207645,https://openagenda.com/nuitlecture-2022/events/des-jeux-au-menu,Des jeux au menu,"Temps d'animations et de découverte de jeux de société sur le thème de la gourmandise, par l'association Fun en Bulles.",Passe sanitaire demandé dès 12 ans et masque obligatoire.,,2021-12-08T15:38:15+00:00,"Vendredi 21 janvier 2022, 19h30",2022-01-21T18:30:00+00:00,2022-01-21T21:30:00+00:00,2022-01-21T18:30:00+00:00,2022-01-21T21:30:00+00:00,"[{""begin"": ""2022-01-21T19:30:00+01:00"", ""end"": ""2022-01-21T22:30:00+01:00""}]",,28259136,"48.099527, -1.648837",Bibliothèque Landry,100 rue de Châteaugiron 35000 Rennes,Francisco-Ferrer - Vern - Poterie,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,http://www.bibliotheques.rennes.fr,,Bibliothèque / Médiathèque;Horaires étendus,,,,8,99,1377046,France (Métropole)
18189314,https://openagenda.com/nuitlecture-2022/events/fil-rouge,Fil rouge,Les Nuits de la lecture auront lieu à la médiathèque Le Tempo à Vezin Le Coquet le vendredi 28 Janvier de 16h à 21h.,,,2022-01-03T13:40:13+00:00,"Vendredi 21 janvier 2022, 16h00",2022-01-21T15:00:00+00:00,2022-01-21T20:00:00+00:00,2022-01-21T15:00:00+00:00,2022-01-21T20:00:00+00:00,"[{""begin"": ""2022-01-21T16:00:00+01:00"", ""end"": ""2022-01-21T21:00:00+01:00""}]",,62996410,"48.118145, -1.756502",Médiathèque Le Tempo,11 contour de l'église 35132 Vezin-le-Coquet,,35353,35132,Vezin-le-Coquet,Bretagne,Ille-et-Vilaine,FR,http://mediatheque-vezinlecoquet.fr,,Bibliothèque / Médiathèque,"La médiathèque Le Tempo est un 3ème lieu. On y propose l'accès à différentes collections pour les plus jeunes et les adultes, différents services dont du numérique et une série d'animations : concerts, conférences, expositions...","Parking gratuit, ligne de bus 53",,6,99,1377046,France (Métropole)
