date_mesure,geocode_commune,libelle_commune,type_installation,vecteur,valeur
2009-01-01,35001,Acigné,Photovoltaïque,Solaire,0.62788
2009-01-01,35024,Betton,Photovoltaïque,Solaire,0.16332999999999998
2009-01-01,35032,Bourgbarré,Photovoltaïque,Solaire,0.20391
2009-01-01,35039,Brécé,Photovoltaïque,Solaire,0.08325
2009-01-01,35047,Bruz,Photovoltaïque,Solaire,0.76645
2009-01-01,35051,Cesson-Sévigné,Photovoltaïque,Solaire,0.6410399999999999
2009-01-01,35055,Chantepie,Photovoltaïque,Solaire,0.18680000000000002
2009-01-01,35059,La Chapelle-des-Fougeretz,Photovoltaïque,Solaire,0.20725
2009-01-01,35065,La Chapelle-Thouarault,Photovoltaïque,Solaire,0.18522999999999998
2009-01-01,35066,Chartres-de-Bretagne,Photovoltaïque,Solaire,0.22862000000000002
2009-01-01,35076,Chavagne,Photovoltaïque,Solaire,0.26947000000000004
2009-01-01,35079,Chevaigné,Photovoltaïque,Solaire,0.12059
2009-01-01,35088,Corps-Nuds,Photovoltaïque,Solaire,0.25897000000000003
2009-01-01,35120,Gévezé,Photovoltaïque,Solaire,0.31443
2009-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2009-01-01,35131,L'Hermitage,Photovoltaïque,Solaire,0.13596
2009-01-01,35135,Irodouër,Photovoltaïque,Solaire,0.38038
2009-01-01,35136,Janzé,Photovoltaïque,Solaire,0.80908
2009-01-01,35139,Laillé,Photovoltaïque,Solaire,0.42677
2009-01-01,35144,Langan,Photovoltaïque,Solaire,0.08552
2009-01-01,35150,Lécousse,Photovoltaïque,Solaire,0.12491
2009-01-01,35189,Montgermont,Photovoltaïque,Solaire,0.15678
2009-01-01,35196,Mordelles,Photovoltaïque,Solaire,0.49457000000000007
2009-01-01,35200,Moutiers,Photovoltaïque,Solaire,0.16072
2009-01-01,35204,Nouvoitou,Photovoltaïque,Solaire,0.04466
2009-01-01,35206,Noyal-Châtillon-sur-Seiche,Photovoltaïque,Solaire,0.6355299999999999
2009-01-01,35208,Orgères,Photovoltaïque,Solaire,0.29097
2009-01-01,35210,Pacé,Photovoltaïque,Solaire,0.6313099999999999
2009-01-01,35235,Rannée,Photovoltaïque,Solaire,0.16844
2009-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2009-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2009-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2009-01-01,35238,Rennes,Photovoltaïque,Solaire,1.81125
2009-01-01,35240,Le Rheu,Photovoltaïque,Solaire,0.43448999999999993
