date_mesure,geocode_epci,libelle_epci,type_installation,vecteur,valeur
2013-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2013-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2013-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,23.033250000000006
2014-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2014-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2014-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2014-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2014-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2014-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2014-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,21.424
2014-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,23.48025
2015-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2015-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2015-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2015-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2015-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2015-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2015-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,21.424
2015-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,23.845450000000003
2016-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2016-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2016-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2016-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2016-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2016-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2016-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
2016-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,24.43006
2017-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2017-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2017-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2017-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2017-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2017-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2017-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
2017-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,24.513060000000003
2018-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2018-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2018-01-01,243500139,Rennes Métropole,Cogénération à combustion,Bioénergies,0.16
2018-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2018-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2018-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2018-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2018-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
2018-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,25.193060000000003
2018-01-01,243500139,Rennes Métropole,Turbine à combustion,Thermique non renouvelable,4.95
2019-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2019-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2019-01-01,243500139,Rennes Métropole,Cogénération à combustion,Bioénergies,0.16
2019-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2019-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2019-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2019-01-01,243500139,Rennes Métropole,Moteur à piston,Thermique non renouvelable,4.2
2019-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2019-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
2019-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,26.189059999999998
2019-01-01,243500139,Rennes Métropole,Turbine à combustion,Thermique non renouvelable,4.95
2020-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2020-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2020-01-01,243500139,Rennes Métropole,Batterie,Stockage non hydraulique,1.572
2020-01-01,243500139,Rennes Métropole,Cogénération à combustion,Bioénergies,0.16
2020-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2020-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2020-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2020-01-01,243500139,Rennes Métropole,Moteur à piston,Thermique non renouvelable,4.2
2020-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2020-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
2020-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,27.35166
2020-01-01,243500139,Rennes Métropole,Turbine à combustion,Thermique non renouvelable,4.95
2021-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2021-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2021-01-01,243500139,Rennes Métropole,Batterie,Stockage non hydraulique,2.822
2021-01-01,243500139,Rennes Métropole,Cogénération à combustion,Bioénergies,0.16
2021-01-01,243500139,Rennes Métropole,Cogénération à combustion,Thermique non renouvelable,0.25
2021-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2021-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2021-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2021-01-01,243500139,Rennes Métropole,Moteur à piston,Thermique non renouvelable,4.2
2021-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2021-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
2021-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,41.112260000000006
2021-01-01,243500139,Rennes Métropole,Turbine à combustion,Thermique non renouvelable,4.95
2022-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2022-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2022-01-01,243500139,Rennes Métropole,Batterie,Stockage non hydraulique,2.822
2022-01-01,243500139,Rennes Métropole,Cogénération à combustion,Bioénergies,0.16
2022-01-01,243500139,Rennes Métropole,Cogénération à combustion,Thermique non renouvelable,1.249
2022-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2022-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2022-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2022-01-01,243500139,Rennes Métropole,Moteur à piston,Thermique non renouvelable,4.2
2022-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2022-01-01,243500139,Rennes Métropole,Non renseigné,Solaire,0.09487000000000001
2022-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
2022-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,43.84843
2022-01-01,243500139,Rennes Métropole,Turbine à combustion,Thermique non renouvelable,4.95
2023-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2023-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2023-01-01,243500139,Rennes Métropole,Batterie,Stockage non hydraulique,2.822
2023-01-01,243500139,Rennes Métropole,Cogénération à combustion,Bioénergies,0.16
2023-01-01,243500139,Rennes Métropole,Cogénération à combustion,Thermique non renouvelable,1.249
2023-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2023-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2023-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2023-01-01,243500139,Rennes Métropole,Moteur à piston,Thermique non renouvelable,4.2
2023-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2023-01-01,243500139,Rennes Métropole,Non renseigné,Solaire,0.09487000000000001
2023-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
