Commune,Code Insee,url,Catégorie,Population,Site,https,Serveur,Version du serveur,Application,Version de l'application,Langage,Version du langage,Latitude,Longitude
Pont-Péan,35363,http://www.pontpean.fr,Pas à jour,3697,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,48.010937459455398,-1.696401969312120
Rannée,35235,http://www.rannee.com,Pas à jour,1156,oui,non,Apache,Inconnue,WordPress,3.4.2,php,5.4.37,47.900348588000902,-1.226895347074520
Rennes ,35238,http://www.metropole.rennes.fr,Niveau de sécurité incertain,207178,oui,non,Apache,Inconnue,TYPO3,4.5,php,Inconnue,48.111673018544799,-1.681846356254090
Romillé,35245,http://www.romille.fr,Pas à jour,3632,oui,non,Apache,2.2,SPIP,2.1.26,php,5.2.13,48.222461843877902,-1.878691780872500
Saint-Armel,35250,http://www.saint-armel-35.fr,Pas à jour,1830,oui,non,Apache,Inconnue,Joomla,1.5,php,5.4.32,48.013332644829198,-1.580602930445000
Saint-Erblon,35266,http://www.saint-erblon.fr,Niveau de sécurité incertain,2482,oui,non,IIS,7.5,Inconnue,Inconnue,asp.net,Inconnue,48.018926541694903,-1.642527470592430
Saint-Gilles,35275,http://www.saint-gilles35.fr,Niveau de sécurité incertain,3783,oui,non,IIS,7.5,Inconnue,Inconnue,asp.net,Inconnue,48.152346253635997,-1.853742266373870
Saint-Grégoire,35278,http://www.saint-gregoire.fr,Niveau de sécurité incertain,8549,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.3,48.158478935815900,-1.685363625172780
Saint-Jacques-de-la-Lande,35281,http://www.ville-st-jacques-de-la-lande.fr,Informations masquées (vulnérabilités pas exposées),10497,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.076128086252801,-1.722563098999180
Saint-Sulpice-la-Forêt,35315,http://www.saint-sulpice-la-foret.fr,À jour,1423,oui,non,Apache,Inconnue,Joomla,Inconnue,php,5.4.37,48.212391630463699,-1.575936163325370
Thorigné-Fouillard,35334,http://www.thorigne-fouillard.fr,Pas à jour,7140,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.3.27,48.156601749575799,-1.584440913232080
Vern-sur-Seiche ,35352,http://www.ville-vern-sur-seiche.fr,Informations masquées (vulnérabilités pas exposées),8146,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.052843026599199,-1.605171339187700
Vezin-le-Coquet ,35353,http://www.vezinlecoquet.fr,À jour,4382,oui,non,Apache,Inconnue,SPIP,3.0.17,php,5.3.3,48.117645975985504,-1.749234062952870
