Code INSEE commune,commune,Code INSEE département,Département,Code INSEE région,Région,Type peuplement,Essence,Développement,Diamètre moyen,Surface travaux/longueur travaux,Année coupe,Hiérarchie géographique,Géo-point commune,COMMUNE_PRINCIPALE,Méthode de coupe,Nombre d'unités,Hmax CCG-LA,Courbes hauteurs (Désignation),Courbes hauteurs (Essence),Mise en oeuvre manuel (% manuel),Travaux tiers
35051,Cesson-Sévigné,35,,,,Arbre isolé,Épicéa,Fantôme,15 - 30,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,AUCUNE,1,11.0,C,Épicéa,,Non
35047,Bruz,35,,,,Taillis,"Chêne commun,Bouleau,Saule (blanc, argenté, vivier, Osier blanc)",Actif,< 15,0,2030,,"48.0261755313, -1.74817480915",Bruz,DÉBROUSSAILLAGE,,8.0,E,"Saule (blanc, argenté, vivier, Osier blanc)",0,Non
35051,Cesson-Sévigné,35,,,,Taillis,"Merisier,Orme",Actif,< 15,0,2099,,"48.1202268032, -1.59714447272",Cesson-Sévigné,DÉBROUSSAILLAGE,16,9.0,C,Merisier,0,Non
35051,Cesson-Sévigné,35,,,,Haie,Cyprès,Actif,< 15,0,2027,,"48.1202268032, -1.59714447272",Cesson-Sévigné,TAILLE,,4.0,C,Cyprès,100,Non
35278,Saint-Grégoire,35,,,,Taillis,Chêne commun,Actif,,0,2028,,"48.1588840471, -1.68571943452",Saint-Grégoire,DÉBROUSSAILLAGE,,11.7,C,Chêne commun,100,Non
35047,Bruz,35,,,,Arbre isolé,Chêne commun,Actif,> 30,0,2030,,"48.0261755313, -1.74817480915",Bruz,ELAGAGE,1,7.5,D,Chêne commun,100,Non
35047,Bruz,35,,,,Lisière,,Actif,> 30,0,2027,,"48.0261755313, -1.74817480915",Bruz,ELAGAGE,10,0.0,,Chêne commun,100,Non
35047,Bruz,35,,,,Taillis,"Chêne commun,Merisier,Sureau",Actif,15 - 30,0,2030,,"48.0261755313, -1.74817480915",Bruz,DÉBROUSSAILLAGE,,6.5,C,Merisier,100,Non
35051,Cesson-Sévigné,35,,,,Haie,"Chêne commun,Ronces",Neutre,< 15,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,TAILLE,,13.5,E,Chêne commun,0,Oui
35047,Bruz,35,,,,Arbre isolé,Érable plane (Plane),Actif,> 30,0,2027,,"48.0261755313, -1.74817480915",Bruz,ECIMAGE,1,12.5,C,Érable plane (Plane),100,Non
35047,Bruz,35,,,,Arbre isolé,Chêne commun,Actif,> 30,0,2027,,"48.0261755313, -1.74817480915",Bruz,ELAGAGE,1,7.0,D,Chêne commun,100,Non
35047,Bruz,35,,,,Arbre isolé,Merisier,Actif,15 - 30,0,2099,,"48.0261755313, -1.74817480915",Bruz,ELAGAGE,1,5.0,C,Merisier,100,Non
35081,Clayes,35,,,,Arbre isolé,Chêne commun,Actif,15 - 30,0,2026,,"48.1786926288, -1.8539725616",Clayes,ABATTAGE,,5.9,D,Chêne commun,100,Non
35353,Vezin-le-Coquet,35,,,,Taillis,Peuplier,Neutre,< 15,0,,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,AUCUNE,,16.0,B,Peuplier,0,Non
35240,Le Rheu,35,,,,Haie,"Merisier,Laurier",Neutre,< 15,0,,,"48.097397419, -1.78149989185",Le Rheu,TAILLE,,18.5,C,Merisier,0,Non
35150,Lécousse,35,,,,Haie,"Châtaignier,Noisetier (Coudrier, pourpre, tortueux)",Actif,< 15,0,2030,,"48.3600018318, -1.22059471096",Lécousse,TAILLE,,15.1,B,Châtaignier,100,Non
35150,Lécousse,35,,,,Futaie,"Châtaignier,Chêne commun",Actif,15 - 30,0,2099,,"48.3600018318, -1.22059471096",Lécousse,ABATTAGE,2,4.8,D,Chêne commun,100,Non
35240,Le Rheu,35,,,,Futaie,Chêne commun,Actif,> 30,0,2033,,"48.097397419, -1.78149989185",Le Rheu,ABATTAGE,6,13.0,D,Chêne commun,100,Non
35150,Lécousse,35,,,,Haie,"Forsythia,Cornouiller (mâle ou sauvage),Arbre aux papillons (Buddleia de David)",Neutre,< 15,0,,,"48.3600018318, -1.22059471096",Lécousse,AUCUNE,,7.1,A,Forsythia,0,Non
35150,Lécousse,35,,,,Arbre isolé,Cerisier,Actif,15 - 30,0,2099,,"48.3600018318, -1.22059471096",Lécousse,ECIMAGE,,10.1,B,Cerisier,100,Non
35352,Vern-sur-Seiche,35,,,,Taillis,"Châtaignier,Chêne commun",Neutre,< 15,0,,,"48.0525245014, -1.60521106164",Vern-sur-Seiche,DÉBROUSSAILLAGE,,10.5,C,Châtaignier,0,Non
35001,Acigné,35,,,,Futaie,"Figuier,Pêcher",Neutre,15 - 30,0,,,"48.1464008617, -1.51879762112",Acigné,ABATTAGE,2,8.5,A,Pêcher,100,Non
35047,Bruz,35,,,,Arbre isolé,Cerisier,Actif,15 - 30,0,2039,,"48.0261755313, -1.74817480915",Bruz,ELAGAGE,1,11.0,B,Cerisier,100,Non
35047,Bruz,35,,,,Taillis,"Noisetier (Coudrier, pourpre, tortueux),Laurier,Cerisier",Actif,< 15,0,2039,,"48.0261755313, -1.74817480915",Bruz,DÉBROUSSAILLAGE,,13.5,B,Cerisier,0,Non
35047,Bruz,35,,,,Haie,"Noisetier (Coudrier, pourpre, tortueux)",Actif,< 15,0,2027,,"48.0261755313, -1.74817480915",Bruz,TAILLE,,8.0,B,"Noisetier (Coudrier, pourpre, tortueux)",0,Oui
35001,Acigné,35,,,,Lisière,,Actif,> 30,0,2031,,"48.1464008617, -1.51879762112",Acigné,ELAGAGE,2,0.0,,Chêne commun,100,Non
35001,Acigné,35,,,,Taillis,"Frêne,Saule marsault (des chèvres),Prunellier commun (Épine noire)",Actif,< 15,0,2025,,"48.1464008617, -1.51879762112",Acigné,DÉBROUSSAILLAGE,,5.0,C,Frêne,100,Non
35001,Acigné,35,,,,Futaie,Frêne,Actif,> 30,0,2099,,"48.1464008617, -1.51879762112",Acigné,ABATTAGE,2,10.5,C,Frêne,100,Non
35001,Acigné,35,,,,Taillis,"Saule marsault (des chèvres),Aulne,Prunellier commun (Épine noire)",Actif,,0,2028,,"48.1464008617, -1.51879762112",Acigné,DÉBROUSSAILLAGE,,10.5,B,Saule marsault (des chèvres),100,Non
35001,Acigné,35,,,,Haie,Peuplier,Actif,< 15,0,2028,,"48.1464008617, -1.51879762112",Acigné,TAILLE,13,4.0,B,Peuplier,100,Non
35001,Acigné,35,,,,Futaie,Érable champêtre,Actif,15 - 30,0,2025,,"48.1464008617, -1.51879762112",Acigné,ABATTAGE,3,7.0,A,Érable champêtre,0,Non
35001,Acigné,35,,,,Haie,Châtaignier,Actif,< 15,0,2025,,"48.1464008617, -1.51879762112",Acigné,TAILLE,,8.0,C,Châtaignier,100,Non
35047,Bruz,35,,,,Lisière,Chêne commun,Actif,> 30,0,2030,,"48.0261755313, -1.74817480915",Bruz,ELAGAGE,4,0.0,,Chêne commun,100,Non
35238,Rennes,35,,,,Futaie,Palmier,Neutre,15 - 30,0,,,"48.1119791219, -1.68186449144",Rennes,ABATTAGE,3,19.3,A,Palmier,100,Non
35047,Bruz,35,,,,Arbre isolé,Prunier,Neutre,15 - 30,0,,,"48.0261755313, -1.74817480915",Bruz,ABATTAGE,1,9.0,C,Prunier,100,Non
35238,Rennes,35,,,,Arbre isolé,Bouleau,Actif,> 30,0,2026,,"48.1119791219, -1.68186449144",Rennes,ECIMAGE,1,12.8,B,Bouleau,100,Non
35001,Acigné,35,,,,Haie,"Aulne,Noisetier (Coudrier, pourpre, tortueux),Érable sycomore,Saule marsault (des chèvres)",Actif,< 15,0,2025,,"48.1464008617, -1.51879762112",Acigné,TAILLE,,9.5,B,Aulne,100,Non
35210,Pacé,35,,,,Haie,"Saule (blanc, argenté, vivier, Osier blanc)",Actif,< 15,0,2025,,"48.152548244, -1.77716643787",Pacé,TAILLE,,4.5,D,"Saule (blanc, argenté, vivier, Osier blanc)",100,Non
35238,Rennes,35,,,,Futaie,"Sureau,Orme",Actif,15 - 30,0,2099,,"48.1119791219, -1.68186449144",Rennes,ABATTAGE,8,8.0,C,Orme,100,Non
35238,Rennes,35,,,,Futaie,"If,Pin noir (d'Autriche),Cyprès",Neutre,15 - 30,0,,,"48.1119791219, -1.68186449144",Rennes,AUCUNE,7,12.5,A,Pin noir (d'Autriche),,Non
35001,Acigné,35,,,,Lisière,,Actif,15 - 30,0,2025,,"48.1464008617, -1.51879762112",Acigné,ELAGAGE,7,0.0,,Frêne,100,Non
35240,Le Rheu,35,,,,Taillis,"Saule (blanc, argenté, vivier, Osier blanc),Ronces,Prunellier commun (Épine noire)",Actif,< 15,0,2099,,"48.097397419, -1.78149989185",Le Rheu,DÉBROUSSAILLAGE,,8.5,E,"Saule (blanc, argenté, vivier, Osier blanc)",100,Non
35240,Le Rheu,35,,,,Taillis,"Prunellier commun (Épine noire),Ronces,Saule (blanc, argenté, vivier, Osier blanc)",Actif,< 15,0,2099,,"48.097397419, -1.78149989185",Le Rheu,DÉBROUSSAILLAGE,,8.5,E,"Saule (blanc, argenté, vivier, Osier blanc)",100,Non
35235,Rannée,35,,,,Futaie,Châtaignier,Actif,15 - 30,0,2099,,"47.9006592126, -1.22652975633",Rannée,ABATTAGE,4,11.0,B,Châtaignier,100,Non
35150,Lécousse,35,,,,Haie,Châtaignier,Actif,< 15,0,2024,,"48.3600018318, -1.22059471096",Lécousse,TAILLE,,7.1,B,Châtaignier,100,Non
35150,Lécousse,35,,,,Taillis,"Ronces,Fougère",Neutre,> 30,0,,,"48.3600018318, -1.22059471096",Lécousse,AUCUNE,,17.0,A,Fougère,0,Non
35353,Vezin-le-Coquet,35,,,,Haie,"Saule (blanc, argenté, vivier, Osier blanc),Noisetier (Coudrier, pourpre, tortueux)",Neutre,< 15,0,,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,TAILLE,,5.0,F,"Saule (blanc, argenté, vivier, Osier blanc)",0,Non
35353,Vezin-le-Coquet,35,,,,Taillis,"Érable plane (Plane),Chêne commun,Laurier",Actif,< 15,0,2099,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,DÉBROUSSAILLAGE,,4.5,B,Érable plane (Plane),0,Non
35353,Vezin-le-Coquet,35,,,,Arbre isolé,Cerisier,Actif,15 - 30,0,2027,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ECIMAGE,1,9.5,C,Cerisier,100,Non
35353,Vezin-le-Coquet,35,,,,Futaie,"Chêne commun,Charme commun (Charmille)",Actif,15 - 30,0,2099,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ABATTAGE,17,11.0,C,Chêne commun,100,Non
35051,Cesson-Sévigné,35,,,,Haie,Charme commun (Charmille),Neutre,15 - 30,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,AUCUNE,,8.5,C,Charme commun (Charmille),0,Non
35245,Romillé,35,,,,Futaie,Chêne commun,Actif,> 30,0,2028,,"48.2223488257, -1.87904298142",Romillé,ECIMAGE,4,11.0,C,Chêne commun,100,Non
35245,Romillé,35,,,,Isolé Pied de pylône,,Actif,,150,2025,,"48.2223488257, -1.87904298142",Romillé,DÉBROUSSAILLAGE,,-7.5,,,100,Non
35245,Romillé,35,,,,Arbre isolé,Laurier sauce,Neutre,15 - 30,0,,,"48.2223488257, -1.87904298142",Romillé,AUCUNE,,11.1,A,Laurier sauce,,Non
35135,Irodouër,35,,,,Arbre isolé,Noyer,Actif,15 - 30,0,2031,,"48.246152189, -1.95021443067",Irodouër,ECIMAGE,,13.2,A,Noyer,100,Non
35238,Rennes,35,,,,Isolé Pied de pylône,,Neutre,< 15,60,,,"48.1119791219, -1.68186449144",Rennes,DÉBROUSSAILLAGE,,-4.5,,,100,Non
35238,Rennes,35,,,,Futaie,"If,Cyprès,Pin noir (d'Autriche)",Neutre,15 - 30,0,,,"48.1119791219, -1.68186449144",Rennes,ABATTAGE,13,10.0,A,Pin noir (d'Autriche),100,Non
35353,Vezin-le-Coquet,35,,,,Arbre isolé,Prunus,Actif,15 - 30,0,2027,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ECIMAGE,1,7.5,C,Prunus,100,Non
35051,Cesson-Sévigné,35,,,,Haie,Saule marsault (des chèvres),Actif,< 15,0,2032,,"48.1202268032, -1.59714447272",Cesson-Sévigné,TAILLE,,8.9,B,Saule marsault (des chèvres),0,Non
35135,Irodouër,35,,,,Futaie,"Chêne commun,Saule marsault (des chèvres)",Actif,> 30,0,2099,,"48.246152189, -1.95021443067",Irodouër,ABATTAGE,9,11.3,D,Chêne commun,100,Non
35135,Irodouër,35,,,,Futaie,"Aulne,Saule marsault (des chèvres)",Actif,15 - 30,0,2099,,"48.246152189, -1.95021443067",Irodouër,ABATTAGE,14,12.8,B,Aulne,100,Non
35120,Gévezé,35,,,,Taillis,"Sureau,Bouleau,Châtaignier",Actif,< 15,0,2099,,"48.2133254705, -1.79930703575",Gévezé,DÉBROUSSAILLAGE,,16.5,B,Châtaignier,0,Non
35024,Betton,35,,,,Futaie,Peuplier,Actif,15 - 30,0,2028,,"48.1812360423, -1.64589552684",Betton,ECIMAGE,4,20.6,A,Peuplier,100,Non
35051,Cesson-Sévigné,35,,,,Haie,"Prunellier commun (Épine noire),Chêne commun,Saule marsault (des chèvres)",Neutre,< 15,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,TAILLE,,18.5,D,Chêne commun,0,Non
35051,Cesson-Sévigné,35,,,,Haie,"Châtaignier,Saule marsault (des chèvres)",Actif,< 15,0,2027,,"48.1202268032, -1.59714447272",Cesson-Sévigné,TAILLE,,1.0,B,Châtaignier,100,Non
35353,Vezin-le-Coquet,35,,,,Lisière,"Hêtre commun (pourpre, pleureur),Chêne commun,Châtaignier",Actif,15 - 30,0,2028,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ELAGAGE EN RIDEAU,,0.0,B,Châtaignier,0,Non
35353,Vezin-le-Coquet,35,,,,Futaie,"Thuya,Cèdre (de l'Atlas, bleu ou pleureur)",Actif,15 - 30,0,2099,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ABATTAGE,3,11.5,A,"Cèdre (de l'Atlas, bleu ou pleureur)",100,Non
35353,Vezin-le-Coquet,35,,,,Futaie,Feuillus inconnu,Neutre,15 - 30,0,,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ABATTAGE,2,11.0,GÉNÉRIQUE,Feuillus inconnu,100,Oui
35210,Pacé,35,,,,Haie,"Chêne commun,Châtaignier",Actif,< 15,0,2032,,"48.152548244, -1.77716643787",Pacé,TAILLE,,13.0,B,Châtaignier,100,Non
35353,Vezin-le-Coquet,35,,,,Arbre isolé,Chêne commun,Actif,> 30,0,2034,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ABATTAGE,1,13.0,D,Chêne commun,100,Non
35051,Cesson-Sévigné,35,,,,Futaie,"Pommier,Poirier",Neutre,15 - 30,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,ABATTAGE,6,14.0,C,Pommier,100,Non
35051,Cesson-Sévigné,35,,,,Haie,Charme commun (Charmille),Neutre,< 15,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,AUCUNE,,17.5,C,Charme commun (Charmille),0,Non
35051,Cesson-Sévigné,35,,,,Arbre isolé,Chêne commun,Actif,> 30,0,2031,,"48.1202268032, -1.59714447272",Cesson-Sévigné,ABATTAGE,,6.5,C,Chêne commun,100,Non
35051,Cesson-Sévigné,35,,,,Haie,"Prunellier commun (Épine noire),Orme,Ronces",Neutre,< 15,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,TAILLE,,21.5,C,Orme,0,Non
35088,Corps-Nuds,35,,,,Haie,Châtaignier,Actif,< 15,0,2025,,"47.9823871404, -1.57026704551",Corps-Nuds,TAILLE,,9.0,B,Châtaignier,0,Non
35208,Orgères,35,,,,Futaie,"Pommier,Noyer",Actif,15 - 30,0,2026,,"47.9853322097, -1.66640026267",Orgères,ECIMAGE,3,6.5,D,Noyer,100,Non
35088,Corps-Nuds,35,,,,Arbre isolé,Érable,Actif,> 30,0,2028,,"47.9823871404, -1.57026704551",Corps-Nuds,ECIMAGE,1,23.0,D,Érable,100,Non
35245,Romillé,35,,,,Arbre isolé,Chêne commun,Actif,> 30,0,2031,,"48.2223488257, -1.87904298142",Romillé,ELAGAGE,,6.1,C,Chêne commun,100,Non
35245,Romillé,35,,,,Isolé Pied de pylône,,Actif,< 15,150,2028,,"48.2223488257, -1.87904298142",Romillé,DÉBROUSSAILLAGE,,-7.5,,,100,Non
35238,Rennes,35,,,,Taillis,"Noisetier (Coudrier, pourpre, tortueux)",Neutre,< 15,0,,,"48.1119791219, -1.68186449144",Rennes,DÉBROUSSAILLAGE,,9.0,C,"Noisetier (Coudrier, pourpre, tortueux)",100,Non
35059,La Chapelle-des-Fougeretz,35,,,,Haie,"Noisetier (Coudrier, pourpre, tortueux),Prunus,Sureau",Actif,< 15,0,2025,,"48.1768937301, -1.74067185823",La Chapelle-des-Fougeretz,TAILLE,,6.4,A,"Noisetier (Coudrier, pourpre, tortueux)",0,Non
35081,Clayes,35,,,,Haie,"Ajonc,Ronces",Neutre,< 15,0,,,"48.1786926288, -1.8539725616",Clayes,TAILLE,,12.0,A,Ronces,0,Non
35059,La Chapelle-des-Fougeretz,35,,,,Haie,"Charme commun (Charmille),Châtaignier,Alisier",Actif,< 15,0,2025,,"48.1768937301, -1.74067185823",La Chapelle-des-Fougeretz,TAILLE,,16.1,B,Châtaignier,100,Non
35059,La Chapelle-des-Fougeretz,35,,,,Futaie,Châtaignier,Actif,> 30,0,2099,,"48.1768937301, -1.74067185823",La Chapelle-des-Fougeretz,ABATTAGE,2,15.4,C,Châtaignier,100,Non
35066,Chartres-de-Bretagne,35,,,,Taillis,Érable,Actif,,0,2027,,"48.0451561683, -1.70650297343",Chartres-de-Bretagne,DÉBROUSSAILLAGE,,4.5,D,Érable,0,Non
35352,Vern-sur-Seiche,35,,,,Haie,"Hêtre commun (pourpre, pleureur),Charme commun (Charmille)",Actif,< 15,0,2028,,"48.0525245014, -1.60521106164",Vern-sur-Seiche,TAILLE,,6.5,C,"Hêtre commun (pourpre, pleureur)",0,Non
35210,Pacé,35,,,,Haie,"Cornouiller (mâle ou sauvage),Chêne commun,Saule marsault (des chèvres)",Neutre,< 15,0,,,"48.152548244, -1.77716643787",Pacé,AUCUNE,,36.5,B,Saule marsault (des chèvres),,Non
35353,Vezin-le-Coquet,35,,,,Arbre isolé,"Saule (blanc, argenté, vivier, Osier blanc)",Neutre,15 - 30,0,,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ABATTAGE,1,14.5,E,"Saule (blanc, argenté, vivier, Osier blanc)",100,Non
35047,Bruz,35,,,,Arbre isolé,Pommier,Neutre,15 - 30,0,,,"48.0261755313, -1.74817480915",Bruz,ABATTAGE,1,10.5,C,Pommier,100,Non
35051,Cesson-Sévigné,35,,,,Futaie,"Laurier,Pin,Buis",Neutre,15 - 30,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,ABATTAGE,29,12.5,A,Laurier,100,Non
35278,Saint-Grégoire,35,,,,Haie,"Chêne commun,Prunellier commun (Épine noire),Saule marsault (des chèvres)",Actif,< 15,0,2028,,"48.1588840471, -1.68571943452",Saint-Grégoire,TAILLE,,5.5,C,Chêne commun,100,Non
35278,Saint-Grégoire,35,,,,Futaie,"Merisier,Charme commun (Charmille)",Actif,15 - 30,0,2025,,"48.1588840471, -1.68571943452",Saint-Grégoire,ABATTAGE,6,7.0,C,Charme commun (Charmille),100,Non
35278,Saint-Grégoire,35,,,,Taillis,"Aulne,Saule (blanc, argenté, vivier, Osier blanc),Saule marsault (des chèvres),Bouleau",Actif,< 15,0,2031,,"48.1588840471, -1.68571943452",Saint-Grégoire,DÉBROUSSAILLAGE,,12.5,B,Aulne,100,Non
35278,Saint-Grégoire,35,,,,Taillis,"Aulne,Bouleau,Frêne,Saule marsault (des chèvres),Bambou",Actif,,0,2025,,"48.1588840471, -1.68571943452",Saint-Grégoire,DÉBROUSSAILLAGE,12,10.0,B,Frêne,100,Non
35278,Saint-Grégoire,35,,,,Haie,"Chêne rouge d'Amérique (USA),Bouleau,Saule marsault (des chèvres),Cornouiller (mâle ou sauvage)",Actif,< 15,0,2025,,"48.1588840471, -1.68571943452",Saint-Grégoire,TAILLE,,7.0,A,Saule marsault (des chèvres),100,Non
35353,Vezin-le-Coquet,35,,,,Haie,"Châtaignier,Chêne commun",Actif,< 15,0,2027,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,TAILLE,,4.5,C,Châtaignier,100,Non
35051,Cesson-Sévigné,35,,,,Haie,Laurier,Neutre,< 15,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,AUCUNE,,12.0,B,Laurier,,Non
35039,Brécé,35,,,,Isolé Pied de pylône,,Actif,< 15,20,2025,,"48.1107701278, -1.48991638652",Brécé,DÉBROUSSAILLAGE,,-3.5,,,100,Non
35047,Bruz,35,,,,Futaie,Thuya,Actif,15 - 30,0,2099,,"48.0261755313, -1.74817480915",Bruz,ECIMAGE,2,16.5,B,Thuya,100,Non
35047,Bruz,35,,,,Futaie,Thuya,Actif,15 - 30,0,2027,,"48.0261755313, -1.74817480915",Bruz,ECIMAGE,3,7.0,B,Thuya,100,Non
35047,Bruz,35,,,,Taillis,"Chêne commun,Sureau,Merisier",Neutre,< 15,0,,,"48.0261755313, -1.74817480915",Bruz,DÉBROUSSAILLAGE,,6.5,C,Merisier,0,Non
35081,Clayes,35,,,,Lisière,Chêne commun,Actif,15 - 30,0,2029,,"48.1786926288, -1.8539725616",Clayes,ELAGAGE,1,-3.5,D,Chêne commun,100,Non
35210,Pacé,35,,,,Haie,"Érable,Érable champêtre",Actif,< 15,0,2030,,"48.152548244, -1.77716643787",Pacé,TAILLE,,12.5,D,Érable,0,Non
35353,Vezin-le-Coquet,35,,,,Futaie,Chêne rouge d'Amérique (USA),Actif,15 - 30,0,2099,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ABATTAGE,2,7.5,B,Chêne rouge d'Amérique (USA),100,Non
35081,Clayes,35,,,,Futaie,"Ornement,Fruitier",Neutre,15 - 30,0,,,"48.1786926288, -1.8539725616",Clayes,ABATTAGE,3,10.0,B,Fruitier,100,Non
35047,Bruz,35,,,,Haie,"Noisetier (Coudrier, pourpre, tortueux),Ronces,Orme",Actif,< 15,0,2027,,"48.0261755313, -1.74817480915",Bruz,TAILLE,,5.5,C,Orme,0,Non
35081,Clayes,35,,,,Haie,"Chêne commun,Merisier,Charme commun (Charmille)",Neutre,< 15,0,,,"48.1786926288, -1.8539725616",Clayes,TAILLE,,16.5,C,Charme commun (Charmille),0,Non
35059,La Chapelle-des-Fougeretz,35,,,,Arbre isolé,Chêne commun,Actif,> 30,0,2028,,"48.1768937301, -1.74067185823",La Chapelle-des-Fougeretz,ECIMAGE,1,10.2,D,Chêne commun,100,Non
35059,La Chapelle-des-Fougeretz,35,,,,Lisière,,Actif,> 30,0,2034,,"48.1768937301, -1.74067185823",La Chapelle-des-Fougeretz,ELAGAGE,3,0.0,,Châtaignier,100,Non
35051,Cesson-Sévigné,35,,,,Haie,"Chêne commun,Tilleul",Neutre,15 - 30,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,AUCUNE,21,10.5,E,Chêne commun,,Non
35210,Pacé,35,,,,Haie,Saule marsault (des chèvres),Neutre,< 15,0,,,"48.152548244, -1.77716643787",Pacé,AUCUNE,,12.5,B,Saule marsault (des chèvres),0,Non
35240,Le Rheu,35,,,,Futaie,Peuplier,Actif,> 30,0,2099,,"48.097397419, -1.78149989185",Le Rheu,ECIMAGE,2,7.0,B,Peuplier,100,Non
35139,Laillé,35,,,,Arbre isolé,Chêne commun,Actif,> 30,0,2029,,"47.9672360017, -1.71452676529",Laillé,ELAGAGE,1,6.5,D,Chêne commun,100,Non
35139,Laillé,35,,,,Haie,"Ajonc,Bourdaine,Genêt (épineux ou scorpion)",Actif,< 15,0,2026,,"47.9672360017, -1.71452676529",Laillé,TAILLE,,5.0,GÉNÉRIQUE,Bourdaine,100,Non
35206,Noyal-Châtillon-sur-Seiche,35,,,,Haie,Chêne des marais,Actif,< 15,0,2031,,"48.0524815273, -1.6633106381",Noyal-Châtillon-sur-Seiche,TAILLE,,8.5,A,Chêne des marais,100,Non
35278,Saint-Grégoire,35,,,,Haie,"Frêne,Ronces,Sureau",Actif,< 15,0,2025,,"48.1588840471, -1.68571943452",Saint-Grégoire,TAILLE,,7.0,C,Frêne,0,Non
35120,Gévezé,35,,,,Haie,Châtaignier,Actif,< 15,0,2025,,"48.2133254705, -1.79930703575",Gévezé,TAILLE,,20.1,B,Châtaignier,100,Non
35120,Gévezé,35,,,,Taillis,"Saule marsault (des chèvres),Noisetier (Coudrier, pourpre, tortueux)",Actif,< 15,0,2028,,"48.2133254705, -1.79930703575",Gévezé,DÉBROUSSAILLAGE,,9.4,A,Saule marsault (des chèvres),100,Non
35120,Gévezé,35,,,,Futaie,Chêne commun,Neutre,> 30,0,,,"48.2133254705, -1.79930703575",Gévezé,AUCUNE,2,26.9,D,Chêne commun,,Non
35139,Laillé,35,,,,Arbre isolé,Bouleau,Neutre,15 - 30,0,,,"47.9672360017, -1.71452676529",Laillé,ABATTAGE,1,18.5,B,Bouleau,100,Non
35352,Vern-sur-Seiche,35,,,,Isolé Pied de pylône,,Actif,,20,2028,,"48.0525245014, -1.60521106164",Vern-sur-Seiche,DÉBROUSSAILLAGE,,0.0,,,100,Non
35051,Cesson-Sévigné,35,,,,Haie,"Lilas,Cornouiller (mâle ou sauvage),Noisetier (Coudrier, pourpre, tortueux)",Actif,< 15,0,2028,,"48.1202268032, -1.59714447272",Cesson-Sévigné,TAILLE,,7.5,B,"Noisetier (Coudrier, pourpre, tortueux)",0,Non
35024,Betton,35,,,,Arbre isolé,Prunier,Neutre,15 - 30,0,,,"48.1812360423, -1.64589552684",Betton,AUCUNE,,15.6,B,Prunier,,Non
35076,Chavagne,35,,,,Arbre isolé,Épicéa,Actif,> 30,0,2027,,"48.0561574005, -1.78649242036",Chavagne,ECIMAGE,1,5.0,E,Épicéa,100,Non
35051,Cesson-Sévigné,35,,,,Isolé Pied de pylône,,Actif,,100,2027,,"48.1202268032, -1.59714447272",Cesson-Sévigné,DÉBROUSSAILLAGE,,0.0,,,100,Non
35120,Gévezé,35,,,,Futaie,Chêne commun,Neutre,15 - 30,0,,,"48.2133254705, -1.79930703575",Gévezé,ABATTAGE,5,4.5,D,Chêne commun,0,Non
35024,Betton,35,,,,Haie,"Saule (blanc, argenté, vivier, Osier blanc)",Actif,< 15,0,2025,,"48.1812360423, -1.64589552684",Betton,TAILLE,,6.5,C,"Saule (blanc, argenté, vivier, Osier blanc)",100,Non
35196,Mordelles,35,,,,Futaie,"Charme commun (Charmille),Bouleau,Chêne commun",Actif,15 - 30,0,2099,,"48.0857602983, -1.84210731238",Mordelles,ABATTAGE,25,9.0,B,Charme commun (Charmille),100,Non
35024,Betton,35,,,,Haie,Cyprès,Actif,> 30,0,2031,,"48.1812360423, -1.64589552684",Betton,ECIMAGE,9,21.1,A,Cyprès,100,Non
35120,Gévezé,35,,,,Haie,"Frêne,Noisetier (Coudrier, pourpre, tortueux),Aubépine",Actif,< 15,0,2031,,"48.2133254705, -1.79930703575",Gévezé,TAILLE,,9.5,C,Frêne,100,Non
35088,Corps-Nuds,35,,,,Haie,"Feuillus inconnu,Sureau",Neutre,15 - 30,0,,,"47.9823871404, -1.57026704551",Corps-Nuds,AUCUNE,15,12.2,GÉNÉRIQUE,Feuillus inconnu,,Non
