Code INSEE commune,commune,Code INSEE département,Département,Code INSEE région,Région,Type peuplement,Essence,Développement,Diamètre moyen,Surface travaux/longueur travaux,Année coupe,Hiérarchie géographique,Géo-point commune,COMMUNE_PRINCIPALE,Méthode de coupe,Nombre d'unités,Hmax CCG-LA,Courbes hauteurs (Désignation),Courbes hauteurs (Essence),Mise en oeuvre manuel (% manuel),Travaux tiers
35210,Pacé,35,,,,Haie,"Chêne commun,Genêt (épineux ou scorpion),Prunellier commun (Épine noire)",Neutre,< 15,0,,,"48.152548244, -1.77716643787",Pacé,TAILLE,,6.5,E,Chêne commun,0,Non
35136,Janzé,35,,,,Haie,Thuya,Neutre,< 15,0,,,"47.9428950804, -1.50038718382",Janzé,TAILLE,,3.5,B,Thuya,0,Non
35136,Janzé,35,,,,Haie,"Chêne commun,Saule marsault (des chèvres)",Actif,< 15,0,2031,,"47.9428950804, -1.50038718382",Janzé,TAILLE,,10.0,B,Saule marsault (des chèvres),100,Non
35136,Janzé,35,,,,Haie,"Charme commun (Charmille),Saule tortueux,Cornouiller (mâle ou sauvage),Chêne commun",Actif,< 15,0,2025,,"47.9428950804, -1.50038718382",Janzé,TAILLE,,18.5,A,Saule tortueux,100,Non
35278,Saint-Grégoire,35,,,,Haie,"Chêne commun,Frêne,Saule (blanc, argenté, vivier, Osier blanc)",Actif,< 15,0,2027,,"48.1588840471, -1.68571943452",Saint-Grégoire,TAILLE,,12.5,C,Frêne,100,Non
35132,Hirel,35,,,,Arbre isolé,Pommier,Neutre,> 30,0,,,"48.5948348848, -1.80915236052",Hirel,AUCUNE,1,6.5,C,Pommier,0,Non
35240,Le Rheu,35,,,,Haie,"Saule (blanc, argenté, vivier, Osier blanc),Prunellier commun (Épine noire),Ronces",Neutre,15 - 30,0,,,"48.097397419, -1.78149989185",Le Rheu,AUCUNE,,7.5,E,"Saule (blanc, argenté, vivier, Osier blanc)",,Non
35204,Nouvoitou,35,,,,Arbre isolé,Chêne commun,Neutre,15 - 30,0,,,"48.0299058856, -1.55180159639",Nouvoitou,AUCUNE,1,29.0,C,Chêne commun,,Non
35204,Nouvoitou,35,,,,Haie,Saule marsault (des chèvres),Actif,< 15,0,2031,,"48.0299058856, -1.55180159639",Nouvoitou,TAILLE,,9.5,B,Saule marsault (des chèvres),0,Non
35278,Saint-Grégoire,35,,,,Futaie,"Bouleau,Pin sylvestre,Érable sycomore",Actif,> 30,0,2099,,"48.1588840471, -1.68571943452",Saint-Grégoire,ABATTAGE,8,17.0,C,Bouleau,100,Non
35132,Hirel,35,,,,Arbre isolé,"Saule (blanc, argenté, vivier, Osier blanc)",Actif,15 - 30,0,2099,,"48.5948348848, -1.80915236052",Hirel,ABATTAGE,1,12.0,C,"Saule (blanc, argenté, vivier, Osier blanc)",100,Non
35240,Le Rheu,35,,,,Taillis,Peuplier,Actif,< 15,0,2033,,"48.097397419, -1.78149989185",Le Rheu,DÉBROUSSAILLAGE,,3.5,B,Peuplier,100,Non
35240,Le Rheu,35,,,,Futaie,"Cerisier,Chêne commun,Pommier",Actif,15 - 30,0,2027,,"48.097397419, -1.78149989185",Le Rheu,ECIMAGE,8,4.0,C,Cerisier,100,Non
35275,Saint-Gilles,35,,,,Haie,"Aulne,Saule marsault (des chèvres)",Actif,< 15,0,2026,,"48.1520929859, -1.85374690386",Saint-Gilles,TAILLE,,8.5,B,Aulne,100,Non
35204,Nouvoitou,35,,,,Isolé Pied de pylône,,Actif,,100,2028,,"48.0299058856, -1.55180159639",Nouvoitou,DÉBROUSSAILLAGE,,0.0,,,100,Non
35051,Cesson-Sévigné,35,,,,Futaie,"Érable,Frêne,Chêne rouge d'Amérique (USA)",Actif,15 - 30,0,2026,,"48.1202268032, -1.59714447272",Cesson-Sévigné,ABATTAGE,15,16.6,C,Frêne,100,Non
35353,Vezin-le-Coquet,35,,,,Taillis,"Noisetier (Coudrier, pourpre, tortueux),Bouleau,Châtaignier",Actif,< 15,0,2027,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,DÉBROUSSAILLAGE,,5.0,B,Châtaignier,100,Non
