Rentrée scolaire,UAI,patronyme,adresse_condensee,code_postal,commune_d_implantation,commune_d_implantation_lib_l,commune_et_arrondissement,commune_et_arrondissement_lib_l,secteur_d_enseignement_lib_l,mef_bcp_11,mef_bcp_11_lib_l,mef_bcp_6,mef_bcp_6_lib_l,nombre_d_eleves_total,nombre_d_eleves_filles,nombre_d_eleves_garcons
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23820025214,1ERPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),10,1,9
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23220025440,2CAP2  CARROSSIER AUTOMOBILE,232200,CAP EN 2 ANS : 2EME ANNEE,9,0,9
2020,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23810033605,2NDPRO MET.BEAUTE&BIEN-ETRE 2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),30,30,0
2020,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23810023404,2NDPRO TECHNICIEN CONSTRUCTEUR BOIS,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),9,0,9
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830022106,TLEPRO CUISINE,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),23,8,15
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820022105,1ERPRO BOULANGER-PÂTISSIER,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),21,11,10
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23210022142,"1CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE)",232100,CAP EN 2 ANS : 1ERE ANNEE,11,3,8
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830024203,TLEPRO METIERS DE LA MODE - VÊTEMENT,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),45,36,9
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820022106,1ERPRO CUISINE,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),23,8,15
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830033403,TLEPRO COMMERC. SERVICES EN RESTAURATION,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),22,8,14
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830022105,TLEPRO BOULANGER-PÂTISSIER,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),23,11,12
2020,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23820025408,1ERPRO REPARATION DES CARROSSERIES,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),15,0,15
2020,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830025215,TLEPRO MAINT.VEHIC.OPTB VEHIC.TRANS.ROUT,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),14,0,14
2020,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23220031117,2CAP2  CONDUCTEUR ROUTIER MARCHANDISES,232200,CAP EN 2 ANS : 2EME ANNEE,12,0,12
