Rentrée scolaire,UAI,patronyme,adresse_condensee,code_postal,commune_d_implantation,commune_d_implantation_lib_l,commune_et_arrondissement,commune_et_arrondissement_lib_l,secteur_d_enseignement_lib_l,mef_bcp_11,mef_bcp_11_lib_l,mef_bcp_6,mef_bcp_6_lib_l,nombre_d_eleves_total,nombre_d_eleves_filles,nombre_d_eleves_garcons
2021,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23220023440,2CAP2  CONSTRUCTEUR BOIS,232200,CAP EN 2 ANS : 2EME ANNEE,7,0,7
2021,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820022106,1ERPRO CUISINE,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),21,8,13
2021,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23220022142,"2CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE)",232200,CAP EN 2 ANS : 2EME ANNEE,10,4,6
2021,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32211033422,1BTS2  MANAGEMENT HOTEL.-REST. 1E AN.COM,322110,BREVET  DE TECH.SUP.EN 2 ANS : 1E ANNEE,20,10,10
2021,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830033403,TLEPRO COMMERC. SERVICES EN RESTAURATION,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),24,11,13
2021,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23810022107,2NDPRO MET. DE L'ALIMENTAT. 2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),24,14,10
2021,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23210022142,"1CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE)",232100,CAP EN 2 ANS : 1ERE ANNEE,12,5,7
2021,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23220031117,2CAP2  CONDUCTEUR ROUTIER MARCHANDISES,232200,CAP EN 2 ANS : 2EME ANNEE,12,0,12
2021,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23110025433,1CAP1  PEINTURE EN CARROSSERIE,231100,CAP EN 1 AN,7,0,7
2021,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23210031122,1CAP2  OPERATEUR/OPERATRICE LOGISTIQUE,232100,CAP EN 2 ANS : 1ERE ANNEE,22,0,22
2021,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23820025408,1ERPRO REPARATION DES CARROSSERIES,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),8,0,8
2019,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23810022105,2NDPRO BOULANGER-PÂTISSIER,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),24,11,13
2019,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23210033412,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,232100,CAP EN 2 ANS : 1ERE ANNEE,11,4,7
2019,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830024203,TLEPRO METIERS DE LA MODE - VÊTEMENT,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),43,42,1
2019,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23210033411,1CAP2  ASS. TECH. MILIEUX FAMIL.COLLECT.,232100,CAP EN 2 ANS : 1ERE ANNEE,12,12,0
2019,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830031210,TLEPRO ACCUEIL -RELATION CLIENTS USAGERS,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),29,25,4
2019,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820022106,1ERPRO CUISINE,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),23,8,15
2019,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23220033412,2CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,232200,CAP EN 2 ANS : 2EME ANNEE,11,8,3
2019,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830031106,TLEPRO LOGISTIQUE,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),21,3,18
2019,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23810025218,2NDPRO MAINTENANCE VEHIC. 2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),31,0,31
2019,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830031107,TLEPRO CONDUCT. TRANSP.ROUT.MARCHANDISES,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),24,5,19
2019,0352009U,VICTOR ET HELENE BASCH,V. ET H. BASCH AVENUE TILLON,35000,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32221031212,2BTS2  NEGO. ET DIGITAL. RELATION CLIENT,322210,BREVET  DE TECH.SUP.EN 2 ANS : 2E ANNEE,59,28,31
2022,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23210025524,1CAP2  ELECTRICIEN,232100,CAP EN 2 ANS : 1ERE ANNEE,15,0,15
2022,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23810023409,2NDPRO MET.AGENC.MENUIS.AMEUB.2NDE COMM.,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),13,2,11
2022,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23830033603,TLEPRO ESTHETIQUE COSMETIQUE PARFUMERIE,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),27,27,0
2022,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23830023404,TLEPRO TECHNICIEN CONSTRUCTEUR BOIS,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),5,0,5
2022,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23820033603,1ERPRO ESTHETIQUE COSMETIQUE PARFUMERIE,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),30,30,0
2022,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830022106,TLEPRO CUISINE,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),19,6,13
2022,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830031212,TLEPRO METIERS DE L'ACCUEIL,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),32,25,7
2022,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830031213,TLEPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),32,12,20
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23810031107,2NDPRO CONDUCT. TRANSP.ROUT.MARCHANDISES,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),24,4,20
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23820025408,1ERPRO REPARATION DES CARROSSERIES,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),12,0,12
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23810025222,2NDPRO MET.MAIN.MATER.VEHIC.2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),30,2,28
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23820031107,1ERPRO CONDUCT. TRANSP.ROUT.MARCHANDISES,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),24,2,22
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830031107,TLEPRO CONDUCT. TRANSP.ROUT.MARCHANDISES,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),21,2,19
2022,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23210031122,1CAP2  OPERATEUR/OPERATRICE LOGISTIQUE,232100,CAP EN 2 ANS : 1ERE ANNEE,16,3,13
2022,0352009U,VICTOR ET HELENE BASCH,V. ET H. BASCH AVENUE TILLON,35000,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32221032614,2BTS2  SERV.INFORMATIQ.ORGAN.OPT.B.SLAM,322210,BREVET  DE TECH.SUP.EN 2 ANS : 2E ANNEE,11,1,10
2022,0352009U,VICTOR ET HELENE BASCH,V. ET H. BASCH AVENUE TILLON,35000,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32221031212,2BTS2  NEGO. ET DIGITAL. RELATION CLIENT,322210,BREVET  DE TECH.SUP.EN 2 ANS : 2E ANNEE,55,28,27
2025,0352009U,VICTOR ET HELENE BASCH,V. ET H. BASCH AVENUE TILLON,35000,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32211031212,1BTS2  NEGO. ET DIGITAL. RELATION CLIENT,322110,BREVET  DE TECH.SUP.EN 2 ANS : 1E ANNEE,69,37,32
