id_election,id_brut_miom,code_departement,libelle_departement,code_canton,libelle_canton,code_commune,libelle_commune,code_circonscription,libelle_circonscription,code_bv,inscrits,abstentions,votants,blancs,nuls,exprimes,ratio_abstentions_inscrits,ratio_votants_inscrits,ratio_blancs_inscrits,ratio_blancs_votants,ratio_nuls_inscrits,ratio_nuls_votants,ratio_exprimes_inscrits,ratio_exprimes_votants
2026_muni_t2,35066_0001,35,Ille-et-Vilaine,,,35066,Chartres-de-Bretagne,,,0001,672,329,343,14,9,320,48.959999084472656,51.040000915527344,2.0799999237060547,4.079999923706055,1.340000033378601,2.619999885559082,47.619998931884766,93.29000091552734
2026_muni_t2,35066_0002,35,Ille-et-Vilaine,,,35066,Chartres-de-Bretagne,,,0002,665,284,381,9,4,368,42.709999084472656,57.290000915527344,1.350000023841858,2.359999895095825,0.6000000238418579,1.0499999523162842,55.34000015258789,96.58999633789062
2026_muni_t2,35066_0003,35,Ille-et-Vilaine,,,35066,Chartres-de-Bretagne,,,0003,664,329,335,13,5,317,49.54999923706055,50.45000076293945,1.9600000381469727,3.880000114440918,0.75,1.4900000095367432,47.7400016784668,94.62999725341797
2026_muni_t2,35066_0004,35,Ille-et-Vilaine,,,35066,Chartres-de-Bretagne,,,0004,750,299,451,22,10,419,39.869998931884766,60.130001068115234,2.930000066757202,4.880000114440918,1.3300000429153442,2.2200000286102295,55.869998931884766,92.9000015258789
2026_muni_t2,35066_0005,35,Ille-et-Vilaine,,,35066,Chartres-de-Bretagne,,,0005,746,313,433,19,19,395,41.959999084472656,58.040000915527344,2.549999952316284,4.389999866485596,2.549999952316284,4.389999866485596,52.95000076293945,91.22000122070312
2026_muni_t2,35066_0006,35,Ille-et-Vilaine,,,35066,Chartres-de-Bretagne,,,0006,600,280,320,12,4,304,46.66999816894531,53.33000183105469,2.0,3.75,0.6700000166893005,1.25,50.66999816894531,95.0
2026_muni_t2,35066_0007,35,Ille-et-Vilaine,,,35066,Chartres-de-Bretagne,,,0007,615,328,287,13,3,271,53.33000183105469,46.66999816894531,2.109999895095825,4.53000020980835,0.49000000953674316,1.0499999523162842,44.06999969482422,94.43000030517578
2026_muni_t2,35066_0008,35,Ille-et-Vilaine,,,35066,Chartres-de-Bretagne,,,0008,843,439,404,16,10,378,52.08000183105469,47.91999816894531,1.899999976158142,3.9600000381469727,1.190000057220459,2.4800000190734863,44.84000015258789,93.55999755859375
2026_muni_t2,35066_0009,35,Ille-et-Vilaine,,,35066,Chartres-de-Bretagne,,,0009,661,273,388,10,7,371,41.29999923706055,58.70000076293945,1.5099999904632568,2.5799999237060547,1.059999942779541,1.7999999523162842,56.130001068115234,95.62000274658203
2026_muni_t2,35080_0001,35,Ille-et-Vilaine,,,35080,Cintré,,,0001,926,324,602,9,5,588,34.9900016784668,65.01000213623047,0.9700000286102295,1.5,0.5400000214576721,0.8299999833106995,63.5,97.66999816894531
2026_muni_t2,35080_0002,35,Ille-et-Vilaine,,,35080,Cintré,,,0002,1036,346,690,10,3,677,33.400001525878906,66.5999984741211,0.9700000286102295,1.4500000476837158,0.28999999165534973,0.4300000071525574,65.3499984741211,98.12000274658203
2026_muni_t2,35189_0001,35,Ille-et-Vilaine,,,35189,Montgermont,,,0001,894,260,634,0,4,630,29.079999923706055,70.91999816894531,0.0,0.0,0.44999998807907104,0.6299999952316284,70.47000122070312,99.37000274658203
2026_muni_t2,35189_0002,35,Ille-et-Vilaine,,,35189,Montgermont,,,0002,853,317,536,4,5,527,37.15999984741211,62.84000015258789,0.4699999988079071,0.75,0.5899999737739563,0.9300000071525574,61.779998779296875,98.31999969482422
2026_muni_t2,35189_0003,35,Ille-et-Vilaine,,,35189,Montgermont,,,0003,937,346,591,6,3,582,36.93000030517578,63.06999969482422,0.6399999856948853,1.0199999809265137,0.3199999928474426,0.5099999904632568,62.11000061035156,98.4800033569336
2026_muni_t2,35210_0001,35,Ille-et-Vilaine,,,35210,Pacé,,,0001,669,299,370,2,3,365,44.689998626708984,55.310001373291016,0.30000001192092896,0.5400000214576721,0.44999998807907104,0.8100000023841858,54.560001373291016,98.6500015258789
2026_muni_t2,35210_0002,35,Ille-et-Vilaine,,,35210,Pacé,,,0002,854,309,545,2,5,538,36.18000030517578,63.81999969482422,0.23000000417232513,0.3700000047683716,0.5899999737739563,0.9200000166893005,63.0,98.72000122070312
2026_muni_t2,35210_0003,35,Ille-et-Vilaine,,,35210,Pacé,,,0003,914,318,596,4,3,589,34.790000915527344,65.20999908447266,0.4399999976158142,0.6700000166893005,0.33000001311302185,0.5,64.44000244140625,98.83000183105469
2026_muni_t2,35210_0004,35,Ille-et-Vilaine,,,35210,Pacé,,,0004,887,373,514,4,4,506,42.04999923706055,57.95000076293945,0.44999998807907104,0.7799999713897705,0.44999998807907104,0.7799999713897705,57.04999923706055,98.44000244140625
2026_muni_t2,35210_0005,35,Ille-et-Vilaine,,,35210,Pacé,,,0005,811,304,507,5,7,495,37.47999954223633,62.52000045776367,0.6200000047683716,0.9900000095367432,0.8600000143051147,1.3799999952316284,61.040000915527344,97.62999725341797
2026_muni_t2,35210_0006,35,Ille-et-Vilaine,,,35210,Pacé,,,0006,855,400,455,1,0,454,46.779998779296875,53.220001220703125,0.11999999731779099,0.2199999988079071,0.0,0.0,53.099998474121094,99.77999877929688
2026_muni_t2,35210_0007,35,Ille-et-Vilaine,,,35210,Pacé,,,0007,846,340,506,2,2,502,40.189998626708984,59.810001373291016,0.23999999463558197,0.4000000059604645,0.23999999463558197,0.4000000059604645,59.34000015258789,99.20999908447266
2026_muni_t2,35210_0008,35,Ille-et-Vilaine,,,35210,Pacé,,,0008,1001,434,567,3,2,562,43.36000061035156,56.63999938964844,0.30000001192092896,0.5299999713897705,0.20000000298023224,0.3499999940395355,56.13999938964844,99.12000274658203
