Action de dispositif (AD) identifiant Onisep,Type de dispositif (TYPDISP) libellé,TYPDISP ID et URL Onisep,TYPDISP indexation Onisep,Structure d'enseignement (ENS) libellé,ENS URL et ID Onisep,ENS type,ENS code UAI,ENS statut,ENS adresse,ENS code postal,ENS commune,ENS département,ENS académie,ENS région,ENS latitude,ENS longitude,ENS téléphone,ENS site web,ENS hébergement,ENS accessibilité,AD durée,AD éléments d'enseignement,AD modalités accueil,AD date de création,AD date de modification
AD.17883,unité localisée pour l'inclusion scolaire en collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.13,"lettres, langues, enseignement/formations généralistes",Collège Cleunay,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16503,collège,0350760L,public,26 rue Andrée Récipon,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.0988,-1.70925,02 99 67 31 40,https://www.collegecleunayrennes.ac-rennes.fr/,sans hébergement,Locaux accessibles,4 ans,,,06/06/2020,30/04/2026
AD.27726,classe sport-études en collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.44,"santé, social, sport/sport",Collège Cleunay,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16503,collège,0350760L,public,26 rue Andrée Récipon,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.0988,-1.70925,02 99 67 31 40,https://www.collegecleunayrennes.ac-rennes.fr/,sans hébergement,Locaux accessibles,2 ans,football,"4e, 3e",13/07/2023,19/06/2025
AD.12883,section bilangue de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.21,"lettres, langues, enseignement/formations généralistes| lettres, langues, enseignement/langues",Collège Jean Moulin,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9376,collège,0352589Z,public,"Place Léopold Sédar Senghor, Saint Jacques de la Lande, BP 49219",35136,Saint-Jacques-de-la-Lande,Ille-et-Vilaine,Rennes,Bretagne,48.0767,-1.71441,02 99 30 03 13,http://www.collegejeanmoulin-stjacques.ac-rennes.fr,sans hébergement,Locaux accessibles,1 an,"allemand, anglais",,06/06/2020,10/04/2024
AD.8440,classe à horaires aménagés théâtre,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.27,"arts, culture, artisanat/arts du spectacle",Collège Rosa Parks,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5628,collège,0350895H,public,10 rue de Gascogne,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1226274,-1.716636,02 99 59 21 33,http://www.college-rosa-parks-rennes.ac-rennes.fr,sans hébergement,Locaux accessibles,4 ans,,,06/06/2020,27/02/2024
AD.8442,section d'enseignement général et professionnel adapté,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.12,"lettres, langues, enseignement/formations généralistes",Collège Rosa Parks,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5628,collège,0350895H,public,10 rue de Gascogne,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1226274,-1.716636,02 99 59 21 33,http://www.college-rosa-parks-rennes.ac-rennes.fr,sans hébergement,Locaux accessibles,4 ans,"habitat (champ pro SEGPA), hygiène alimentation services (champ pro SEGPA)",,06/06/2020,13/10/2020
AD.17921,section bilangue de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.21,"lettres, langues, enseignement/formations généralistes| lettres, langues, enseignement/langues",Collège Marie Curie,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21643,collège,0352959B,public,2 esplanade Roger Jouan,35890,Laille,Ille-et-Vilaine,Rennes,Bretagne,47.984923870564,-1.7118072509766,02 90 01 53 93,https://college-laille.ac-rennes.fr/,sans hébergement,,1 an,"allemand, anglais",,06/06/2020,12/05/2021
AD.19450,section bilangue de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.21,"lettres, langues, enseignement/formations généralistes| lettres, langues, enseignement/langues",Collège La Tour d'Auvergne La Salle,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13742,collège,0350835T,privé sous contrat,6 rue de la Santé,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1087,-1.68578,02 99 30 79 89,http://www.collegeta.fr,sans hébergement,Locaux accessibles,1 an,"anglais, chinois",,06/06/2020,09/04/2024
AD.8443,section internationale de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.10,"lettres, langues, enseignement/formations généralistes| lettres, langues, enseignement/langues",Collège Rosa Parks,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5628,collège,0350895H,public,10 rue de Gascogne,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1226274,-1.716636,02 99 59 21 33,http://www.college-rosa-parks-rennes.ac-rennes.fr,sans hébergement,Locaux accessibles,4 ans,anglais,,06/06/2020,25/09/2020
AD.28577,section bilangue de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.21,"lettres, langues, enseignement/formations généralistes| lettres, langues, enseignement/langues",Collège Andrée Récipon,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15694,collège,0352691K,public,6 rue de Pont Péan,35230,Orgères,Ille-et-Vilaine,Rennes,Bretagne,48.0028,-1.6687,02 23 50 00 30,http://www.college-andree-recipon-orgeres.ac-rennes.fr,sans hébergement,,1 an,"allemand, anglais",,10/04/2024,10/04/2024
AD.17884,section sportive de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.2,"santé, social, sport/sport",Collège Cleunay,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16503,collège,0350760L,public,26 rue Andrée Récipon,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.0988,-1.70925,02 99 67 31 40,https://www.collegecleunayrennes.ac-rennes.fr/,sans hébergement,Locaux accessibles,4 ans,football,football féminin à partir de la 5e,06/06/2020,07/07/2025
AD.28557,section bilangue de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.21,"lettres, langues, enseignement/formations généralistes| lettres, langues, enseignement/langues","Collège Saint-Paul (annexe du collège Saint-Joseph, Bruz)",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17551,collège,0353083L,privé sous contrat,22 avenue de la Mare Guesclin,35230,Saint-Erblon,Ille-et-Vilaine,Rennes,Bretagne,48.021465,-1.658355,02 30 95 10 10,http://www.ecbruz-sterblon.org,sans hébergement,Locaux accessibles,1 an,"allemand, anglais",,09/04/2024,09/04/2024
AD.14425,unité localisée pour l'inclusion scolaire en collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.13,"lettres, langues, enseignement/formations généralistes",Collège Saint-Hélier,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12070,collège,0350839X,privé sous contrat,7 rue Frère Salomon,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1032,-1.66044,02 99 50 52 72,https://www.college-sainthelier.fr/,sans hébergement,Locaux accessibles,4 ans,,,06/06/2020,30/04/2026
AD.4396,section bilingue de langue régionale de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.14,"lettres, langues, enseignement/formations généralistes| lettres, langues, enseignement/langues",Collège Cleunay,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16503,collège,0350760L,public,26 rue Andrée Récipon,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.0988,-1.70925,02 99 67 31 40,https://www.collegecleunayrennes.ac-rennes.fr/,sans hébergement,Locaux accessibles,4 ans,breton,,06/06/2020,26/09/2024
AD.8444,unité pédagogique pour élèves allophones arrivants en collège (Classe pour non francophones),https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.6,"lettres, langues, enseignement/formations généralistes",Collège Rosa Parks,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5628,collège,0350895H,public,10 rue de Gascogne,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1226274,-1.716636,02 99 59 21 33,http://www.college-rosa-parks-rennes.ac-rennes.fr,sans hébergement,Locaux accessibles,1 an,,,06/06/2020,02/09/2020
AD.28556,section bilangue de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.21,"lettres, langues, enseignement/formations généralistes| lettres, langues, enseignement/langues",Collège Notre-Dame du Vieux cours,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17499,collège,0350781J,privé sous contrat,11 rue de Plélo,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1063623,-1.6790662,02 99 79 62 84,https://www.notredameduvieuxcours.org/college/,sans hébergement,,1 an,"allemand, anglais, espagnol",,09/04/2024,09/04/2024
AD.28579,section bilangue de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.21,"lettres, langues, enseignement/formations généralistes| lettres, langues, enseignement/langues",Collège Rosa Parks,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5628,collège,0350895H,public,10 rue de Gascogne,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1226274,-1.716636,02 99 59 21 33,http://www.college-rosa-parks-rennes.ac-rennes.fr,sans hébergement,Locaux accessibles,1 an,"anglais, chinois",,10/04/2024,10/04/2024
AD.10121,unité localisée pour l'inclusion scolaire en collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.13,"lettres, langues, enseignement/formations généralistes",Collège Morvan Lebesque,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4697,collège,0352030S,public,"34 avenue Beausejour, BP 116",35310,Mordelles,Ille-et-Vilaine,Rennes,Bretagne,48.0727,-1.84013,02 99 60 53 53,http://www.college-lebesque-mordelles.ac-rennes.fr,sans hébergement,,4 ans,,,06/06/2020,30/04/2026
AD.3313,dispositif relais,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.11,"lettres, langues, enseignement/formations généralistes",Collège Joséphine Bakhita,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4101,collège,0352071L,privé sous contrat,"29 boulevard Émile Combes, CS 96702",35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.093545,-1.670519,02 99 22 20 60,https://www.ozanam.bzh/college-sainte-josephine-bakhita,sans hébergement,,1 an,,,06/06/2020,06/06/2020
