,INSEE_COM,Annee,Nb_mutations,NbMaisons,NbApparts,propmaison,propappart,PrixMoyen,Prixm2Moyen,SurfaceMoy
10772,35001,2014,63,28,35,44.4444444444444,55.5555555555556,182800.936507937,2257.92063492063,81.1746031746032
10791,35022,2014,3,3,0,100,0,128666.666666667,1237.33333333333,97.3333333333333
10793,35024,2014,136,73,63,53.6764705882353,46.3235294117647,218644.852941176,2347.83823529412,91.6985294117647
10800,35032,2014,24,17,7,70.8333333333333,29.1666666666667,167635.583333333,1749.5,98.2916666666667
10806,35039,2014,26,25,1,96.1538461538462,3.84615384615385,196683.346153846,1839.76923076923,110.461538461538
10812,35047,2014,183,96,87,52.4590163934426,47.5409836065574,194716.803278689,2269.30601092896,86.2896174863388
10815,35051,2014,112,63,49,56.25,43.75,263834.580357143,2828.14285714286,96.4017857142857
10818,35055,2014,91,41,50,45.0549450549451,54.9450549450549,197378.736263736,2377.26373626374,84.3736263736264
10821,35058,2014,4,4,0,100,0,117750,1247.5,91.5
10822,35059,2014,56,41,15,73.2142857142857,26.7857142857143,201493.035714286,2178.33928571429,94.5714285714286
10828,35065,2014,18,16,2,88.8888888888889,11.1111111111111,180977.777777778,1832.66666666667,98.9444444444444
10829,35066,2014,78,38,40,48.7179487179487,51.2820512820513,164527.653846154,2284.02564102564,75.5384615384615
10837,35076,2014,22,14,8,63.6363636363636,36.3636363636364,183661.363636364,1955.86363636364,94.8181818181818
10840,35079,2014,17,14,3,82.3529411764706,17.6470588235294,187535.294117647,2052.17647058824,95.4705882352941
10841,35080,2014,15,14,1,93.3333333333333,6.66666666666667,190449.266666667,1813.86666666667,108.333333333333
10842,35081,2014,1,1,0,100,0,120000,2857,42
10848,35088,2014,27,22,5,81.4814814814815,18.5185185185185,177245.148148148,1913.7037037037,96.037037037037
10877,35120,2014,37,27,10,72.972972972973,27.027027027027,204494.783783784,2079.05405405405,100.972972972973
10887,35131,2014,26,15,11,57.6923076923077,42.3076923076923,155900.961538462,1884.57692307692,84.8461538461538
10888,35132,2014,21,21,0,100,0,144123.428571429,1466.61904761905,102.857142857143
10891,35135,2014,9,9,0,100,0,179153.111111111,1742.77777777778,104.444444444444
10892,35136,2014,68,57,11,83.8235294117647,16.1764705882353,152207.191176471,1757.30882352941,89.5147058823529
10895,35139,2014,54,49,5,90.7407407407407,9.25925925925926,202122.888888889,1933.2962962963,105.574074074074
10900,35144,2014,9,9,0,100,0,162641.111111111,1626.77777777778,103.333333333333
10905,35150,2014,19,19,0,100,0,188389.473684211,1702.57894736842,110.263157894737
10913,35160,2014,2,2,0,100,0,142500,1096.5,136.5
10923,35170,2014,6,6,0,100,0,130841.666666667,1388.83333333333,95.6666666666667
10933,35180,2014,5,5,0,100,0,135000,1268.6,105.2
10941,35189,2014,24,12,12,50,50,181617.083333333,2300.33333333333,81.3333333333333
10942,35190,2014,3,3,0,100,0,92666.6666666667,1279.66666666667,80
10948,35196,2014,66,41,25,62.1212121212121,37.8787878787879,190819.96969697,2140.12121212121,90.7575757575758
10952,35200,2014,6,6,0,100,0,114666.666666667,1101,117.666666666667
10955,35204,2014,24,21,3,87.5,12.5,185262.791666667,1814.58333333333,106.125
10957,35206,2014,44,21,23,47.7272727272727,52.2727272727273,178808.840909091,2326.77272727273,78.5227272727273
10959,35208,2014,29,21,8,72.4137931034483,27.5862068965517,168953.172413793,1794.72413793103,95.551724137931
10960,35210,2014,81,48,33,59.2592592592593,40.7407407407407,234039.839506173,2363.83950617284,98.320987654321
10965,35216,2014,21,13,8,61.9047619047619,38.0952380952381,171069.857142857,1958.28571428571,88.1904761904762
10979,35230,2014,2,2,0,100,0,102500,1026,102
10984,35235,2014,9,9,0,100,0,85433.3333333333,1162.66666666667,78.5555555555556
10987,35238,2014,2646,383,2263,14.474678760393,85.525321239607,162605.693499622,2574.23847316704,63.7123960695389
10989,35240,2014,104,56,48,53.8461538461538,46.1538461538462,185314.798076923,2114.82692307692,89.4326923076923
10994,35245,2014,23,20,3,86.9565217391304,13.0434782608696,150765.434782609,1757.60869565217,89.1739130434783
10999,35250,2014,18,11,7,61.1111111111111,38.8888888888889,166786.888888889,2009.11111111111,84.4444444444444
11012,35266,2014,20,13,7,65,35,230625,2199.4,103.95
11019,35275,2014,40,35,5,87.5,12.5,190150.675,1902.3,99.575
11022,35278,2014,72,49,23,68.0555555555556,31.9444444444444,297304.513888889,2801.05555555556,107.138888888889
11025,35281,2014,167,62,105,37.125748502994,62.874251497006,159581.179640719,2205.95808383234,72.7125748502994
11050,35310,2014,5,5,0,100,0,172200,1337.2,129
11054,35315,2014,16,16,0,100,0,261187.5,2253.1875,117.4375
11071,35334,2014,91,35,56,38.4615384615385,61.5384615384615,188554.725274725,2363.52747252747,80.8681318681319
11084,35351,2014,11,11,0,100,0,171915.454545455,1618.27272727273,107
11085,35352,2014,55,44,11,80,20,224417.636363636,2163.16363636364,105.690909090909
11086,35353,2014,54,22,32,40.7407407407407,59.2592592592593,180135.222222222,2192.75925925926,84.3703703703704
11096,35363,2014,40,32,8,80,20,175181.525,1866.625,94.6
