,INSEE_COM,Annee,Nb_mutations,NbMaisons,NbApparts,propmaison,propappart,PrixMoyen,Prixm2Moyen,SurfaceMoy
12127,35001,2022,70,46,24,65.7142857142857,34.2857142857143,297136,3100.98571428571,97.5857142857143
12146,35022,2022,10,8,2,80,20,188240,1766.8,112.4
12148,35024,2022,152,93,59,61.1842105263158,38.8157894736842,341794.796052632,3661.01315789474,93.0986842105263
12156,35032,2022,59,48,11,81.3559322033898,18.6440677966102,270624.745762712,2772.49152542373,97.1694915254237
12162,35039,2022,27,16,11,59.2592592592593,40.7407407407407,206188.074074074,2486.25925925926,84.5555555555556
12169,35047,2022,242,127,115,52.4793388429752,47.5206611570248,294289.148760331,3340.76033057851,88.2603305785124
12172,35051,2022,249,123,126,49.3975903614458,50.6024096385542,360227.542168675,3993.5421686747,90.4016064257028
12175,35055,2022,151,45,106,29.8013245033113,70.1986754966888,251570.940397351,3172.15231788079,80.0066225165563
12178,35058,2022,20,20,0,100,0,224028.1,2257.75,100.95
12179,35059,2022,62,36,26,58.0645161290323,41.9354838709677,282177.016129032,3177.8064516129,89.0161290322581
12185,35065,2022,20,19,1,95,5,238457.5,2427.15,99.6
12186,35066,2022,127,55,72,43.3070866141732,56.6929133858268,238464.086614173,3064.30708661417,79.1417322834646
12194,35076,2022,92,58,34,63.0434782608696,36.9565217391304,247448.934782609,2764.94565217391,90.5217391304348
12197,35079,2022,26,24,2,92.3076923076923,7.69230769230769,258561.076923077,2659.69230769231,99.5769230769231
12198,35080,2022,30,26,4,86.6666666666667,13.3333333333333,240221.033333333,2703.13333333333,103.133333333333
12199,35081,2022,8,8,0,100,0,276221.875,2819.875,98.25
12205,35088,2022,38,32,6,84.2105263157895,15.7894736842105,196853.921052632,2335.5,87.6052631578947
12235,35120,2022,85,63,22,74.1176470588235,25.8823529411765,280440.376470588,3166.98823529412,89.3882352941176
12245,35131,2022,54,38,16,70.3703703703704,29.6296296296296,257937.037037037,3007.2962962963,93.0925925925926
12246,35132,2022,17,17,0,100,0,264566.764705882,2555.76470588235,107.470588235294
12249,35135,2022,32,31,1,96.875,3.125,215601.5625,2105.9375,104.59375
12250,35136,2022,143,90,53,62.9370629370629,37.0629370629371,211512.664335664,2275.56643356643,94.4405594405594
12253,35139,2022,72,56,16,77.7777777777778,22.2222222222222,271005.277777778,2672.125,101.236111111111
12258,35144,2022,17,14,3,82.3529411764706,17.6470588235294,231391.235294118,2487.11764705882,93.2941176470588
12263,35150,2022,31,31,0,100,0,241473.935483871,2200.64516129032,111.838709677419
12272,35160,2022,2,2,0,100,0,167000,1239,135
12282,35170,2022,9,9,0,100,0,200605.444444444,2050.55555555556,101.222222222222
12292,35180,2022,12,12,0,100,0,182308.916666667,1858.75,96.75
12300,35189,2022,68,34,34,50,50,270653.779411765,3404.61764705882,79.3235294117647
12301,35190,2022,7,7,0,100,0,108778.571428571,1135,105.285714285714
12307,35196,2022,120,60,60,50,50,237234.991666667,2940.35833333333,83.3333333333333
12311,35200,2022,13,13,0,100,0,143947.384615385,1413.15384615385,97.8461538461538
12315,35204,2022,41,37,4,90.2439024390244,9.75609756097561,273054.268292683,2696.41463414634,103.146341463415
12317,35206,2022,96,50,46,52.0833333333333,47.9166666666667,273947.541666667,3211.20833333333,85.4375
12319,35208,2022,54,41,13,75.9259259259259,24.0740740740741,262664.925925926,2823.92592592593,96.5740740740741
12320,35210,2022,154,86,68,55.8441558441558,44.1558441558442,328097.603896104,3460.23376623377,93.8571428571429
12325,35216,2022,26,23,3,88.4615384615385,11.5384615384615,283909.115384615,2544.80769230769,113.038461538462
12339,35230,2022,8,8,0,100,0,144312.5,1131.125,117.375
12344,35235,2022,13,13,0,100,0,158000,1505.53846153846,102.153846153846
12347,35238,2022,3968,521,3447,13.1300403225806,86.8699596774193,265144.533518145,4118.93901209677,64.6222278225806
12349,35240,2022,142,58,84,40.8450704225352,59.1549295774648,261689.035211268,3023.78169014085,85.6478873239437
12354,35245,2022,60,50,10,83.3333333333333,16.6666666666667,247266.85,2544.81666666667,99.0166666666667
12359,35250,2022,34,17,17,50,50,220227.823529412,2712.23529411765,83.5
12374,35266,2022,71,43,28,60.5633802816901,39.4366197183099,276196.253521127,3062.76056338028,91.4788732394366
12381,35275,2022,61,38,23,62.2950819672131,37.7049180327869,267728.180327869,2942.75409836066,94.9016393442623
12384,35278,2022,143,70,73,48.951048951049,51.0489510489511,406222.538461538,4037.03496503496,97.9090909090909
12387,35281,2022,271,76,195,28.0442804428044,71.9557195571956,228002.686346863,3305.32841328413,70.0885608856089
12412,35310,2022,14,14,0,100,0,183436.428571429,1885,99.3571428571429
12416,35315,2022,14,14,0,100,0,305087.642857143,2866.78571428571,109.857142857143
12434,35334,2022,90,61,29,67.7777777777778,32.2222222222222,332495.677777778,3379.06666666667,99.9222222222222
12447,35351,2022,13,13,0,100,0,221807.692307692,2115.53846153846,104.076923076923
12448,35352,2022,97,75,22,77.319587628866,22.680412371134,325105.639175258,3085.26804123711,105.010309278351
12449,35353,2022,86,56,30,65.1162790697674,34.8837209302326,299094.581395349,3412.25581395349,87.9651162790698
12458,35363,2022,52,32,20,61.5384615384615,38.4615384615385,269441.019230769,2936.25,93.7884615384615
