,INSEE_COM,Annee,Nb_mutations,NbMaisons,NbApparts,propmaison,propappart,PrixMoyen,Prixm2Moyen,SurfaceMoy
12235,35001,2021,99,66,33,66.6666666666667,33.3333333333333,291871.515151515,2946.36363636364,101.878787878788
12254,35022,2021,9,8,1,88.8888888888889,11.1111111111111,189294.777777778,1797.22222222222,105.666666666667
12256,35024,2021,185,115,70,62.1621621621622,37.8378378378378,289165.459459459,3166.56756756757,93.2054054054054
12264,35032,2021,60,44,16,73.3333333333333,26.6666666666667,238292.633333333,2541.98333333333,94.8333333333333
12270,35039,2021,30,13,17,43.3333333333333,56.6666666666667,223812.1,2459.93333333333,88.1666666666667
12277,35047,2021,281,139,142,49.4661921708185,50.5338078291815,258217.729537367,3254.50889679715,82.9715302491103
12280,35051,2021,281,135,146,48.0427046263345,51.9572953736655,335469.957295374,3694.55871886121,89.5978647686833
12283,35055,2021,148,54,94,36.4864864864865,63.5135135135135,245830.540540541,2980.83108108108,84.25
12286,35058,2021,11,11,0,100,0,206909.090909091,2032.09090909091,99.1818181818182
12287,35059,2021,62,45,17,72.5806451612903,27.4193548387097,289685.5,3031,99.1129032258064
12293,35065,2021,22,21,1,95.4545454545455,4.54545454545455,236320.909090909,2441,97.5454545454545
12294,35066,2021,120,47,73,39.1666666666667,60.8333333333333,209178.875,2890.39166666667,73.5416666666667
12302,35076,2021,88,48,40,54.5454545454545,45.4545454545455,218315.284090909,2550.71590909091,87.2045454545455
12305,35079,2021,28,25,3,89.2857142857143,10.7142857142857,280077.214285714,2916.03571428571,96.2857142857143
12306,35080,2021,38,32,6,84.2105263157895,15.7894736842105,217896.657894737,2271.26315789474,97.2105263157895
12307,35081,2021,5,5,0,100,0,197090,2445.2,81.2
12313,35088,2021,40,37,3,92.5,7.5,244486.475,2214.85,110.4
12343,35120,2021,81,58,23,71.6049382716049,28.3950617283951,233911.567901235,2538.85185185185,91.1234567901235
12353,35131,2021,66,42,24,63.6363636363636,36.3636363636364,235680.060606061,2663.80303030303,90.3030303030303
12354,35132,2021,24,24,0,100,0,186554.791666667,2174.45833333333,94
12357,35135,2021,30,28,2,93.3333333333333,6.66666666666667,201412.1,2082.53333333333,102.1
12358,35136,2021,128,76,52,59.375,40.625,179657.3671875,2240.921875,84.4921875
12361,35139,2021,76,57,19,75,25,251453.289473684,2609.14473684211,100.052631578947
12366,35144,2021,19,17,2,89.4736842105263,10.5263157894737,211524.473684211,2568.36842105263,86.6315789473684
12371,35150,2021,40,40,0,100,0,195093.65,1951.825,102.025
12380,35160,2021,5,5,0,100,0,107900,1331.8,85.6
12390,35170,2021,7,6,1,85.7142857142857,14.2857142857143,170035.714285714,1452.14285714286,116.142857142857
12400,35180,2021,10,10,0,100,0,167865,1606.4,101.7
12408,35189,2021,52,41,11,78.8461538461538,21.1538461538462,319653.384615385,2991.63461538462,108.942307692308
12409,35190,2021,5,5,0,100,0,115700,1564.2,82
12415,35196,2021,115,64,51,55.6521739130435,44.3478260869565,226980.843478261,2770.68695652174,86.2086956521739
12419,35200,2021,14,14,0,100,0,135278.571428571,1246.92857142857,108.071428571429
12423,35204,2021,44,42,2,95.4545454545455,4.54545454545455,277973.590909091,2449.63636363636,116.886363636364
12425,35206,2021,114,56,58,49.1228070175439,50.8771929824561,234864.956140351,2877.05263157895,82.6578947368421
12427,35208,2021,84,64,20,76.1904761904762,23.8095238095238,236693.928571429,2414.2380952381,98.5952380952381
12428,35210,2021,152,75,77,49.3421052631579,50.6578947368421,286477.855263158,3069.98026315789,92.2631578947368
12433,35216,2021,31,24,7,77.4193548387097,22.5806451612903,229791.903225806,2399.67741935484,103.903225806452
12447,35230,2021,5,5,0,100,0,128200,1233.8,102.2
12452,35235,2021,23,23,0,100,0,133454.347826087,1311.69565217391,101.782608695652
12455,35238,2021,3951,549,3402,13.8952164009112,86.1047835990888,256750.139964566,3908.42394330549,66.6388256137687
12457,35240,2021,150,65,85,43.3333333333333,56.6666666666667,233308.053333333,2824.26,85.4133333333333
12462,35245,2021,60,50,10,83.3333333333333,16.6666666666667,214099.416666667,2089.4,103.383333333333
12467,35250,2021,45,26,19,57.7777777777778,42.2222222222222,201041.177777778,2493.82222222222,82.7555555555556
12482,35266,2021,74,47,27,63.5135135135135,36.4864864864865,243758.418918919,2586.25675675676,97.4189189189189
12489,35275,2021,96,56,40,58.3333333333333,41.6666666666667,227435.197916667,2408.70833333333,93.3541666666667
12492,35278,2021,120,80,40,66.6666666666667,33.3333333333333,397114.133333333,3581.71666666667,111.816666666667
12495,35281,2021,288,91,197,31.5972222222222,68.4027777777778,225604.513888889,3101.73611111111,72.7743055555556
12520,35310,2021,16,16,0,100,0,194653.125,1550.125,128.0625
12524,35315,2021,19,18,1,94.7368421052632,5.26315789473684,262799.315789474,2555.94736842105,105.052631578947
12541,35334,2021,104,72,32,69.2307692307692,30.7692307692308,303617.423076923,2988.06730769231,102.519230769231
12554,35351,2021,13,13,0,100,0,173882.923076923,1791,98.3846153846154
12555,35352,2021,125,86,39,68.8,31.2,304350.096,2858.072,106.072
12556,35353,2021,112,47,65,41.9642857142857,58.0357142857143,232798.142857143,2692.30357142857,87.3035714285714
12566,35363,2021,56,34,22,60.7142857142857,39.2857142857143,255723.642857143,2884.33928571429,89.6964285714286
