,INSEE_COM,Annee,Nb_mutations,NbMaisons,NbApparts,propmaison,propappart,PrixMoyen,Prixm2Moyen,SurfaceMoy
11012,35001,2015,60,39,21,65,35,194606.066666667,2229.1,88.7833333333333
11030,35022,2015,11,9,2,81.8181818181818,18.1818181818182,121863.636363636,1117,109.272727272727
11032,35024,2015,157,115,42,73.2484076433121,26.7515923566879,221364.834394904,2237.17834394904,98.4777070063694
11040,35032,2015,34,28,6,82.3529411764706,17.6470588235294,165326.205882353,1765.44117647059,96.4117647058823
11046,35039,2015,22,20,2,90.9090909090909,9.09090909090909,181434.181818182,1846.5,97.1818181818182
11052,35047,2015,222,141,81,63.5135135135135,36.4864864864865,196038.333333333,2304.12612612613,87.4009009009009
11055,35051,2015,150,83,67,55.3333333333333,44.6666666666667,268750.86,2709.59333333333,100.886666666667
11058,35055,2015,97,37,60,38.1443298969072,61.8556701030928,195066.711340206,2435.77319587629,80.7319587628866
11061,35058,2015,9,9,0,100,0,170884.444444444,1624.55555555556,106.444444444444
11062,35059,2015,39,32,7,82.051282051282,17.9487179487179,213140.051282051,2175.53846153846,102.307692307692
11068,35065,2015,18,16,2,88.8888888888889,11.1111111111111,177552.833333333,1873.88888888889,97.5555555555556
11069,35066,2015,102,55,47,53.921568627451,46.078431372549,175168.892156863,2104.57843137255,84.578431372549
11077,35076,2015,47,23,24,48.936170212766,51.063829787234,163397.404255319,1978.74468085106,83.8085106382979
11080,35079,2015,13,12,1,92.3076923076923,7.69230769230769,224665.384615385,2196.84615384615,103.307692307692
11081,35080,2015,17,17,0,100,0,183915.529411765,1732.11764705882,108.352941176471
11082,35081,2015,4,4,0,100,0,254375,3054,118.5
11088,35088,2015,32,22,10,68.75,31.25,153575.46875,1744.125,92.15625
11118,35120,2015,62,52,10,83.8709677419355,16.1290322580645,187352.774193548,1868.1935483871,101.548387096774
11128,35131,2015,52,35,17,67.3076923076923,32.6923076923077,182618.923076923,2084.46153846154,88.75
11129,35132,2015,15,15,0,100,0,152221.333333333,1447.2,103.6
11132,35135,2015,21,18,3,85.7142857142857,14.2857142857143,143017.142857143,1529.7619047619,92.5238095238095
11133,35136,2015,64,53,11,82.8125,17.1875,166999.765625,1619.3125,104.84375
11136,35139,2015,57,46,11,80.7017543859649,19.2982456140351,211219.578947368,1968.91228070175,107.771929824561
11141,35144,2015,7,7,0,100,0,164642.857142857,1700.85714285714,97.4285714285714
11146,35150,2015,22,22,0,100,0,152448.954545455,1368.63636363636,112.045454545455
11155,35160,2015,1,1,0,100,0,175000,1733,101
11165,35170,2015,5,5,0,100,0,104200,1147.6,86.4
11175,35180,2015,4,4,0,100,0,99550,1323.25,90.5
11183,35189,2015,36,27,9,75,25,221395.194444444,2357.97222222222,94.8611111111111
11184,35190,2015,2,2,0,100,0,107500,906,129.5
11189,35196,2015,105,55,50,52.3809523809524,47.6190476190476,179229.257142857,2120.97142857143,87.6571428571429
11193,35200,2015,4,4,0,100,0,150750,1162.75,139.75
11197,35204,2015,30,27,3,90,10,167128.9,1757.4,98
11199,35206,2015,86,52,34,60.4651162790698,39.5348837209302,179099.453488372,2086.6511627907,87.3023255813954
11201,35208,2015,40,27,13,67.5,32.5,178851.7,1960.65,90.925
11202,35210,2015,129,91,38,70.5426356589147,29.4573643410853,259626.139534884,2486.37209302326,106.434108527132
11207,35216,2015,17,13,4,76.4705882352941,23.5294117647059,171309.882352941,1766.29411764706,96.9411764705882
11221,35230,2015,2,2,0,100,0,133000,1438.5,104
11226,35235,2015,8,8,0,100,0,61425,782.625,85
11229,35238,2015,3169,469,2700,14.7996213316504,85.2003786683496,169564.22720101,2624.80214578731,64.8750394446198
11231,35240,2015,119,64,55,53.781512605042,46.218487394958,186884.504201681,2166.76470588235,88.0588235294118
11236,35245,2015,35,29,6,82.8571428571429,17.1428571428571,165878.342857143,1671.48571428571,103.057142857143
11241,35250,2015,29,24,5,82.7586206896552,17.2413793103448,174201.724137931,1796.93103448276,100.448275862069
11256,35266,2015,27,16,11,59.2592592592593,40.7407407407407,188822.222222222,2075.37037037037,92
11263,35275,2015,46,39,7,84.7826086956522,15.2173913043478,230379.369565217,2234.58695652174,103.173913043478
11266,35278,2015,116,69,47,59.4827586206897,40.5172413793103,288426.586206897,2646.53448275862,108.543103448276
11269,35281,2015,187,49,138,26.2032085561497,73.7967914438503,146088.64171123,2168.96256684492,68.6310160427807
11294,35310,2015,9,9,0,100,0,168466.666666667,1641.88888888889,103.222222222222
11298,35315,2015,21,21,0,100,0,193347.619047619,1752.2380952381,114.142857142857
11316,35334,2015,122,60,62,49.1803278688525,50.8196721311475,205562.786885246,2199.29508196721,93.5
11329,35351,2015,14,14,0,100,0,152564.285714286,1612.14285714286,97.7857142857143
11330,35352,2015,84,63,21,75,25,216422.738095238,2122.13095238095,101.869047619048
11331,35353,2015,38,22,16,57.8947368421053,42.1052631578947,192850.394736842,2316.21052631579,85.8421052631579
11341,35363,2015,34,23,11,67.6470588235294,32.3529411764706,199557.176470588,1931.05882352941,102.617647058824
