,INSEE_COM,Annee,Nb_mutations,NbMaisons,NbApparts,propmaison,propappart,PrixMoyen,Prixm2Moyen,SurfaceMoy
11851,35001,2019,75,46,29,61.3333333333333,38.6666666666667,230658.733333333,2375.62666666667,96.7866666666667
11870,35022,2019,4,3,1,75,25,180592.5,1808.25,97.5
11872,35024,2019,164,97,67,59.1463414634146,40.8536585365854,257636.12195122,2718.06097560976,94.5670731707317
11880,35032,2019,100,74,26,74,26,209109.77,2120.17,99.62
11886,35039,2019,22,18,4,81.8181818181818,18.1818181818182,184905.545454545,1886.77272727273,98.7727272727273
11893,35047,2019,293,140,153,47.7815699658703,52.2184300341297,211955.259385666,2520.13651877133,85.5665529010239
11896,35051,2019,227,103,124,45.374449339207,54.625550660793,288413.594713656,3186.28193832599,90.5506607929515
11899,35055,2019,174,66,108,37.9310344827586,62.0689655172414,204898.465517241,2566.77011494253,80.0977011494253
11902,35058,2019,16,16,0,100,0,224770.1875,1742.8125,121.875
11903,35059,2019,54,34,20,62.962962962963,37.037037037037,236505.5,2748.98148148148,90.8333333333333
11909,35065,2019,27,24,3,88.8888888888889,11.1111111111111,178787.074074074,1973.44444444444,93.7037037037037
11910,35066,2019,138,65,73,47.1014492753623,52.8985507246377,192251.884057971,2435.47101449275,78.5217391304348
11918,35076,2019,51,28,23,54.9019607843137,45.0980392156863,180808.745098039,2121.35294117647,86.8235294117647
11921,35079,2019,25,24,1,96,4,235152.88,2273.96,106.48
11922,35080,2019,38,33,5,86.8421052631579,13.1578947368421,188544.473684211,1874.10526315789,103.473684210526
11923,35081,2019,7,7,0,100,0,152146.571428571,1783,85.8571428571429
11929,35088,2019,47,36,11,76.5957446808511,23.4042553191489,176681.340425532,1821.42553191489,101.978723404255
11959,35120,2019,56,41,15,73.2142857142857,26.7857142857143,211528.357142857,2284.85714285714,92.8035714285714
11969,35131,2019,53,31,22,58.4905660377358,41.5094339622642,194922.679245283,2220.58490566038,89.811320754717
11970,35132,2019,24,24,0,100,0,171996.875,1708.25,105.541666666667
11973,35135,2019,26,25,1,96.1538461538462,3.84615384615385,173283.269230769,1836.46153846154,103.730769230769
11974,35136,2019,137,88,49,64.2335766423358,35.7664233576642,166172.284671533,1810.89781021898,93.2262773722628
11977,35139,2019,66,53,13,80.3030303030303,19.6969696969697,226630.348484848,2137.39393939394,110
11982,35144,2019,11,11,0,100,0,174777.272727273,1805.27272727273,94.4545454545455
11987,35150,2019,33,33,0,100,0,165983.454545455,1488.75757575758,111.090909090909
11996,35160,2019,5,5,0,100,0,118718,1223.4,88.4
12006,35170,2019,7,7,0,100,0,136854.285714286,1508.42857142857,98.1428571428571
12016,35180,2019,4,4,0,100,0,117250,1339.5,89.25
12024,35189,2019,53,25,28,47.1698113207547,52.8301886792453,222702.641509434,2622.52830188679,85.1132075471698
12025,35190,2019,4,4,0,100,0,92750,826,124.25
12031,35196,2019,139,67,72,48.2014388489209,51.7985611510791,177305.208633094,2198.25179856115,82.0071942446043
12035,35200,2019,6,6,0,100,0,99916.6666666667,953.833333333333,100.333333333333
12039,35204,2019,27,25,2,92.5925925925926,7.40740740740741,230684.259259259,2128.62962962963,110.111111111111
12041,35206,2019,93,52,41,55.9139784946236,44.0860215053763,222863.860215054,2507.51612903226,89.0967741935484
12043,35208,2019,76,60,16,78.9473684210526,21.0526315789474,193309.578947368,2067.57894736842,95.2368421052632
12044,35210,2019,164,95,69,57.9268292682927,42.0731707317073,243311.146341463,2495.0243902439,98.6707317073171
12049,35216,2019,30,23,7,76.6666666666667,23.3333333333333,215415.666666667,2088.86666666667,104.366666666667
12063,35230,2019,1,1,0,100,0,33000,559,59
12068,35235,2019,14,14,0,100,0,112457.428571429,1117.85714285714,110.5
12071,35238,2019,3926,565,3361,14.3912379011717,85.6087620988283,207138.163779929,3136.69026999491,66.5333672949567
12073,35240,2019,146,69,77,47.2602739726027,52.7397260273973,197159.52739726,2279.43150684932,88.0342465753425
12078,35245,2019,48,41,7,85.4166666666667,14.5833333333333,191539.270833333,1886.9375,102.395833333333
12083,35250,2019,32,18,14,56.25,43.75,166126.1875,2035.59375,83.40625
12098,35266,2019,60,33,27,55,45,190615.316666667,2189.33333333333,87.3666666666667
12105,35275,2019,79,49,30,62.0253164556962,37.9746835443038,204300.518987342,2245.40506329114,92.5696202531646
12108,35278,2019,150,82,68,54.6666666666667,45.3333333333333,326597.673333333,3071.52666666667,105.7
12111,35281,2019,326,81,245,24.8466257668712,75.1533742331288,172695.380368098,2468.24233128834,69.5153374233129
12136,35310,2019,13,13,0,100,0,162122.307692308,1423.30769230769,114.076923076923
12140,35315,2019,14,14,0,100,0,221856.428571429,2078.21428571429,109
12158,35334,2019,97,63,34,64.9484536082474,35.0515463917526,262987.81443299,2647.94845360825,99.6701030927835
12171,35351,2019,19,19,0,100,0,169763.157894737,1591.42105263158,113.157894736842
12172,35352,2019,138,89,49,64.4927536231884,35.5072463768116,234837.97826087,2410.8768115942,96.9130434782609
12173,35353,2019,91,38,53,41.7582417582418,58.2417582417582,206681.527472527,2298.51648351648,89.4395604395604
12182,35363,2019,57,32,25,56.140350877193,43.859649122807,196849.596491228,2198.19298245614,91.4736842105263
