REG,DEP,LIBDEP,CODGEO,LIBGEO,ANNEE,Existence d'une convention de mutualisation,Nombre d'agents de police municipale,Nombre d'ASVP,Nombre de gardes champêtres,Nombre de brigades canines (2013),Nombre de maîtres-chiens de police municipale,Nombre de chiens de patrouille de police municipale,Communes partenaires (commande R),Communes partenaires (code INSEE),Communes partenaires (libellé),Population au 1er janvier de l'année d'enquête,Population au 1er janvier de l'année suivante
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2022,0,8,0,0,NA,0,0,NA,NA,NA,18076,18761
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2023,0,8,0,0,NA,0,0,NA,NA,NA,18761,NA
53,35,ILLE_ET_VILAINE,35051,CESSON_SEVIGNE,2024,0,7,0,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35055,CHANTEPIE,2013,NA,3,0,0,0,NA,NA,NA,NA,NA,10410,10576
53,35,ILLE_ET_VILAINE,35055,CHANTEPIE,2014,NA,3,0,0,NA,0,0,NA,NA,NA,10576,10445
53,35,ILLE_ET_VILAINE,35055,CHANTEPIE,2015,NA,3,0,0,NA,0,0,NA,NA,NA,10445,10379
53,35,ILLE_ET_VILAINE,35055,CHANTEPIE,2016,NA,3,0,0,NA,0,0,NA,NA,NA,10379,10435
53,35,ILLE_ET_VILAINE,35055,CHANTEPIE,2017,NA,3,0,0,NA,0,0,NA,NA,NA,10435,10458
53,35,ILLE_ET_VILAINE,35055,CHANTEPIE,2018,NA,3,0,0,NA,0,0,NA,NA,NA,10458,10278
53,35,ILLE_ET_VILAINE,35055,CHANTEPIE,2019,NA,3,0,0,NA,0,0,NA,NA,NA,10278,10236
53,35,ILLE_ET_VILAINE,35055,CHANTEPIE,2020,NA,3,0,0,NA,0,0,NA,NA,NA,10236,10232
53,35,ILLE_ET_VILAINE,35055,CHANTEPIE,2021,0,4,0,0,NA,0,0,NA,NA,NA,10232,10378
53,35,ILLE_ET_VILAINE,35055,CHANTEPIE,2022,0,4,0,0,NA,0,0,NA,NA,NA,10378,10670
53,35,ILLE_ET_VILAINE,35055,CHANTEPIE,2023,0,3,0,0,NA,0,0,NA,NA,NA,10670,NA
53,35,ILLE_ET_VILAINE,35055,CHANTEPIE,2024,0,4,0,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35066,CHARTRES_DE_BRETAGNE,2013,NA,1,0,0,0,NA,NA,NA,NA,NA,7395,7333
53,35,ILLE_ET_VILAINE,35066,CHARTRES_DE_BRETAGNE,2014,NA,1,0,0,NA,0,0,NA,NA,NA,7333,7355
53,35,ILLE_ET_VILAINE,35066,CHARTRES_DE_BRETAGNE,2015,NA,1,0,0,NA,0,0,NA,NA,NA,7355,7578
53,35,ILLE_ET_VILAINE,35066,CHARTRES_DE_BRETAGNE,2016,NA,1,0,0,NA,0,0,NA,NA,NA,7578,7800
53,35,ILLE_ET_VILAINE,35066,CHARTRES_DE_BRETAGNE,2017,NA,1,0,0,NA,0,0,NA,NA,NA,7800,8023
53,35,ILLE_ET_VILAINE,35066,CHARTRES_DE_BRETAGNE,2018,NA,1,0,0,NA,0,0,NA,NA,NA,8023,8157
53,35,ILLE_ET_VILAINE,35066,CHARTRES_DE_BRETAGNE,2019,NA,2,0,0,NA,0,0,NA,NA,NA,8157,8190
53,35,ILLE_ET_VILAINE,35066,CHARTRES_DE_BRETAGNE,2020,NA,2,0,0,NA,0,0,NA,NA,NA,8190,8237
53,35,ILLE_ET_VILAINE,35066,CHARTRES_DE_BRETAGNE,2021,0,2,0,0,NA,0,0,NA,NA,NA,8237,8678
53,35,ILLE_ET_VILAINE,35066,CHARTRES_DE_BRETAGNE,2022,0,2,0,0,NA,0,0,NA,NA,NA,8678,8880
53,35,ILLE_ET_VILAINE,35066,CHARTRES_DE_BRETAGNE,2023,0,1,1,0,NA,0,0,NA,NA,NA,8880,NA
53,35,ILLE_ET_VILAINE,35066,CHARTRES_DE_BRETAGNE,2024,0,1,1,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35120,GEVEZE,2023,0,1,0,0,NA,0,0,NA,NA,NA,6061,NA
53,35,ILLE_ET_VILAINE,35120,GEVEZE,2024,0,1,0,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35132,HIREL,2021,1,0,0,0.25,NA,0,0,"as.character(c(35116,35122,35255))",35116_/_35122_/_35255,LA_FRESNAIS_/_LA_GOUESNIERE_/_ST_BENOIT_DES_ONDES,1386,1384
53,35,ILLE_ET_VILAINE,35132,HIREL,2022,1,0,0,0.25,NA,0,0,"as.character(c(35116,35122,35255))",35116_/_35122_/_35255,LA_FRESNAIS_/_LA_GOUESNIERE_/_ST_BENOIT_DES_ONDES,1384,1382
53,35,ILLE_ET_VILAINE,35132,HIREL,2023,1,0,0,0.25,NA,0,0,"as.character(c(35116,35122,35255))",35116_/_35122_/_35255,LA_FRESNAIS_/_LA_GOUESNIERE_/_ST_BENOIT_DES_ONDES,1382,NA
53,35,ILLE_ET_VILAINE,35132,HIREL,2024,1,0,0,0.25,NA,0,0,"as.character(c(35116,35122,35255))",35116_/_35122_/_35255,LA_FRESNAIS_/_LA_GOUESNIERE_/_ST_BENOIT_DES_ONDES,NA,NA
53,35,ILLE_ET_VILAINE,35136,JANZE,2013,NA,0,1,0,0,NA,NA,NA,NA,NA,8232,8249
53,35,ILLE_ET_VILAINE,35136,JANZE,2014,NA,1,1,0,NA,0,0,NA,NA,NA,8249,8268
53,35,ILLE_ET_VILAINE,35136,JANZE,2015,NA,1,1,0,NA,0,0,NA,NA,NA,8268,8287
53,35,ILLE_ET_VILAINE,35136,JANZE,2016,NA,1,1,0,NA,0,0,NA,NA,NA,8287,8279
53,35,ILLE_ET_VILAINE,35136,JANZE,2017,NA,2,0,0,NA,0,0,NA,NA,NA,8279,8329
53,35,ILLE_ET_VILAINE,35136,JANZE,2018,NA,3,1,0,NA,0,0,NA,NA,NA,8329,8470
53,35,ILLE_ET_VILAINE,35136,JANZE,2019,NA,2,0,0,NA,0,0,NA,NA,NA,8470,8523
53,35,ILLE_ET_VILAINE,35136,JANZE,2020,NA,2,0,0,NA,0,0,NA,NA,NA,8523,8570
53,35,ILLE_ET_VILAINE,35136,JANZE,2021,0,2,0,0,NA,0,0,NA,NA,NA,8570,8618
53,35,ILLE_ET_VILAINE,35136,JANZE,2022,0,2,0,0,NA,0,0,NA,NA,NA,8618,8649
53,35,ILLE_ET_VILAINE,35136,JANZE,2023,0,2,0,0,NA,0,0,NA,NA,NA,8649,NA
53,35,ILLE_ET_VILAINE,35136,JANZE,2024,0,2,0,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35139,LAILLE,2013,NA,1,0,0,0,NA,NA,NA,NA,NA,4951,5034
53,35,ILLE_ET_VILAINE,35139,LAILLE,2014,NA,1,0,0,NA,0,0,NA,NA,NA,5034,5117
53,35,ILLE_ET_VILAINE,35139,LAILLE,2015,NA,1,0,0,NA,0,0,NA,NA,NA,5117,5089
53,35,ILLE_ET_VILAINE,35139,LAILLE,2016,NA,1,0,0,NA,0,0,NA,NA,NA,5089,5026
53,35,ILLE_ET_VILAINE,35139,LAILLE,2017,NA,1,0,0,NA,0,0,NA,NA,NA,5026,5069
53,35,ILLE_ET_VILAINE,35139,LAILLE,2018,NA,1,0,0,NA,0,0,NA,NA,NA,5069,5116
53,35,ILLE_ET_VILAINE,35139,LAILLE,2019,NA,1,0,0,NA,0,0,NA,NA,NA,5116,5162
53,35,ILLE_ET_VILAINE,35139,LAILLE,2020,1,1,0,0,NA,0,0,as.character(c(35126)),35126,GUICHEN,5162,5131
53,35,ILLE_ET_VILAINE,35139,LAILLE,2021,1,1,0,0,NA,0,0,as.character(c(35126)),35126,GUICHEN,5131,5154
53,35,ILLE_ET_VILAINE,35139,LAILLE,2022,1,1,0,0,NA,0,0,as.character(c(35126)),35126,GUICHEN,5154,5225
53,35,ILLE_ET_VILAINE,35139,LAILLE,2023,0,2,0,0,NA,0,0,NA,NA,NA,5225,NA
53,35,ILLE_ET_VILAINE,35139,LAILLE,2024,0,2,0,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35240,LE_RHEU,2013,NA,2,0,0,0,NA,NA,NA,NA,NA,7940,8159
53,35,ILLE_ET_VILAINE,35240,LE_RHEU,2014,NA,2,0,0,NA,0,0,NA,NA,NA,8159,8365
53,35,ILLE_ET_VILAINE,35240,LE_RHEU,2015,NA,2,0,0,NA,0,0,NA,NA,NA,8365,8571
53,35,ILLE_ET_VILAINE,35240,LE_RHEU,2016,NA,2,0,0,NA,0,0,NA,NA,NA,8571,8740
53,35,ILLE_ET_VILAINE,35240,LE_RHEU,2017,NA,2,0,0,NA,0,0,NA,NA,NA,8740,8914
53,35,ILLE_ET_VILAINE,35240,LE_RHEU,2018,NA,2,0,0,NA,0,0,NA,NA,NA,8914,8932
53,35,ILLE_ET_VILAINE,35240,LE_RHEU,2019,NA,2,0,0,NA,0,0,NA,NA,NA,8932,9247
53,35,ILLE_ET_VILAINE,35240,LE_RHEU,2020,NA,4,0,0,NA,0,0,NA,NA,NA,9247,9535
53,35,ILLE_ET_VILAINE,35240,LE_RHEU,2021,0,3,0,0,NA,0,0,NA,NA,NA,9535,9823
