date_mesure,geocode_commune,libelle_commune,classe_distance,mode_transport,numerateur,denominateur,valeur
2022-01-01T00:00:00.000,35144,Langan,50km et plus,Deux-roues motorisé,0.0,19.741784037582452,0.0
2022-01-01T00:00:00.000,35047,Bruz,10-20km,Transports en commun,923.4846960076303,4028.864985329478,22.92170870382514
2022-01-01T00:00:00.000,35055,Chantepie,50km et plus,Voiture,57.94924432063475,72.46234733627256,79.9715251449314
2022-01-01T00:00:00.000,35080,Cintré,Moins de 2km,Marche,31.38352010754892,120.37687003938944,26.071055093291324
2022-01-01T00:00:00.000,35039,Brécé,Moins de 2km,Vélo,5.11820942036615,133.02286614422886,3.847616254799966
2022-01-01T00:00:00.000,35351,Le Verger,5-10km,Pas de transport,0.0,89.43140060347028,0.0
2022-01-01T00:00:00.000,35189,Montgermont,2-5km,Transports en commun,0.0,152.08598476599047,0.0
2022-01-01T00:00:00.000,35230,Poilley,Moins de 2km,Vélo,4.31521431092456,63.44091685011492,6.8019419093826405
2022-01-01T00:00:00.000,35055,Chantepie,10-20km,Transports en commun,68.92925059620696,805.7419435082991,8.554755173359917
2022-01-01T00:00:00.000,35150,Lécousse,5-10km,Pas de transport,0.0,185.8242236272182,0.0
2022-01-01T00:00:00.000,35250,Saint-Armel,20-50km,Vélo,0.0,106.40010123605201,0.0
2022-01-01T00:00:00.000,35190,Monthault,Moins de 2km,Vélo,0.0,31.09127479913385,0.0
2022-01-01T00:00:00.000,35160,Loutehel,5-10km,Deux-roues motorisé,0.0,38.43203054849911,0.0
2022-01-01T00:00:00.000,35266,Saint-Erblon,2-5km,Pas de transport,0.0,32.0533236357992,0.0
2022-01-01T00:00:00.000,35200,Moutiers,20-50km,Transports en commun,0.0,111.90860215053759,0.0
2022-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,Moins de 2km,Deux-roues motorisé,9.60662553060523,258.24923415533914,3.7199047509379106
2022-01-01T00:00:00.000,35190,Monthault,Moins de 2km,Transports en commun,0.0,31.09127479913385,0.0
2022-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,50km et plus,Marche,0.0,26.03261670494161,0.0
2022-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,5-10km,Marche,0.0,72.58593033614147,0.0
2022-01-01T00:00:00.000,35081,Clayes,5-10km,Vélo,0.0,31.49142409573227,0.0
