Année,Etablissement,Multi-occupation,Code Site,Code bât/ter,Libellé bât/ter,GA,Paysage_id,Id interne,Ref. parcelle,Etat santé,SUB,SDP,Type bât.,Domaine bat.,Propriétaire bat.,Réglementation générale,Catégorie ERP,Type ERP,Class. Monument histo.,Etat access.,Access. AdAP,Access. date,Access. dérog.,Energie class.,Energie valeur,GES,GES valeur,Audit energie,Audit energie date,Audit energie prog.,Audit energie prog. date,Bilan carbone,Bilan carbone date,Bilan carbone prog.,Bilan carbone prog. date,Site géo.,latlong,Adresse,CP,Ville,Pays,COM_CODE,COM_NOM,UUCR_ID,UUCR_NOM,DEP_ID,DEP_NOM,ACA_ID,ACA_NOM,REG_ID,REG_NOM,date_extract,rnb_shape,UAI,rnb_ids
2026,Centrale-Supélec,Non,180242,33D703,BÂT 2 - LOGEMENT DE DIRECTION,38-OP-50662,m84Aa,IB00100198984,180242,Peu satisfaisant,205,220,Logement,Public,Etat,Bâtiment d'habitation,5e : établissements accueillant un nombre de personnes inférieur au seuil dépendant du type d'établissement,GHA : Habitation,Sans objet,,Non,,Non,E,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.123501, -1.625709",3  AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.625694021750323, 48.123494772912494], [-1.625801206388138, 48.123458114222856], [-1.625743534305921, 48.123383761153384], [-1.625719934997677, 48.12339099752371], [-1.62569413646385, 48.123357757932446], [-1.625509602928468, 48.12341818552577], [-1.625563013637789, 48.12349000186823], [-1.625662463051127, 48.12345725257474], [-1.625694021750323, 48.123494772912494]]]], ""type"": ""MultiPolygon""}",0921225G,WRGCKNSNY51G
2023,Centrale-Supélec,Non,180242,3Fff85,BÂT 9 - BÂTIMENT STOCKAGE TECHNIQUE,38-OP-50662,m84Aa,IB00100198985,180242,Pas satisfaisant,109,117,Bâtiment technique,Public,Etat,Code du Travail (non ERP),,,Sans objet,,Non,,Non,,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.125153, -1.624388",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.624565583991835, 48.125244494865434], [-1.624585250765537, 48.125192344004915], [-1.624544133792961, 48.12518404287333], [-1.62454705757759, 48.125171308737904], [-1.624409183856411, 48.12514967949892], [-1.624385330046655, 48.125215515425865], [-1.624565583991835, 48.125244494865434]]]], ""type"": ""MultiPolygon""}",0921225G,9V9SYGV2F2BH
2019,Centrale-Supélec,Non,180242,4f7964,BÂT 5 - STOCKAGE TONDEUSES ET BOIS,38-OP-50662,m84Aa,IB00100198986,BA0018,Pas satisfaisant,231,248,Bâtiment technique,Public,Etat,Code du Travail (non ERP),,,,,Non,,Non,,,,,,,,,,,,,Rennes,"48.123661, -1.621729",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.621555583133517, 48.123618443303236], [-1.621553837961732, 48.123644651841374], [-1.621586431460404, 48.12364788005795], [-1.62157781025355, 48.12370320257185], [-1.621802809994072, 48.12372051534507], [-1.621806368455178, 48.123699643949834], [-1.621919934842115, 48.123705103491346], [-1.621919531533848, 48.12373125939308], [-1.621977853009595, 48.12373618222512], [-1.621981117223994, 48.12365042285799], [-1.621921690027293, 48.12364824755955], [-1.621920982422411, 48.123640162883625], [-1.621555583133517, 48.123618443303236]]]], ""type"": ""MultiPolygon""}",0921225G,2MVFMEWYW81V
2025,Centrale-Supélec,Non,180242,66606d,BÂT 4 - STOCKAGE MATERIEL,38-OP-50662,m84Aa,IB00100198987,180242,Satisfaisant,114,122,Bâtiment technique,Public,Etat,Code du Travail (non ERP),,,Sans objet,Réglementaire et non fonctionnel,Non,,Non,,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.122508, -1.626434",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,,0921225G,
2019,Centrale-Supélec,Non,180242,C386c6,BÂT 7 - STOCKAGE MATERIAUX ET STOCKAGE COMITE ETABLISSEMENT,38-OP-50662,m84Aa,IB00100198988,BA0018,Peu satisfaisant,127,136,Bâtiment technique,Public,Etat,Code du Travail (non ERP),,,,,Non,,Non,,,,,,,,,,,,,Rennes,"48.124273, -1.622199",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,,0921225G,
2021,Centrale-Supélec,Non,180242,C386c6,BÂT 7 - STOCKAGE MATERIAUX ET STOCKAGE COMITE ETABLISSEMENT,38-OP-50662,m84Aa,IB00100198988,180242,Peu satisfaisant,127,136,Bâtiment technique,Public,Etat,Code du Travail (non ERP),,,,,Non,,Non,,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.124273, -1.622199",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,,0921225G,
2022,Centrale-Supélec,Non,180242,C386c6,BÂT 7 - STOCKAGE MATERIAUX ET STOCKAGE COMITE ETABLISSEMENT,38-OP-50662,m84Aa,IB00100198988,180242,Peu satisfaisant,127,136,Bâtiment technique,Public,Etat,Code du Travail (non ERP),,,,,Non,,Non,,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.124273, -1.622199",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,,0921225G,
2023,Centrale-Supélec,Non,180242,C386c6,BÂT 7 - STOCKAGE MATERIAUX ET STOCKAGE COMITE ETABLISSEMENT,38-OP-50662,m84Aa,IB00100198988,180242,Peu satisfaisant,127,136,Bâtiment technique,Public,Etat,Code du Travail (non ERP),,,,,Non,,Non,,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.124273, -1.622199",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,,0921225G,
2024,Centrale-Supélec,Non,180242,C386c6,BÂT 7 - STOCKAGE MATERIAUX ET STOCKAGE COMITE ETABLISSEMENT,38-OP-50662,m84Aa,IB00100198988,180242,Peu satisfaisant,127,136,Bâtiment technique,Public,Etat,Code du Travail (non ERP),,,,,Non,,Non,,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.124273, -1.622199",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,,0921225G,
2025,Centrale-Supélec,Non,180242,C386c6,BÂT 7 - STOCKAGE MATERIAUX ET STOCKAGE COMITE ETABLISSEMENT,38-OP-50662,m84Aa,IB00100198988,180242,Peu satisfaisant,127,136,Bâtiment technique,Public,Etat,Code du Travail (non ERP),,,,,Non,,Non,,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.124273, -1.622199",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,,0921225G,
2022,Centrale-Supélec,Non,180242,ADFC9b,BÂT 6 - STOCKAGE MATERIAUX,38-OP-50662,m84Aa,IB00100198989,180242,Pas satisfaisant,132,141,Bâtiment technique,Public,Etat,Code du Travail (non ERP),,,Sans objet,,Non,,Non,,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.124119, -1.622433",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,,0921225G,
2017,Centrale-Supélec,Non,180242,C0f93B,BÂT 10 - POSTE EDF,38-OP-50662,m84Aa,IB00100280875,,,0,0,Bâtiment technique,,,,,,,,,,,,,,,,,,,,,,,,"48.123524, -1.624468",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,,0921225G,
2022,Centrale-Supélec,Non,180242,C0f93B,BÂT 10 - POSTE EDF,38-OP-50662,m84Aa,IB00100280875,180242,Peu satisfaisant,1,0,Bâtiment technique,Public,Etat,Code du Travail (non ERP),,,Sans objet,Ne sait pas,Non,,Non,,1,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.123524, -1.624468",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,,0921225G,
2024,Centrale-Supélec,Non,180242,C0f93B,BÂT 10 - POSTE EDF,38-OP-50662,m84Aa,IB00100280875,180242,Satisfaisant,1,35,Bâtiment technique,Public,Etat,Code du Travail (non ERP),,,Sans objet,Ne sait pas,Non,,Non,,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.123524, -1.624468",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,,0921225G,
2019,Centrale-Supélec,Non,180242,94dc67,BÂT 11 - BIBLIOTHEQUE,38-OP-50662,m84Aa,IB00100280876,,,645,0,Bât. enseignement ou sport,,,,,,,,,,,,76.4077519379845,,,,,,,,,,,,"48.125572, -1.624034",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.624147738561202, 48.125592605714445], [-1.623900421526319, 48.12575104118493], [-1.623657858527081, 48.12557938368566], [-1.623711379605611, 48.125544833333684], [-1.623793160135476, 48.125494751687114], [-1.623910542392473, 48.125420738054274], [-1.624147738561202, 48.125592605714445]]]], ""type"": ""MultiPolygon""}",0921225G,8DRMB8B64QCV
2022,Centrale-Supélec,Non,180242,94dc67,BÂT 11 - BIBLIOTHEQUE,38-OP-50662,m84Aa,IB00100280876,180242,Très satisfaisant,645,0,Bât. enseignement ou sport,Public,Etat,ERP,,"S : Bibliothèques, centres de documentation",Sans objet,Non réglementaire et fonctionnel,Non,,Non,E,64.615503875969,B,11,Non,,Non,,Non,,Non,,Campus de Rennes,"48.125572, -1.624034",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.624147738561202, 48.125592605714445], [-1.623900421526319, 48.12575104118493], [-1.623657858527081, 48.12557938368566], [-1.623711379605611, 48.125544833333684], [-1.623793160135476, 48.125494751687114], [-1.623910542392473, 48.125420738054274], [-1.624147738561202, 48.125592605714445]]]], ""type"": ""MultiPolygon""}",0921225G,8DRMB8B64QCV
2023,Centrale-Supélec,Non,180242,94dc67,BÂT 11 - BIBLIOTHEQUE,38-OP-50662,m84Aa,IB00100280876,180242,Très satisfaisant,645,0,Bât. enseignement ou sport,Public,Etat,ERP,,"S : Bibliothèques, centres de documentation",Sans objet,Non réglementaire et fonctionnel,Non,,Non,E,,B,11,Non,,Non,,Non,,Non,,Campus de Rennes,"48.125572, -1.624034",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.624147738561202, 48.125592605714445], [-1.623900421526319, 48.12575104118493], [-1.623657858527081, 48.12557938368566], [-1.623711379605611, 48.125544833333684], [-1.623793160135476, 48.125494751687114], [-1.623910542392473, 48.125420738054274], [-1.624147738561202, 48.125592605714445]]]], ""type"": ""MultiPolygon""}",0921225G,8DRMB8B64QCV
2022,Centrale-Supélec,Non,180242,Cfc3FC,BÂT 14 - RESTAURATION,38-OP-50662,m84Aa,IB00100280955,180242,Très satisfaisant,1351,0,Bâtiment sanitaire ou social,Public,Etat,ERP,3e : de 301 à 700 personnes,N : Restaurants et débits de boisson,Sans objet,Non réglementaire et fonctionnel,Non,,Non,E,64.6150999259808,B,11,Non,,Non,,Non,,Non,,Campus de Rennes,"48.125058, -1.623732",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.623957132056633, 48.12533778498448], [-1.623789452915438, 48.12522177836502], [-1.623584058301785, 48.125074802009856], [-1.623727806882719, 48.12497902189827], [-1.623799246090456, 48.1249338529912], [-1.624173661641786, 48.125196782644096], [-1.623957132056633, 48.12533778498448]]]], ""type"": ""MultiPolygon""}",0921225G,7RK3GYJBT4V4
