Cote Archives nationales,Cote Précision,Nom Auteur,Prénom Auteur,Genre Auteur,Auteur copié,Exécutant,Bénéficiaire,Titre,Thème représenté,Dénomination,Matériau et technique,Dimensions,Etape œuvre,Exposition,Prix,N° dépôt,Nature de l'acte,Etape de la procédure,Date(s) de l'acte,Date arrêté d'acquisition,Date arrêté attribution,Pays,Département,Ville,Latitude ville,Longitude ville,Type d'édifice,Edifice d'affectation,Affectataire,Provenance,Observations,Image,Liens photos Archim,REF mistral
F/21/4909/B,dossier 10 ; pièce 87 ; [Registre d'attribution aux musées],,,,,,,musée municipal des Beaux-Arts,,,,,,,,,,,,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,,faculté,,,"Ces informations scrupuleusement retranscrites ici, proviennent du cahier d'enregistrement des dépôts faits par les Beaux-Arts au musée ; le document original n'est pas communicable à cause de son mauvais état matériel",,,10000296
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Ginain (M.),,homme,,,,Le cheval de soumission (Algérie),sujet animalier,tableau,,,,,,,attribution,aboutissement positif,1871,,1871,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004474
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Thomas (M.),G. J.,homme,,,,La pensée,figure allégorique profane,statue,marbre ; taille,,,,,,attribution,aboutissement positif,1871,,1871,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004475
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Blin (M.),Francis,homme,,,,"Paysage, vue prise de Bretagne",paysage de Bretagne,tableau,,,,,,,attribution,aboutissement positif,1872 ; 1873,,1873,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004476
F/21/470,dossier 6 ; [Dossier par musée (attributions)],,,,,,,Sigillographie bretonne,,sceau,moulage,,épreuve,,,,attribution,demande sans suite,1875,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée ; archéologie,musée archéologique,,,"345 sceaux,57 contre-sceaux ; catalogue de la collection aux Archives Nationales",,,AR004477
F/21/470,dossier 6 ; [Dossier par musée (attributions)],"Vuez (M., de)",Arnold,homme,,,,Saint Bonaventure prêchant,vie de saint,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004478
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Albane (M.) [Albani],Francesco,homme,,,,Actéon métamorphosé,scène mythologique ou légendaire,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004479
F/21/470,dossier 6 ; [Dossier par musée (attributions)],,,,,,,Madeleine dans le désert avec un ange,vie de saint,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004480
F/21/470,dossier 6 ; [Dossier par musée (attributions)],,,,"Le Dominiquin [Domenichino, Domenico Zampieri]",,,Le miracle de saint Nil,vie de saint,tableau,,,copie,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004481
F/21/470,dossier 6 ; [Dossier par musée (attributions)],"Corrège (M., Le) [Correggio, Allegri]",Antonio,homme,,,,Nativité,Nativité,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004482
F/21/470,dossier 6 ; [Dossier par musée (attributions)],,,,,,,Paysage montagneux,paysage,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004483
F/21/470,dossier 6 ; [Dossier par musée (attributions)],"Parmesan (M., Le) [Parmigiano, Mazzola]",,homme,,,,Christ au tombeau,mise au tombeau,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004484
F/21/470,dossier 6 ; [Dossier par musée (attributions)],"Parmesan (M., Le) [Parmigiano, Mazzola]",,homme,,,,Mariage de sainte Catherine,vie de saint,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004485
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Van Loo (M.) [Loo (Van)],L.M.,homme,,,,Louis XV,personnage historique ; portrait,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004486
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Gué (M.),,homme,,,,Les saintes femmes au tombeau,les Saintes Femmes au tombeau,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004487
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Restout (M.),J.,homme,,,,Orphée aux enfers,scène mythologique ou légendaire,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004488
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Maes (M.),,homme,,,,Portrait de magistrat,personnage de la justice ; portrait,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004489
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Van Dyck (M.) [Dyck (Van)],,homme,,,,Tête de vieillard,autre personnage ; tête,tableau,,,oeuvre inachevée,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004490
F/21/470,dossier 6 ; [Dossier par musée (attributions)],"Van Artois (M., attribué à) [Artois (Van)]",,homme,,,,"Paysages,Figures",paysage,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004491
F/21/470,dossier 6 ; [Dossier par musée (attributions)],,,,,,,Poissons,sujet animalier,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004492
F/21/470,dossier 6 ; [Dossier par musée (attributions)],,,,,,,Saints,saint,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,4 tableaux,,,AR004493
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Gourdel (M.),Pierre,homme,,,"Gourdel, Pierre (sculpteur)",Julien Gourdel,sculpteur,buste,marbre ; taille,,,,,,octroi de marbre,aboutissement positif,1873 ; 1874,,1874,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,,,ville,,,,,AR004494
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Barre (M.),,homme,,,Barre (M.) (sculpteur),Lanno,sculpteur,buste,marbre ; taille,,,,,,octroi de marbre,aboutissement positif,1873 ; 1874,,1874,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,,,ville,,,,,AR004495
F/21/470,dossier 6 ; [Dossier par musée (attributions)],,,,,,,Histoire de Suzanne,Suzanne au bain,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,2 tableaux,,,AR004496
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Ségé (M.),,homme,,,,Pins de Pledelhiac,paysage de Bretagne,tableau,,,,,,,attribution,aboutissement positif,1874,,1874,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004497
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Dargent (M.),Yan,homme,,,,Le matin,,tableau,,,,,,,attribution,aboutissement positif,1874,,1874,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004498
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Pelouse (M.),,homme,,,,A travers bois,paysage,tableau,,,,,,,attribution,aboutissement positif,1875,,1875,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004499
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Toudouze (M.),,homme,,,,Eros et Aphrodite,scène mythologique ou légendaire,tableau,,,,,,,attribution,aboutissement positif,1875,,1875,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004500
F/21/470,dossier 6 ; [Dossier par musée (attributions)],"Serres (M., de)",,homme,,,,Une bourriche de pensées,nature morte,tableau,,,,,,,attribution,aboutissement positif,1875,,1875,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004501
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Guiaud (M.),,homme,,,,L'escalier des géants à Venise,vue de monument ; paysage d'Italie,tableau,,,,,,,attribution,aboutissement positif,1875,,1874,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004502
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Le Bihan (M.),,homme,,,,Pèlerinage en Bretagne,scène de la vie chrétienne,tableau,,,,,,,attribution,aboutissement positif,1875,,1875,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004503
F/21/470,dossier 6 ; [Dossier par musée (attributions)],"Honthorst (M., attribué à)",,homme,,,,Saint Pierre reniant le Christ,reniement de saint Pierre,tableau,,,,,,,dépôt,aboutissement positif,1876,,1876,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004504
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Lafosse (M.),,homme,,,,Sacrifice d'Iphigénie,scène mythologique ou légendaire,tableau,,,,,,,dépôt,aboutissement positif,1876,,1876,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004505
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Boudier (M.),,homme,,,,Les dernières feuilles,,tableau,,,,,,,attribution,aboutissement positif,1879,,1879,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004506
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Lehmann (M.),,homme,,,,Consolatrix afflictorum,Vierge,tableau,,,,,,,attribution,aboutissement positif,1879,,1879,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004507
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Captier (M.),,homme,,,,Hébé,personnage mythologique ou légendaire,statue,marbre ; taille,,,,,,attribution,aboutissement positif,1879,,1879,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004508
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Claude (M.),,homme,,,,Une vieille bible,nature morte,tableau,,,,,,,attribution,affaire annulée,1879 ; 1880,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,Tableau envoyé à Dijon au lieu de Rennes,,,AR004509
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Boisseau (M.),,homme,,,,Le génie du mal,personnage mythologique ou légendaire,statue,marbre ; taille,,,,,,attribution,aboutissement positif,1880 ; 1881,,1881,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004511
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Bompard (M.),,homme,,,,Le repos du modèle,activité ou manifestation artistique,tableau,,,,,,,attribution,aboutissement positif,1880 ; 1881,,1880,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004512
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Marcello (M.),,homme,,,,Hecate et Cerbère,scène mythologique ou légendaire,groupe,marbre ; taille,,,,,,attribution,affaire annulée,1880 ; 1881,,1880,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004513
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Desportes (M.),,homme,,,,La chasse au loup,scène de chasse,tableau,,,,,,,attribution,aboutissement positif,1819,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR006129
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],,,,Champaigne (de),,,Un paysage,paysage,tableau,,,copie,,,,attribution,affaire annulée,1819,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,Tableau en mauvais état,,,AR006130
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],,,,Poussin,,,Le ravissement de saint Paul,vie de saint,tableau,,,copie,,,,attribution,aboutissement inconnu,1819,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,,ville,,,Échange contre un paysage d'après Champaigne,,,AR006131
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Beaunier (M.),,homme,,,,Duguesclin reprenant l'épée de connétable,scène historique,tableau,,,,,,,attribution,aboutissement inconnu,1829,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,,ville,,,Inachevé au moment de l'attribution,,,AR006132
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Guillemot (M.),,homme,,,,Sapho et Phaon,personnage mythologique ou légendaire,tableau,,,,,,,attribution,aboutissement inconnu,1829,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,,ville,,,Tableau inachevé au moment de l'attribution,,,AR006133
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Serrur (M.),,homme,,,,Tobie ensevelissant les morts,livre de Tobie,tableau,,,,,,,attribution,aboutissement inconnu,1829,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,,ville,,,Pourrait être attribué à l'église de St-Z... de Rennes,,,AR006134
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Couder (M.),,homme,,,,Tanneguy du Châtel,personnage historique,tableau,,,,,,,attribution,aboutissement positif,1828,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR006135
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Dubois (M.),,homme,,,,Joueur de onchets,scène de jeu,statue,marbre ; taille,,,,,,attribution,aboutissement inconnu,1851 ; 1860,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,Statue restaurée par l'auteur,,,AR006136
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Aligny (M.),,homme,,,,Paysage ; La solitude,paysage,tableau,,,,,,,attribution,aboutissement positif,1851,,1851,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR006137
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Jobbé-Duval (M.),,homme,,,,La fiancée de Corinthe,scène littéraire,tableau,,,,,,,attribution,aboutissement inconnu,1851 ; 1852,,1852,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR006138
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Boulanger (M.),,homme,"Raphaël [Santi, Sanzio, Raffaello]",,,Le repas des dieux,scène mythologique ou légendaire,tableau,,,copie,,,,attribution,aboutissement positif,1854 ; 1855,,1855,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR006139
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Anastasi (M.),,homme,,,,Une vue de Hollande,paysage des Pays-Bas,tableau,,,,,,,attribution,aboutissement positif,1857,,1857,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR006140
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Marchal (M.),,homme,,,,Dernier baiser d'une mère,scène de genre,tableau,,,,,,,attribution,aboutissement positif,1858 ; 1859,,1858,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR006141
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Frémiet (M.),,homme,,,,Carabinier,personnage de l'armée,statue,bronze ; fonte,,épreuve,,,,attribution,aboutissement positif,1858,,1858,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR006142
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Frémiet (M.),,homme,,,,Un cuirassier,personnage de l'armée,statue,bronze ; fonte,,épreuve,,,,attribution,aboutissement positif,1858,,1858,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR006143
F/21/2200,dossier 2 ; [Dossier par musée (attributions)],Frémiet (M.),,homme,,,,Un artilleur,personnage de l'armée,statue,bronze ; fonte,,épreuve,,,,attribution,aboutissement positif,1858,,1858,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR006144
F/21/450,dossier 2 ; [Dossier par musée (attributions)],,,,,,,Le savoyard pleurant sa marmotte,scène de genre ; type ethnique,statue,,,,,,,reproduction,demande sans suite,1862,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,Demande d'une reproduction en marbre du modèle original de Mr. Gourdel,,,AR008135
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Hamon (M.),,homme,,,,L'escamoteur,type d'activité,tableau,,,,,,,attribution,demande sans suite,1862,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,Demandé par le musée,,,AR008136
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Anonyme florentin,,,,,,Le roi David,roi d'Israël ou de Juda,tableau,bois,,,,,,attribution,aboutissement positif,1863,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,"Paris ; Musée du Louvre, coll. Campana",N° 259 (catalogue) h.56 x l.29,,,AR008137
F/21/450,dossier 2 ; [Dossier par musée (attributions)],,,,,,,Portrait de César Borgia,portrait ; personnage historique,tableau,,,,,,,attribution,aboutissement positif,1863,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,"Paris ; Musée du Louvre, coll. Campana",N° 516 (catalogue) h.60 x l.47,,,AR008138
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Panniciati (M.),Giacomo,homme,,,,L'arrivée des mages,adoration des mages,tableau,bois,,,,,,attribution,aboutissement positif,1863,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,"Paris ; Musée du Louvre, coll. Campana",N° 531 (catalogue) h.46 x l.25,,,AR008139
F/21/450,dossier 2 ; [Dossier par musée (attributions)],,,,,,,Tête couronnée de fruits,tête,tableau,bois,,,,,,attribution,aboutissement positif,1863,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,"Paris ; Musée du Louvre, coll. Campana",Panneau rond ; école bolonaise du temps des Carraches ; no 551 (catalogue) d.39,,,AR008140
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Barbalonga (M.),,homme,,,,Sainte Barbe,saint,tableau,,,,,,,attribution,aboutissement positif,1863,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,"Paris ; Musée du Louvre, coll. Campana",N° 580 (catalogue) h.75 x l.63,,,AR008141
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Van Dyck (M.) [Dyck (Van)],Antoine,homme,,,,La sainte Famille,Sainte Famille,tableau,,,,,,,attribution,aboutissement positif,1863,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,"Paris ; Musée du Louvre, coll. Campana",N° 611 (catalogue) h.118 x l.119,,,AR008142
F/21/450,dossier 2 ; [Dossier par musée (attributions)],,,,,,,,,objet ou collection d'objets archéologiques ; poterie ; statuette,terre cuite ; marbre ; taille,,,,,,attribution,aboutissement positif,1863,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,"Paris ; Musée du Louvre, coll. Campana",Vases grecs ; vases étrusques ;statuettes ; objets divers ; liste énumérative ;96 pièces,,,AR008143
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Serrur (M.),Jacques,homme,,,,Tobie ensevelissant les morts,livre de Tobie,tableau,,,,,,,transfert,aboutissement inconnu,1863,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,église,église Saint-Germain,,Musée de Rennes,"La municipalité de Rennes réclame ce tableau déposé en 1820 à l'église St-Germain, l'état appuie cette réclamation",,,AR008144
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Blin (M.),,homme,,,,Souvenir de la Creuse,paysage du Centre,tableau,,,,,,,attribution,aboutissement positif,1863,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008145
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Busson (M.),,homme,,,,Un soir sur les bords du Loir,paysage du Centre ; cours d'eau,tableau,,,,,,,attribution,aboutissement positif,1864,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008146
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Duveau (M.),,homme,,,,Une messe en mer,scène de la vie chrétienne,tableau,,,,,,,attribution,aboutissement positif,1864,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008147
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Saint-Pierre (M.),,homme,Flandrin,,,Portrait en pied de S. M. l'Empereur,portrait en pied ; chef d'Etat,tableau,,,copie,,,,attribution,aboutissement positif,1864,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008148
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Baader (M.),,homme,,,,Le rappel des abeilles,,tableau,,,,,,,attribution,aboutissement positif,1865,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008149
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Chaigneau (M.),,homme,,,,Décembre ; Le carrefour de l'Epine ; Forêt de Fontainebleau,paysage d'Ile-de-France,tableau,,,,,,,attribution,aboutissement positif,1865,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008150
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Mouchot (M.),,homme,,,,Le bazar des tapis dans le Khan Khalil au Caire ; Le bazar des tapis dans le Khan des Khalifes au Caire,paysage d'Egypte ; vue de ville ou de village ; scène orientale,tableau,,,,,,,attribution,aboutissement positif,1866,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008151
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Travaux (M.),,homme,,,,La rêverie,allégorie individuelle,statue,marbre ; taille,,,,,,attribution,aboutissement positif,1867 ; 1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008152
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Jolin (M.),,homme,,,,Après la bataille d'Auray,bataille,tableau,,,,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008153
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Gayrard (M.),,homme,,,,"Vox populi, vox dei",figure allégorique profane,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008154
F/21/450,dossier 2 ; [Dossier par musée (attributions)],,,,,,,Fête donnée à l'mairie en 1852,fêtes et cérémonies,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008155
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Bovy (M.),,homme,,,,Bataille de l'Alma,combat,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008156
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Gayrard,,,,,,Victor Emmanuel,chef d'Etat,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008157
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Dantzell (M.),,homme,,,,Expédition de Rome,campagne militaire ; histoire politique,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008158
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Oudiné (M.),,homme,,,,Tombeau de Napoléon I,vue de monument,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008159
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Depaulis (M.),,homme,,,,Rétablissement de l'empire,scène historique,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008160
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Dubois (M.),Alph.,homme,,,,Le pape bénissant le Prince Impérial,scène historique,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008161
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Depaulis (M.),,homme,,,,Cérémonie funèbre,manifestation officielle civile,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008162
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Gayrard (M.),,homme,,,,S. M. la reine d'Angleterre,chef d'Etat,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008163
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Pourcarme (M.) [Ponscarme],,homme,,,,Inauguration de la statue de Napoléon I sur la colonne de la place Vendôme,manifestation officielle civile,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008164
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Bovy (M.),,homme,,,,Inauguration du tombeau de Napoléon I,manifestation officielle civile,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008165
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Merley (M.),,homme,,,,Ninive,ruines ; paysage de Turquie,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008166
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Depaulis (M.),,homme,,,,Voyage du prince président,manifestation officielle civile,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008167
F/21/450,dossier 2 ; [Dossier par musée (attributions)],Bovy (M.),,homme,,,,Naissance du Prince Impérial,scène historique,médaille,,,épreuve,,,,attribution,aboutissement positif,1868,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR008168
