codgeo,libgeo,population,can,dept,reg,superf,geom
35065,La Chapelle-Thouarault,2266,3524,35,53,760,"b""\x01\x06\x00\x00\x00\x01\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x11\x00\x00\x00O\x01t#\xb0d\xfd\xbf\xf7\xe7\xb7\xca\xe0\x0fH@\xb2\x85\xf8\xe8Ba\xfd\xbf\xb6\xf0\x8b!P\x0fH@x\x17\x9c^*\x85\xfd\xbf \xdb{\xa6\x15\x0fH@\xa6N\xac\x800\xa3\xfd\xbf\xba\xdc\xea:\x0b\x0fH@\xa10\xc1\x10S\xb8\xfd\xbf\xc9\x86\x1e\x81\xc3\x0eH@\x87\xf4=\x86\xf8\xd9\xfd\xbf\xe9\xff\xc9wy\x0eH@\xd7\x88\x910\xcd\x17\xfe\xbf\xabfpBP\x0eH@\xa3\xabi\xe21'\xfe\xbf\x88wE\xbd\x7f\x0eH@&#\xad3\n1\xfe\xbf\xa2\x06\xee\r\xba\x0fH@\r/F\xfd\xf91\xfe\xbfr]\x08\xcd#\x10H@M\x14\x84\x19w(\xfe\xbf\xe0Ap\xd2\x86\x10H@\xe4l\x0fQ\x1c\x1a\xfe\xbf?\x1d\xe8Go\x10H@\xfe\x9f\x0ca\x81\x90\xfd\xbf4\xadR%k\x11H@\xdb\xae\xfb\x08\xfdM\xfd\xbf\xf4\\\x0b\xdb(\x12H@\xbd\xe9|\xcdp@\xfd\xbfW\xc8\x9c\x83\xe5\x11H@r\x14\xd2,\x01=\xfd\xbfz\x87\x8b\x17i\x11H@O\x01t#\xb0d\xfd\xbf\xf7\xe7\xb7\xca\xe0\x0fH@"""
35066,Chartres-de-Bretagne,8678,3504,35,53,990,"b'\x01\x06\x00\x00\x00\x01\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x1a\x00\x00\x00\x9d)\xfd\x95\xd4\xef\xfa\xbf\r2\x08\x841\x06H@\xff\xcco\xdc\xc4\xda\xfa\xbf#\xb3\xd5 \xca\x05H@\xe0\xa0&\xe0\xef\xd8\xfa\xbf\xb9\x03\xae\xf8\x99\x05H@\xab\x1c\x10aA\xdd\xfa\xbfs\xe1e\xe0W\x05H@\xe8\xd6[\x0b\xf3\xf2\xfa\xbf\xa4\x07\x9e\xf1\x8c\x04H@\x88\xbb\x0f5\xc6\r\xfb\xbf\xba\xfd\xb08\xea\x03H@\xc2o~\xad\xfa\x1f\xfb\xbf\x7f\x1d_\x0c}\x03H@Wd\x8a\xb6\xb0U\xfb\xbf\xfd\x88\xd1\xd8\x0f\x03H@\xec\xce^\x19zb\xfb\xbf""\xf1\xa2[h\x03H@-j\xf0\xc0\x10g\xfb\xbf\xe2\xb4\x7f\xca\xde\x03H@\x84\xf7\x0fG*o\xfb\xbf\xfb,\xd9\x08\x02\x04H@\xa8w\xab\x11`p\xfb\xbfp\xd2Y\xad\x96\x04H@D\xe2\x8aA\'{\xfb\xbf=t\x13\xdd\x19\x05H@\x82\xaca\x9ev\x8b\xfb\xbf8\x81Da\x1f\x05H@\x1eaL\xf1\xfe\x91\xfb\xbfg\x82\x08\x10!\x05H@0t\xb6\xac\xb2\xa0\xfb\xbfP\xe5\xe4\n\x8f\x05H@^\xf5\xb0\x83 \xab\xfb\xbf\xdc;*h\x1c\x06H@\x83\x7f\xb9c.\xaa\xfb\xbf%)\xe5\xf5\xc8\x06H@X\r\x06\xd90\xab\xfb\xbf\xebPQ\x8a\xef\x06H@N\xd7\x86\xbf\xe7\x9f\xfb\xbf\x19\x12\x13\xdba\x07H@\x8e\xbc\xa8\xe7I\xa6\xfb\xbfc\x00Ch~\x07H@\x87\x05\x17\x97\x15u\xfb\xbfx\xaa\x14\xa02\x08H@\xa5\xe1h|\x86C\xfb\xbf\x9dz\xb4K/\x08H@\x02\xec\xaa\xc911\xfb\xbf<~i\xc7\x06\x08H@\xd2\xe7`=\xd7I\xfb\xbfgM\xce\x1f\xc4\x06H@\x9d)\xfd\x95\xd4\xef\xfa\xbf\r2\x08\x841\x06H@'"
35076,Chavagne,4562,3524,35,53,1240,"b'\x01\x06\x00\x00\x00\x01\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x1a\x00\x00\x00z\xcah\xfc\xb9-\xfc\xbf\x0b\xc8=\x95k\x08H@\x7f\xbcXo\x115\xfc\xbf\x9c\xfe1\xf6R\x08H@T\x0f\xc9\xcd\x93H\xfc\xbfw2\xb8\x12\x95\x07H@f\x1a\xe1\xaa\x01M\xfc\xbf\x12jq\x1b\x80\x06H@[\xfb=\xcf:i\xfc\xbf1\x13\xa4\xff\xd5\x04H@\x9e\x90\\\x17dm\xfc\xbf\xe4v;Q\xfd\x03H@\xa8\xdec\xf4\xbau\xfc\xbfT\x92N\x8c=\x04H@\x12\xef\x8e\xba\xaf\xa4\xfc\xbf\x89\xd7p\xceR\x04H@\xf0+\xc0v\x84\xbb\xfc\xbfVD\xbbi\xa0\x04H@\xd7=\xf6\x9a\xcd\xc6\xfc\xbf\x8d\xc4\x89\x12-\x05H@e=\xa7\xeaF\xc5\xfc\xbf{\x9f\xddG\x99\x05H@\xd5\xa2\x7f<m\xd1\xfc\xbf\\\xe3\xf4\x98\xd5\x05H@\x1a~\xdd\x99/\xda\xfc\xbf\xbd\xc5u\xb9\xea\x05H@~\xe1\x88s\x85\n\xfd\xbf\xaa.\xc2_\xf3\x05H@R\xe7\x06\x9d\xb0\x10\xfd\xbfCW\xa3\xf4\x86\x06H@G\xd1\x89\x14\xdf\xe7\xfc\xbfY\xee\x85L\x95\x07H@A\x0b\xe8n\x83\xc8\xfc\xbf\x1e$a$\xdd\x08H@\xe8\xf03\xb4n\xb4\xfc\xbf\xa8\t\xba\xaa\\\nH@\x0e\xe7\x8bFM\x99\xfc\xbf\xb7].\xb1h\nH@\xd1{L\xb2\x06\x8b\xfc\xbf\x1e\xe6\xabW\xe8\tH@IY\xb7\x99\x13Y\xfc\xbfl\xb3n\t(\tH@\x1c\x98\x8d\x1c\xfdL\xfc\xbf\xf5/\x9c\xa0\x0f\tH@\xfd\x93\xb1d@D\xfc\xbf^T<\x8b,\tH@Lj25\xfd%\xfc\xbf\xdf\x06\n).\tH@\xb1};\xda$!\xfc\xbfs\xf7\xd7w\xb7\x08H@z\xcah\xfc\xb9-\xfc\xbf\x0b\xc8=\x95k\x08H@'"
35079,Chevaigné,2396,3503,35,53,1030,"b'\x01\x06\x00\x00\x00\x01\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x13\x00\x00\x00L>V\xa8\xf8\x05\xfa\xbf\xa6\t!3Q\x1aH@\xbbg\xd95\x03\n\xfa\xbf\xca4\xb9g\xa7\x19H@\xe5r\xf0\x9d~\x19\xfa\xbfX9M\xe3|\x19H@\'\x1c}i\x975\xfa\xbf|O\x9c\x10\xb5\x19H@!/\xbb\xca/_\xfa\xbfY""\xf5\xf2u\x1aH@\xe8\xd1\xf7\xb3\x96\x83\xfa\xbf>X`\xdb\xe3\x1aH@\xb4%z\xc1\x11j\xfa\xbf\x8d\xe8\x14\x81p\x1cH@4\xa2\xf9>\'U\xfa\xbf\xb7\x90pI\x1b\x1eH@\xfcW\xd4n\x9eZ\xfa\xbf\xf6\x97\x9cz`\x1eH@lG-\xc9\xe5O\xfa\xbfgp\x83C\xbf\x1eH@t\x0f\x10\xd1\x05H\xfa\xbf\xc1O]\x1c\xa1\x1fH@""\x1c`;)M\xfa\xbf\xcc\xf9.$\x82 H@\xb9\x9a\xa2\xf2;&\xfa\xbf}/\xc0P\x80 H@\xc5\t\xcar\xe7\x1b\xfa\xbf\x92\r\x94`m H@\xa4/\xfd\x06u\xf2\xf9\xbf\xccl%4L\x1eH@\xe4\xca\xff6\x9b\xf3\xf9\xbf\xb1\x8be\x9a\x03\x1eH@\xb6\xc4\xcb\x9a\xb1\xfc\xf9\xbf\xc9\xa5\x02\xc7\x17\x1bH@\xfc\x1b\xa7\xd0U\x04\xfa\xbf\x9efK._\x1aH@L>V\xa8\xf8\x05\xfa\xbf\xa6\t!3Q\x1aH@'"
35080,Cintré,2614,3524,35,53,830,"b""\x01\x06\x00\x00\x00\x01\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x14\x00\x00\x00\xa10\xc1\x10S\xb8\xfd\xbf\xc9\x86\x1e\x81\xc3\x0eH@=NZQ\xd0\xa6\xfd\xbfnPN\t\xa6\x0eH@\xf0Ff2X\xa2\xfd\xbf\xa0\xf1\xa4\xab\xdb\rH@\xea\xec\xb6M@\xbe\xfd\xbf0\xbe+z\xf9\x0cH@\x9f\x18\x1cj\xd5\xcf\xfd\xbf\x18\xad\xc4\xcf\xff\x0cH@^n\x88N\xb3\x1d\xfe\xbf\x0et#Ok\x0cH@\x90[\xd9QOA\xfe\xbfM~\xea\x06\x9e\x0cH@t\x92L0\xb2r\xfe\xbf\xa0\xef.\xa9\xb0\x0cH@\xe2\x07\xae\xaa\x98\x8d\xfe\xbfr\xc0\xf7^\x94\x0cH@A\xcfS\n\xb3\x97\xfe\xbf7Nkf\xb7\rH@\xdf[|\xa6*\xac\xfe\xbf\x06'\x8e\xe4}\x0eH@O+<\x89\x18\xaa\xfe\xbfV\xa3\xb4\xd3\xa7\x0eH@\xf1t8\x1a\x91\x8d\xfe\xbf\x84@[9 \x0fH@\xbc?\xb0kOw\xfe\xbf\xf9w\x1d\xd7Z\x0fH@b*(\xac\x03B\xfe\xbf\x16M\xb4\xa3\xbe\x0fH@&#\xad3\n1\xfe\xbf\xa2\x06\xee\r\xba\x0fH@\xa3\xabi\xe21'\xfe\xbf\x88wE\xbd\x7f\x0eH@\xd7\x88\x910\xcd\x17\xfe\xbf\xabfpBP\x0eH@\x87\xf4=\x86\xf8\xd9\xfd\xbf\xe9\xff\xc9wy\x0eH@\xa10\xc1\x10S\xb8\xfd\xbf\xc9\x86\x1e\x81\xc3\x0eH@"""
35081,Clayes,941,3514,35,53,430,"b'\x01\x06\x00\x00\x00\x01\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x0e\x00\x00\x00\x12\xe9""\x90\xf0\x83\xfd\xbf|JB\xfc\xd3\x17H@\xe4a\xc0H\xacY\xfd\xbfQ\xf7\x17\xf3\x9c\x16H@L\x8a\xa9Z\x0cX\xfd\xbf\xef\x95\x0e;4\x16H@S\x12o0\xfcd\xfd\xbf\xb0\xdc=\x062\x16H@{\x87\xf1""\x0e\x9f\xfd\xbf\xe4Y\xfesX\x15H@w;\xa2\xd5\x03\xb4\xfd\xbf\x08\x8f\xc4\x99V\x15H@c\xeb\xe0\x1d,\xf8\xfd\xbf\x7f\x9d\xf1C^\x16H@\xc4\x9c\xf0\x8b\xdd\xee\xfd\xbf@#\ri~\x16H@\x0fu\xe1\xbb\xf7\xeb\xfd\xbfw\xee\xf9=\xfd\x16H@\xbf\xdb\x00xJ\xf1\xfd\xbf\x80\xdc=>\xc4\x17H@\xd7\xf1a\x06\x8a\xe6\xfd\xbf?\xf4O\x15\xe8\x17H@\x90\x9fK:\xdf\xc4\xfd\xbfII\xb9\x02<\x18H@\xe7kUe\\\xa8\xfd\xbfA\x18\xe5\xa3E\x18H@\x12\xe9""\x90\xf0\x83\xfd\xbf|JB\xfc\xd3\x17H@'"
35088,Corps-Nuds,3555,3512,35,53,2260,"b'\x01\x06\x00\x00\x00\x01\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00%\x00\x00\x00Uxg\x7fxq\xf9\xbf\xed\xb4\xbe\x1c\xf2\xffG@\x07\xb2\xb7\xdf}9\xf9\xbfh\xb6\\\x0c\xe1\xffG@(\x08\xc5\xb4(\x1d\xf9\xbf\x9f\xdd\x85\xd2v\x00H@^\x05}\xe2\xa4\xfa\xf8\xbfRu9\x1a\xef\x00H@c=\xb2VY\xee\xf8\xbf\x12I\xfa\xcb\x06\x01H@\xec\xcb\xc9i\xd2\xd5\xf8\xbfx{\xcdl\xf1\x00H@\xb1\x00\x9f\xa5T\x9b\xf8\xbf\x0c\x1f\x16Gw\x00H@$q\xb1F\xe7\x80\xf8\xbf\xa4\x94\xbd\xc7o\x00H@aW\x91\xc3\x80l\xf8\xbf\x1b\xda\xfb\\\xde\x00H@Q\xee\xbf!\x96h\xf8\xbf*\xa3\xff\x7f\xfe\xffG@\xbfQ\xe1\xfb\xf1\x83\xf8\xbf\x87\xe38T\x17\xfeG@<D=4\xa0\x8e\xf8\xbf\xeecbh\x19\xfeG@\x19>\x17{,\x93\xf8\xbf\x9fB^\x12\xd5\xfdG@\x17\xf1\x81\xbfq\x9d\xf8\xbfZ\xd3\x91\xfb\x92\xfcG@FR\xfd\x1f\xb9\xd1\xf8\xbf\xc4y\x1d\x95\xd9\xfcG@\xf0\xe3\x0eh3\xee\xf8\xbf\xbd?\x82\xe0\xe7\xfcG@\x01\xfcgX\xc2\xf3\xf8\xbf]\xba\xfbp\xd7\xfcG@\x9cu~B\x94\xfd\xf8\xbf\xf6\xc9K\xf4{\xfcG@8\x8af\xddy\x0c\xf9\xbf\x10&\xb4\x80\xb9\xfaG@\xa9z\xb41\xa4\x19\xf9\xbf\x0c=#}\x9f\xfaG@\x82\x01\xb6E\xa0C\xf9\xbf\xcfc@W*\xfaG@\xc0\xcf\xf1\xcc\xa7\xba\xf9\xbf\xac\xe6\x10\x84\xce\xfaG@\xb13\x12lb\xa9\xf9\xbf\xf3f\xd64\'\xfbG@\xd8\x88\x91\xae\xca\xa2\xf9\xbf\xc9A^\x13\x9f\xfbG@OCn_\xca\xa4\xf9\xbf\xc9\x9bc\x98V\xfcG@\x13V\x0e\x10\x99\xb8\xf9\xbf\x8f\x10\x15\xd7\x8a\xfcG@\xef\xb6\x8b\xcd{\xc5\xf9\xbf/\xd0!\xd9w\xfcG@\x15\x040H,\xd1\xf9\xbf\xe7\x02\x87o\x87\xfcG@tE\xdf\x89\xfa\xe7\xf9\xbf\x1fDu\xf2\xe0\xfcG@\xc3\xac+\xc9\xb2\xcc\xf9\xbf\x87\xe2\x16\x97\x81\xfdG@\x0b`\xd5\xc2\x80\xb0\xf9\xbfL\x19rus\xfdG@\x12\xd5m\xbf\xe0\x9b\xf9\xbf|>\x06\x9b\x8f\xfdG@\xa0\xa8\x92\xbc\xe0\x90\xf9\xbf<\xc27\x8d\xde\xfdG@s\xb0\x05\xd1\x17\x8f\xf9\xbf\xb8\xde\xfe\xcb\xe5\xfeG@\x8d\xb3\x03rj|\xf9\xbf\x1f\xfetv\xb2\xffG@2\xf8\xba\x0e""t\xf9\xbf\xef\x8bGt\xc7\xffG@Uxg\x7fxq\xf9\xbf\xed\xb4\xbe\x1c\xf2\xffG@'"
35120,Gévezé,5987,3514,35,53,2750,"b'\x01\x06\x00\x00\x00\x01\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00""\x00\x00\x00\x1e\x9fi\xbe\x858\xfd\xbfIib\x97\xca\x1bH@w\x13R}\xdf$\xfd\xbf\x15\xf7\xcb\x08r\x1cH@*Q\xd6\xab8\x1c\xfd\xbf{\xdb\x19^\x1a\x1dH@\xcb_/`mD\xfd\xbf\xe3\x8b\xfb\xc4\xae\x1dH@O\x8e\x92\x01\t]\xfd\xbfs\x85\xfd\xe3_\x1eH@""\x17\xff\xc7:_\xfd\xbf\t\xc0\x9e\xa8\xc2\x1eH@\xa5\xc5\x00\\\xedL\xfd\xbfh\x03+29\x1fH@>\xc8\x13\xc43\t\xfd\xbf\xe2\xff\x84\x11\x9c\x1fH@\xc7\r\xe5\xf1!\xb3\xfc\xbf\xe5?\xc5Ox\x1fH@\x0e\xd6\xe5\xb8\x18\x9a\xfc\xbf.g\x05\x9e\xdb\x1eH@&\x0e\x99)\x86t\xfc\xbf\xac\xf6\xb8\xcb-\x1eH@w7\xcb\xe6\x08_\xfc\xbf\x1e\n\x84)\x82\x1cH@l\xdb\xad\x16;9\xfc\xbf#\xf9\xc5\x17g\x1bH@\xf8e\x8b\x89\x82\'\xfc\xbf\x83QT\xe9v\x1aH@\x08\x88\xb0\x05\xe89\xfc\xbf\xb1\xd7\xd1\x8f\xf5\x19H@&\x91I\x99\xfb\\\xfc\xbf\x9e\xebQ6\xbf\x19H@\x81\xc3\x0cewz\xfc\xbf\xf3\xaa\x96\xee\x1f\x19H@""\x91\xbc\x10\x86|\xfc\xbf\xb7\xe6\xcc\x7f\xda\x18H@\x10=FD\x17l\xfc\xbfgE\xa4o\xf5\x17H@\t\x13\xaf\xe7\xf6m\xfc\xbfH1\x9f\x9a\xb9\x17H@\xda\xe8z\x92\xb3z\xfc\xbf\x8f]\xea\xe2p\x17H@\xe2\xbc\x0e@J\xc5\xfc\xbf\xff\xf9Q\xd9\xa7\x17H@\xbbt\xbc^\x88\xea\xfc\xbf\n\x9b\x12K\x99\x17H@1Q\xd8LX\xf3\xfc\xbf\xe7r\x9e\x03T\x17H@\x93\x96\x1b\xd4\xf3\xf0\xfc\xbf\xb5\xf6\x82\nU\x16H@\xa5*\xbbF\xda\xf8\xfc\xbfo\\\x19\x96\xd9\x15H@U\xb58m\x081\xfd\xbf\xa2~d\xdc\x81\x15H@N\x9d\xa1\xfa\xd13\xfd\xbf"" FjD\x16H@ow_2\xfb\x03\xfd\xbf\xe7>#\xcb\xa7\x17H@\xcb\x1e\xffw\xfe\x04\xfd\xbf\xdf\xcf\x1a\xd2\x07\x18H@s\xed\x00\xcbB\x1f\xfd\xbfE\x0e\x9bXC\x19H@\xe7\x04L\xf4\x82,\xfd\xbf\xadh\x90\xb2\xad\x19H@R\xaa\xe4Y,F\xfd\xbf\xf20\xc4\x16\xf6\x19H@\x1e\x9fi\xbe\x858\xfd\xbfIib\x97\xca\x1bH@'"
35131,L'Hermitage,4683,3524,35,53,680,"b'\x01\x06\x00\x00\x00\x01\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x14\x00\x00\x00i\xeb\x97\xcd+\xaf\xfc\xbf@\x00\x9cz\xcc\x0fH@/\xa4lp\xe0\xb7\xfc\xbf\xc7xaK\xca\x0fH@\xc8\xed\xc9\xebE\xcd\xfc\xbf\xa8\x9b\xcf%e\x0fH@9\x04\xed \x98\xf4\xfc\xbf7xM\x9f@\x0eH@0\xe6\x9a4\xcb\x0c\xfd\xbf\xb5R\xb1\xbc\xe0\rH@SN\x0c\x1c\xd3\x12\xfd\xbf\xdc*\x86\\\x90\rH@va\xa1\x87\n0\xfd\xbf\xde\xed\xe5!}\rH@H\xe9uc\xd4>\xfd\xbf\xa2\xcd`\x92\xac\rH@}\xc1\xf7\xc3\x965\xfd\xbfx\xc3\x07)(\x0eH@%8\xd7\x90\xb48\xfd\xbf\x1b\x17\xa5\x19\xc6\x0eH@\xc8s\x07\\3>\xfd\xbf\x8e\xb4\xed\xb6\x01\x0fH@O\x01t#\xb0d\xfd\xbf\xf7\xe7\xb7\xca\xe0\x0fH@r\x14\xd2,\x01=\xfd\xbfz\x87\x8b\x17i\x11H@\xbd\xe9|\xcdp@\xfd\xbfW\xc8\x9c\x83\xe5\x11H@2O>Q[&\xfd\xbf67P\x03\xbb\x11H@\xbd\xe7]\x1d\x0f\x00\xfd\xbf\x14\x08X\xe1\x07\x11H@\xbb\x1d\xed\xf2\xeb\xd9\xfc\xbf\xaf(\x83\xf4\x87\x10H@\x9a\xf8\xbe\x94s\xb0\xfc\xbf\xd0\xedB\xe8(\x10H@Q\xe7\xb0\xba\x15\xac\xfc\xbf\x94\xa0?\xcd\xd9\x0fH@i\xeb\x97\xcd+\xaf\xfc\xbf@\x00\x9cz\xcc\x0fH@'"
35132,Hirel,1384,3507,35,53,980,"b'\x01\x06\x00\x00\x00\x01\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x15\x00\x00\x00\xa6\x0b\xe7kj\xa7\xfc\xbf\xb4\x02\xd8\xc4\x96MH@\xf3\x14\xb9\xe2\x0c\x9f\xfc\xbfZ\x12\x06r\xf8KH@?\xc6\xa3\x90\xed\x87\xfc\xbfu\xfc\x80\xf2\xeeJH@\x12\xc2!\x1e\xe3\x9d\xfc\xbf\xfd\xc5 \xd7DIH@\xe7\xd6v[\x17\xb2\xfc\xbf\x8a`\xa0\xc0\xd4HH@R6Ns\xc2\xc2\xfc\xbf\xd0\x81Wc\xffHH@\xdc\x91\x1at\xd1\xe2\xfc\xbf\xa8OF\xe5\x8bHH@\x02}\xeaB\x19\xee\xfc\xbf\x923\xf3\xde2HH@""\xc7k\xfc\x84\xf5\xfc\xbf\xbf$?\xaaQIH@\x00\xacl\x89\xfc\xed\xfc\xbf\xe99w\xd2@JH@\xa5iS#\xf8\xef\xfc\xbf\xa2c\xf5\xd2MKH@K\xb1\xa1Eg\x12\xfd\xbf\xda\xe3\x14\xb5~LH@\x07\'7\xbb\xa2\x16\xfd\xbf\x9f\xd4\r\x88VMH@\xee|\x85F\xde5\xfd\xbf!\x87@""\xd7MH@\x9a\x90\x8e\xc3\x9b\x96\xfd\xbf$X\xaa~sMH@\x14\xd2w\xdf1\xa6\xfd\xbf\xb3\x11*+\xe3LH@,\x1a\xfdH5\xc3\xfd\xbf1|\n|NMH@\xbb.~k\x81\x87\xfd\xbf_d\x04\xdd\xe5NH@\xfc\xf49\xd6e]\xfd\xbf\xb1d\xad\x05rNH@%\xb5\r\xc0\xf5\x0f\xfd\xbf^\xe2\xf9\xf6\xf3MH@\xa6\x0b\xe7kj\xa7\xfc\xbf\xb4\x02\xd8\xc4\x96MH@'"
35135,Irodouër,2308,3515,35,53,2350,"b'\x01\x06\x00\x00\x00\x01\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x1d\x00\x00\x00qD64E\xab\xfe\xbf\xcf\xad\x8d\xb0\xb0\x1dH@\xed\xc5\x87\xc45\xd5\xfe\xbff{\xae\xde\xae\x1dH@<\xfb\x9dIr\x1b\xff\xbfV\xbb\xfc\x96.\x1dH@P\x1d\xff\xc1\xd0G\xff\xbf\xe0:\x97):\x1cH@\x15\xc9\x1c\x9a\x01P\xff\xbf\x87\xdep\xf9\xb9\x1bH@\r%X\xa2\xad]\xff\xbfaLr\x15\x94\x1bH@p^\x1b1p\x80\xff\xbf\xe2\xb0\x8f-{\x1bH@\x9a\x8e,\xcb\x9ax\xff\xbf\xbarIMO\x1cH@(\xbcT\x04X\x8a\xff\xbf\xc2\xaaR\xec\xea\x1cH@\x04\xa3\xf3\xee\xa8\xad\xff\xbf\xc8\xfe\x8cm\x93\x1dH@\xf3\xca\x16\xf8\x08\xde\xff\xbf`\x0c\x06W\r\x1eH@\xad\xf4\x1a\xe6\xae\xde\xff\xbfx\xac\xdb\x0f!\x1eH@\x91\xb9\x9c\xf0\xae\xe4\xff\xbf\xd8\xc2\xf2\x81\xd3\x1eH@\x92\xe6\xaa\xe2\xe6\x9f\xff\xbf\xbe\x97Fbc!H@\x15\x03$\x9a\xfc\x9f\xff\xbf\xc9\xf8wU\xa1!H@Eb\xee\xd4\xe6\x9e\xff\xbf\xf0\xf2e\xcd\xd3!H@\xb0\x17\xe5\xd5r\x97\xff\xbf\xa6\xd3\xc68\x04""H@\xd5U\xe2\xeeDh\xff\xbf\xc65G<\xb9""H@Gw\x87y\xc48\xff\xbfaa\xc8\x02\xb6""H@L\xbf\xbf\xa4T4\xff\xbfJ\xfa\xab\xf1\xc5""H@\xe6\xb6N\xee\xb1*\xff\xbf\xde\x1c\x94\xc2\xc8""H@\xe3t~\x80\xe6\xf9\xfe\xbf\x9c2\xd8\x05k""H@\xc7\xeek\x93m\xdf\xfe\xbfq\x1b\xd7.!""H@\xfb\xc5\xfc_\xab\xbf\xfe\xbf{\xa1p\x1e\x80!H@JN\x91\xc1\x15\x9b\xfe\xbfe\xb9\x0b\xf1\x8f H@\xa7\x91\xb0\x8d\xfe\x7f\xfe\xbf4l\xf4L9 H@\x19\xe7I\xa5M\x8a\xfe\xbf\xd0U\xb5\xc4\x96\x1fH@,\xb5k\x8d\xfa\x95\xfe\xbfI\x96\x1aqH\x1fH@qD64E\xab\xfe\xbf\xcf\xad\x8d\xb0\xb0\x1dH@'"
